No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;432;20.513889;170.108796;23.762731;31.677649;2.242015;1.333081;0.750142;0.548136;179.000000;0.661277;110.323000;0.313079;0;9.166667e-01
2;B-11865-x40-03.tif;955;41.981152;92.469110;22.283024;90.797038;3.781501;4.074718;0.245416;0.147493;683.000000;0.969418;213.029000;0.376187;0;9.444444e-01
3;B-11865-x40-03.tif;5986;94.124624;203.000501;62.602397;174.748270;5.198942;2.791399;0.358243;0.249586;4060.000000;0.933628;625.361000;0.428867;0;9.722222e-01
4;B-11865-x40-03.tif;1273;207.149254;516.240377;34.023532;59.596617;3.335690;1.751629;0.570897;0.456347;487.000000;0.821022;231.000000;0.512591;0;9.444444e-01
5;B-11865-x40-03.tif;1073;228.575023;150.692451;38.202171;50.971132;2.473142;1.334247;0.749486;0.525849;514.000000;0.662020;182.612000;0.531530;0;9.523810e-01
6;B-11865-x40-03.tif;2446;291.087490;105.152085;47.134829;114.132863;5.473748;2.421412;0.412982;0.239081;1795.000000;0.910739;410.181000;0.611509;0;9.166667e-01
7;B-11865-x40-03.tif;4128;360.248062;564.825824;50.504767;147.294319;6.379030;2.916444;0.342883;0.242258;2612.000000;0.939378;575.244000;0.468080;0;9.848485e-01
8;B-11865-x40-03.tif;1521;372.737673;77.105851;38.117570;61.480042;2.023843;1.612906;0.619999;0.512355;526.000000;0.784603;196.679000;0.427570;0;9.166667e-01
9;B-11865-x40-03.tif;335;351.620896;128.462687;19.981896;23.163663;1.285162;1.159232;0.862640;0.794951;38.000000;0.505819;73.554000;0.449254;0;9.166667e-01
10;B-11865-x40-03.tif;2198;397.888080;791.398544;52.443480;83.456653;4.197533;1.591364;0.628392;0.401805;1489.000000;0.777897;340.499000;0.278473;0;9.444444e-01
11;B-11865-x40-03.tif;6834;478.909716;676.495025;61.947243;187.493119;5.066746;3.026658;0.330397;0.247522;4257.000000;0.943842;659.640000;0.487869;0;9.722222e-01
12;B-11865-x40-03.tif;497;423.788732;84.547284;13.914671;53.948191;2.467262;3.877073;0.257927;0.217427;135.000000;0.966165;124.134000;0.269618;0;9.166667e-01
13;B-11865-x40-03.tif;639;562.625978;111.746479;20.121395;50.170918;2.268832;2.493412;0.401057;0.323226;238.000000;0.916053;134.976000;0.432012;0;9.166667e-01
14;B-11865-x40-03.tif;527;606.119545;704.081594;20.377774;41.239017;2.156439;2.023725;0.494138;0.394552;176.000000;0.869383;119.503000;0.426681;0;9.444444e-01
15;B-11865-x40-03.tif;1946;643.387975;759.226619;40.446993;88.774131;3.579939;2.194826;0.455617;0.314398;942.000000;0.890176;295.879000;0.521854;0;9.166667e-01
16;B-11865-x40-03.tif;784;713.613520;129.573980;19.070095;63.727820;2.427613;3.341767;0.299243;0.245792;313.000000;0.954177;154.651000;0.343346;0;9.333333e-01
17;B-11865-x40-03.tif;387;727.038760;740.328165;17.365755;41.233704;2.631132;2.374426;0.421154;0.289812;175.000000;0.906989;113.118000;0.300603;0;9.166667e-01
18;B-11865-x40-03.tif;2405;792.358004;762.563410;41.026851;91.685109;3.453955;2.234759;0.447476;0.364274;945.000000;0.894296;323.088000;0.452254;0;9.666667e-01
19;B-11865-x40-03.tif;807;871.333333;722.912020;25.702319;69.003186;3.952016;2.684707;0.372480;0.215797;501.000000;0.928040;200.194000;0.341629;0;9.166667e-01
20;B-11865-x40-03.tif;2502;932.485612;687.716227;45.586951;92.545999;3.436472;2.030098;0.492587;0.371948;1086.000000;0.870263;328.704000;0.506993;0;9.761905e-01
21;B-11865-x40-03.tif;1460;1001.443151;712.888356;30.262558;76.503138;2.621622;2.527980;0.395573;0.317618;451.000000;0.918435;219.314000;0.328710;0;9.444444e-01
22;B-11865-x40-03.tif;534;1059.541199;263.353933;14.337899;60.451887;2.869806;4.216231;0.237179;0.186051;230.000000;0.971466;138.772000;0.344257;0;9.444444e-01
23;B-11865-x40-03.tif;558;1108.331541;699.998208;27.634886;44.643737;3.460600;1.615485;0.619009;0.356470;398.000000;0.785384;155.775000;0.307248;0;9.444444e-01
24;B-11865-x40-03.tif;397;1116.765743;288.851385;14.640485;47.255011;2.208750;3.227694;0.309819;0.226363;135.000000;0.950796;104.972000;0.441856;0;9.166667e-01
25;B-11865-x40-03.tif;419;1180.441527;337.124105;21.020699;26.187670;1.143372;1.245804;0.802695;0.777912;29.000000;0.596390;77.590000;0.320538;0;9.444444e-01
26;B-11865-x40-03.tif;517;1218.471954;351.382979;17.045820;49.410125;2.234795;2.898665;0.344986;0.269630;204.000000;0.938608;120.495000;0.476950;0;9.444444e-01
27;B-11865-x40-03.tif;1231;1229.557271;704.805849;29.926312;78.365883;3.446543;2.618628;0.381879;0.255220;750.000000;0.924212;230.901000;0.370521;0;9.444444e-01
28;B-11865-x40-03.tif;353;1233.121813;62.898017;13.700315;38.365366;2.155206;2.800327;0.357101;0.305356;92.000000;0.934066;97.777000;0.306893;0;8.333333e-01
29;B-11865-x40-03.tif;843;1315.143535;699.415184;32.570208;62.107082;4.055221;1.906868;0.524420;0.278263;649.000000;0.851460;207.265000;0.335014;0;9.444444e-01
30;B-11865-x40-03.tif;788;1393.355330;654.082487;28.179290;56.138953;3.049429;1.992206;0.501956;0.318352;437.000000;0.864893;173.771000;0.300179;0;9.722222e-01
31;B-11865-x40-03.tif;4944;1423.275081;69.157565;76.463244;103.987680;3.748127;1.359969;0.735311;0.582136;2118.000000;0.677730;482.560000;0.486982;0;9.444444e-01
32;B-11865-x40-03.tif;1147;1409.532694;361.446382;42.410652;49.445322;2.885824;1.165870;0.857728;0.597342;683.000000;0.514103;203.949000;0.465225;0;9.722222e-01
33;B-11865-x40-03.tif;1068;1486.508427;657.898876;17.478523;87.126406;2.942461;4.984769;0.200611;0.179136;258.000000;0.979671;198.722000;0.343061;0;9.444444e-01
34;B-11865-x40-03.tif;349;1552.097421;656.191977;14.408104;43.913361;2.686485;3.047824;0.328103;0.230432;127.000000;0.944642;108.545000;0.363101;0;9.444444e-01
35;B-11704-x40-08.tif;1955;64.978517;733.819437;39.558754;81.696467;2.103570;2.065193;0.484216;0.372950;645.000000;0.874948;227.330000;0.844531;0;9.916667e-01
36;B-11704-x40-08.tif;3277;184.839487;194.372902;48.616699;111.901273;3.716172;2.301704;0.434461;0.333209;1614.000000;0.900691;391.193000;0.244457;0;9.814815e-01
37;B-11704-x40-08.tif;1168;231.099315;114.720034;36.494274;41.607899;1.157700;1.140121;0.877100;0.859016;84.000000;0.480308;130.354000;0.718103;0;9.761905e-01
38;B-11704-x40-08.tif;997;267.467402;85.163490;41.667521;74.223210;4.414870;1.781321;0.561381;0.230423;1056.000000;0.827557;235.186000;0.655961;0;9.833333e-01
39;B-11704-x40-08.tif;1398;293.899142;613.348355;32.083698;57.221351;1.304376;1.783502;0.560695;0.543627;134.000000;0.828023;151.377000;0.844766;0;9.972678e-01
40;B-11704-x40-08.tif;899;342.010011;582.450501;32.024501;36.527626;1.214414;1.140615;0.876720;0.857881;63.000000;0.481001;117.130000;0.781188;0;9.814815e-01
41;B-11704-x40-08.tif;1456;382.003434;423.956044;36.349763;57.410614;1.558098;1.579394;0.633154;0.562454;254.000000;0.774026;168.843000;0.824348;0;9.947917e-01
42;B-11704-x40-08.tif;1019;390.752699;458.878312;32.862446;39.901689;1.071401;1.214203;0.823585;0.814895;49.000000;0.567192;117.130000;0.720586;0;9.814815e-01
43;B-11704-x40-08.tif;311;588.842444;514.668810;10.122921;42.834713;2.122218;4.231458;0.236325;0.215814;92.000000;0.971674;91.071000;0.619638;0;9.666667e-01
44;B-11704-x40-08.tif;1084;701.011993;788.223247;32.141711;44.459470;1.437930;1.383233;0.722944;0.698250;120.000000;0.690907;139.955000;0.596677;0;9.666667e-01
45;B-11704-x40-08.tif;6600;764.021364;553.126364;86.979111;125.426083;5.608188;1.442025;0.693469;0.534169;2832.000000;0.720486;682.006000;0.368651;0;9.861111e-01
46;B-11704-x40-08.tif;3961;879.580661;581.850290;68.093086;111.963598;3.291464;1.644273;0.608172;0.402310;2467.000000;0.793806;404.764000;0.486581;0;9.954955e-01
47;B-11704-x40-08.tif;1682;939.597503;630.649227;38.410196;84.745373;3.828063;2.206325;0.453242;0.298198;1134.000000;0.891387;284.451000;0.709040;0;9.956140e-01
48;B-11704-x40-08.tif;964;935.616183;276.136929;30.222993;44.203314;1.421801;1.462572;0.683727;0.628170;135.000000;0.729738;131.239000;0.797801;0;9.963768e-01
49;B-11704-x40-08.tif;5032;1074.387520;345.766892;52.585718;156.085267;3.075647;2.968206;0.336904;0.262983;2018.000000;0.941539;441.005000;0.761601;0;9.953704e-01
50;B-11704-x40-08.tif;1775;1061.403380;760.870423;40.381713;57.577252;1.250315;1.425825;0.701348;0.681721;147.000000;0.712819;166.999000;0.847468;0;9.946237e-01
51;B-11704-x40-08.tif;1333;1086.054764;675.992498;33.347471;53.673360;1.367077;1.609518;0.621304;0.589146;127.000000;0.783570;151.327000;0.822151;0;9.965278e-01
52;B-11704-x40-08.tif;1255;1210.790438;124.980080;38.013205;42.689364;1.143783;1.123014;0.890461;0.876828;58.000000;0.455060;134.307000;0.781912;0;9.895833e-01
53;B-11704-x40-08.tif;1393;1325.338119;240.082556;35.605473;52.769061;1.674684;1.482049;0.674741;0.636946;216.000000;0.738054;171.217000;0.696928;0;9.843750e-01
54;B-11704-x40-08.tif;1651;1433.342217;371.977589;38.314544;65.105778;1.793860;1.699245;0.588497;0.495927;312.000000;0.808500;192.918000;0.807360;0;9.950980e-01
55;B-11704-x40-08.tif;1351;1431.065137;180.647668;39.026485;44.404679;1.056504;1.137809;0.878882;0.872385;42.000000;0.477039;133.927000;0.728081;0;9.916667e-01
56;B-11704-x40-08.tif;1218;1460.265189;341.520525;35.087088;44.686179;1.114830;1.273579;0.785189;0.776624;57.000000;0.619256;130.627000;0.786539;0;9.814815e-01
57;B-11704-x40-08.tif;1557;1465.776493;268.086705;42.363557;51.113444;2.030481;1.206543;0.828814;0.758802;342.000000;0.559524;199.319000;0.673793;0;9.833333e-01
58;B-11704-x40-08.tif;1500;1494.344667;316.082000;35.643088;54.629802;1.241448;1.532690;0.652448;0.639944;107.000000;0.757834;152.973000;0.843019;0;9.953704e-01
59;B-11704-x40-08.tif;1548;1546.899871;263.405685;36.505874;55.865474;1.324627;1.530315;0.653460;0.631530;144.000000;0.756961;160.523000;0.836957;0;9.927536e-01
60;B-11333-x40-08.tif;346;9.372832;531.997110;12.319578;46.295107;2.594985;3.757848;0.266110;0.205549;160.000000;0.963943;106.221000;0.366427;0;9.444444e-01
61;B-11333-x40-08.tif;4203;49.500833;110.401856;57.972993;102.060756;2.333410;1.760488;0.568024;0.513750;1030.000000;0.823012;351.059000;0.698453;0;9.666667e-01
62;B-11333-x40-08.tif;498;71.694779;517.538153;25.074077;33.611914;2.488281;1.340505;0.745988;0.561246;169.000000;0.665960;124.787000;0.359298;0;9.444444e-01
63;B-11333-x40-08.tif;5715;373.547157;420.994226;71.920341;133.192728;2.979645;1.851948;0.539972;0.410171;2002.000000;0.841683;462.589000;0.732942;0;9.967949e-01
64;B-11333-x40-08.tif;995;496.552764;268.645226;27.676603;46.905153;1.258820;1.694758;0.590055;0.575827;73.000000;0.807363;125.458000;0.739707;6.666667e-01;8.518519e-01
65;B-11333-x40-08.tif;2972;637.893001;253.929004;51.863120;97.232723;2.654899;1.874795;0.533392;0.400252;978.000000;0.845868;314.886000;0.734656;6.722222e-01;8.850575e-01
66;B-11333-x40-08.tif;2869;682.695713;153.774486;44.014990;88.277614;1.834997;2.005626;0.498597;0.468748;412.000000;0.866834;257.210000;0.725653;0;9.761905e-01
67;B-11333-x40-08.tif;334;680.724551;275.278443;16.933129;35.230583;2.283216;2.080571;0.480637;0.342623;142.000000;0.876920;97.893000;0.730022;7.000000e-01;8.571429e-01
68;B-11333-x40-08.tif;2394;714.544695;659.066834;40.531196;81.033483;1.989395;1.999287;0.500178;0.464200;401.000000;0.865922;244.640000;0.741192;7.005650e-01;7.777778e-01
69;B-11333-x40-08.tif;4189;809.173550;500.587014;39.084865;174.174946;5.903574;4.456327;0.224400;0.175812;2292.000000;0.974497;557.465000;0.397574;0;9.761905e-01
70;B-11333-x40-08.tif;1205;754.771784;158.775104;37.918295;40.574633;0.987496;1.070054;0.934532;0.931940;35.000000;0.355879;122.283000;0.725484;3.333333e-01;9.047619e-01
71;B-11333-x40-08.tif;596;765.563758;36.654362;19.193955;54.057269;2.395432;2.816369;0.355067;0.259686;239.000000;0.934841;133.943000;0.687638;0;9.761905e-01
72;B-11333-x40-08.tif;456;763.309211;466.690789;19.975593;34.869486;1.708734;1.745604;0.572867;0.477512;98.000000;0.819648;98.952000;0.498615;0;9.583333e-01
73;B-11333-x40-08.tif;1407;816.245203;88.495380;26.766342;70.906563;1.776842;2.649094;0.377488;0.356313;188.000000;0.926015;177.246000;0.709133;0;9.722222e-01
74;B-11333-x40-08.tif;2141;818.734236;151.121439;44.686687;63.508085;1.676836;1.421186;0.703638;0.675879;242.000000;0.710559;212.402000;0.695995;0;9.666667e-01
75;B-11333-x40-08.tif;1059;862.475921;119.496695;30.802282;44.336759;1.164582;1.439399;0.694735;0.685927;64.000000;0.719266;124.491000;0.719378;0;9.761905e-01
76;B-11333-x40-08.tif;751;890.673768;180.934754;26.952386;36.162433;1.169656;1.341715;0.745315;0.731198;46.000000;0.666713;105.064000;0.727744;6.477273e-01;8.416667e-01
77;B-11333-x40-08.tif;482;907.651452;349.139004;13.276926;58.660321;3.539613;4.418216;0.226336;0.178348;287.000000;0.974049;146.422000;0.536995;0;9.444444e-01
78;B-11333-x40-08.tif;465;921.894624;464.105376;26.286252;31.100223;2.242948;1.183136;0.845211;0.612119;136.000000;0.534433;114.483000;0.641799;0;9.523810e-01
79;B-11333-x40-08.tif;318;931.022013;438.261006;14.320434;31.056305;1.496594;2.168671;0.461112;0.419795;44.000000;0.887342;77.334000;0.589141;0;9.722222e-01
80;B-11333-x40-08.tif;1656;1038.486715;565.439614;28.184281;81.639248;2.038765;2.896623;0.345230;0.316353;336.000000;0.938518;205.977000;0.709131;0;9.583333e-01
81;B-11333-x40-08.tif;2093;1077.158146;384.583851;29.076670;121.898228;3.788124;4.192304;0.238532;0.179343;1189.000000;0.971135;315.647000;0.672572;0;9.791667e-01
82;B-11333-x40-08.tif;4227;1144.973504;136.017980;43.501819;141.467138;3.166162;3.251982;0.307505;0.268925;1137.000000;0.951547;410.098000;0.724888;0;9.953704e-01
83;B-11333-x40-08.tif;435;1093.533333;589.770115;13.685141;47.996942;2.421611;3.507230;0.285125;0.240421;135.000000;0.958490;115.054000;0.637124;0;9.814815e-01
84;B-11333-x40-08.tif;1372;1191.204082;438.627551;32.638503;74.229110;3.177128;2.274280;0.439700;0.317041;641.000000;0.898145;234.045000;0.692923;0;9.957265e-01
85;B-11333-x40-08.tif;1039;1416.238691;158.595765;32.594151;41.023287;1.064476;1.258609;0.794528;0.786076;45.000000;0.607227;117.891000;0.657343;0;9.924242e-01
86;B-11333-x40-08.tif;603;1447.253731;314.505804;19.893499;43.220452;1.749424;2.172592;0.460280;0.411007;132.000000;0.887774;115.136000;0.521006;0;9.444444e-01
87;B-hosp1385-x40-09.tif;658;18.326748;339.316109;26.438870;47.809073;2.767314;1.808287;0.553009;0.366535;267.000000;0.833175;151.268000;0.286854;0;9.166667e-01
88;B-hosp1385-x40-09.tif;1082;60.931608;288.310536;29.185023;74.076873;4.173086;2.538181;0.393983;0.251057;719.000000;0.919118;238.203000;0.251155;0;9.166667e-01
89;B-hosp1385-x40-09.tif;398;133.572864;803.804020;20.426237;27.194301;1.556290;1.331342;0.751122;0.685232;44.000000;0.660163;88.225000;0.588939;0;9.880952e-01
90;B-hosp1385-x40-09.tif;884;160.280543;745.461538;20.477814;66.147356;2.501099;3.230196;0.309579;0.257239;325.000000;0.950874;166.685000;0.343640;0;9.444444e-01
91;B-hosp1385-x40-09.tif;695;271.030216;794.217266;20.092511;53.116792;1.983547;2.643611;0.378270;0.313640;207.000000;0.925695;131.619000;0.428343;0;9.666667e-01
92;B-hosp1385-x40-09.tif;3937;1088.337821;54.357887;61.643363;112.265147;4.140290;1.821204;0.549087;0.397728;2154.000000;0.835765;452.588000;0.317936;0;9.583333e-01
93;B-hosp1385-x40-09.tif;518;1190.081081;140.299228;21.199884;35.540216;1.768064;1.676434;0.596504;0.522155;111.000000;0.802610;107.280000;0.456497;0;9.722222e-01
94;B-hosp1385-x40-09.tif;2205;1469.676190;332.665760;29.063979;132.831073;5.086035;4.570299;0.218804;0.159118;1389.000000;0.975769;375.404000;0.408302;0;9.583333e-01
95;B-hosp1385-x40-09.tif;1596;1502.889724;414.882832;32.665749;68.341420;1.994004;2.092143;0.477979;0.435086;248.000000;0.878371;199.979000;0.516980;0;9.933333e-01
96;B-hosp1385-x40-09.tif;824;1539.466019;494.700243;17.495033;86.849319;3.935677;4.964227;0.201441;0.139093;561.000000;0.979501;201.873000;0.397148;0;9.166667e-01
97;B-hosp1385-x40-09.tif;943;1536.899258;394.539767;24.701286;60.224526;2.829917;2.438113;0.410153;0.331036;256.000000;0.912017;183.125000;0.549705;0;9.166667e-01
98;B-hosp1385-x40-09.tif;325;1557.193846;52.323077;17.540163;30.071702;1.962743;1.714448;0.583278;0.457591;75.000000;0.812273;89.532000;0.408718;0;9.166667e-01
99;B-hosp1385-x40-09.tif;549;1571.841530;550.870674;25.177132;29.254863;1.355242;1.161962;0.860614;0.816745;58.000000;0.509259;96.694000;0.343179;0;9.583333e-01
100;B-11183a-x40-08.tif;398;16.876884;745.188442;20.118796;26.926750;1.266332;1.338388;0.747168;0.698917;40.000000;0.664636;79.583000;0.460236;0;9.666667e-01
101;B-11183a-x40-08.tif;430;22.451163;327.065116;27.042937;28.965468;2.352135;1.071092;0.933627;0.652556;161.000000;0.358247;112.738000;0.401873;0;9.444444e-01
102;B-11183a-x40-08.tif;709;49.267983;22.966150;24.601397;44.908743;2.362495;1.825455;0.547809;0.447605;217.000000;0.836604;145.082000;0.391396;0;9.444444e-01
103;B-11183a-x40-08.tif;876;57.331050;317.296804;27.791973;43.777408;1.714133;1.575182;0.634847;0.581988;190.000000;0.772638;137.366000;0.325904;0;9.444444e-01
104;B-11183a-x40-08.tif;976;67.397541;504.219262;35.880405;38.767040;1.953810;1.080452;0.925539;0.826865;210.000000;0.378652;154.800000;0.404471;0;9.583333e-01
105;B-11183a-x40-08.tif;845;105.486391;117.734911;28.073262;42.681834;1.652403;1.520373;0.657733;0.590583;125.000000;0.753251;132.462000;0.215779;0;9.444444e-01
106;B-11183a-x40-08.tif;3501;170.755213;364.717224;59.835649;81.825538;2.370862;1.367505;0.731259;0.665770;944.000000;0.682100;322.964000;0.266598;0;9.583333e-01
107;B-11183a-x40-08.tif;310;221.441935;706.690323;15.760501;29.376111;1.477990;1.863907;0.536507;0.457386;74.000000;0.843896;75.879000;0.337366;0;9.444444e-01
