No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1067;186.596064;580.905342;33.019994;42.652355;1.120984;1.291713;0.774166;0.746773;41.000000;0.632983;122.599000;91.623243;62;167
2;B-hosp1385-x40-09.tif;1796;219.498886;608.649777;44.682630;52.264166;1.086441;1.169675;0.854938;0.837160;79.000000;0.518730;156.589000;87.269488;48;180
3;B-hosp1385-x40-09.tif;2320;230.786207;664.595259;51.520108;57.433917;0.986024;1.114786;0.897033;0.895491;30.000000;0.441964;169.548000;88.818103;33;183
4;B-hosp1385-x40-09.tif;3579;388.892707;216.711092;64.881865;70.319561;1.006242;1.083809;0.922672;0.921551;62.000000;0.385587;212.734000;102.013412;37;170
5;B-hosp1385-x40-09.tif;1849;468.968632;216.153056;45.198538;52.159135;1.003322;1.154000;0.866551;0.865339;41.000000;0.499089;152.684000;99.068686;46;169
6;B-hosp1385-x40-09.tif;784;516.600765;722.107143;20.641822;61.456065;2.231386;2.977260;0.335879;0.264300;391.000000;0.941905;148.269000;131.825255;48;172
7;B-hosp1385-x40-09.tif;2631;576.869631;79.784113;49.650656;67.561259;1.007726;1.360732;0.734898;0.733898;35.000000;0.678177;182.531000;90.297986;49;168
8;B-hosp1385-x40-09.tif;3033;606.212331;561.879657;55.372118;71.698370;1.153020;1.294846;0.772293;0.751214;181.000000;0.635267;209.633000;87.284207;31;186
9;B-hosp1385-x40-09.tif;2017;645.446207;314.057511;48.187171;53.401751;0.988858;1.108215;0.902352;0.900544;34.000000;0.431000;158.316000;103.357957;53;175
10;B-hosp1385-x40-09.tif;1584;658.927399;671.258207;42.355060;47.779046;0.993849;1.128060;0.886478;0.883467;35.000000;0.462771;140.651000;94.264520;34;156
11;B-hosp1385-x40-09.tif;1939;665.515214;260.061372;48.115425;51.448473;0.989996;1.069272;0.935216;0.932702;38.000000;0.354078;155.314000;101.684373;53;172
12;B-hosp1385-x40-09.tif;3245;692.153467;139.863790;60.158969;69.848109;1.216755;1.161059;0.861283;0.846868;311.000000;0.508126;222.748000;92.552851;45;174
13;B-hosp1385-x40-09.tif;1696;696.896226;225.673349;41.610727;52.157369;1.043015;1.253460;0.797792;0.793788;51.000000;0.602933;149.095000;99.143278;40;153
14;B-hosp1385-x40-09.tif;1623;735.131855;515.465188;43.555345;47.628075;1.008563;1.093507;0.914489;0.910967;46.000000;0.404611;143.422000;100.186691;54;183
15;B-hosp1385-x40-09.tif;3501;748.431020;264.834904;62.277862;76.691523;1.419677;1.231441;0.812057;0.757892;306.000000;0.583579;249.917000;89.509283;27;189
16;B-hosp1385-x40-09.tif;2781;756.543330;472.977346;55.093296;64.484101;1.014103;1.170453;0.854370;0.851541;60.000000;0.519665;188.255000;93.983459;49;173
17;B-hosp1385-x40-09.tif;2321;762.950452;61.364498;41.876438;70.726004;1.091250;1.688921;0.592094;0.590782;40.000000;0.805869;178.404000;88.392072;21;180
18;B-hosp1385-x40-09.tif;3161;782.620373;215.692819;58.295472;69.195004;1.049040;1.186970;0.842481;0.840592;84.000000;0.538726;204.133000;92.997786;35;166
19;B-hosp1385-x40-09.tif;3276;812.146215;518.741758;57.934332;72.044562;1.003220;1.243556;0.804146;0.803622;46.000000;0.594432;203.224000;101.676740;60;177
20;B-hosp1385-x40-09.tif;1866;801.650054;623.570740;42.021962;57.131048;1.049442;1.359552;0.735536;0.727909;34.000000;0.677485;156.870000;99.645230;35;169
21;B-hosp1385-x40-09.tif;1669;859.328939;350.718993;40.638956;52.466188;1.020173;1.291032;0.774574;0.771982;43.000000;0.632483;146.275000;97.406231;41;188
22;B-hosp1385-x40-09.tif;3135;895.987241;309.407337;57.990247;68.973156;1.008035;1.189392;0.840765;0.839049;44.000000;0.541400;199.279000;94.458692;42;168
23;B-hosp1385-x40-09.tif;2486;1028.810539;92.611826;53.387470;59.598727;0.988644;1.116343;0.895782;0.891122;32.000000;0.444494;175.742000;94.807723;49;195
24;B-hosp1385-x40-09.tif;2310;1044.355844;194.770563;45.296239;65.032558;1.024685;1.435717;0.696516;0.695441;34.000000;0.717541;172.467000;87.220779;40;167
25;B-hosp1385-x40-09.tif;3026;1072.476867;149.186715;55.310691;69.865844;1.038202;1.263153;0.791670;0.789313;62.000000;0.610949;198.692000;96.366490;63;165
26;B-hosp1385-x40-09.tif;1603;1185.870243;512.804117;41.160277;49.663640;0.996210;1.206591;0.828781;0.827497;33.000000;0.559573;141.660000;94.461634;47;172
27;B-hosp1385-x40-09.tif;1462;1195.389193;473.840629;37.564494;49.630385;1.007532;1.321205;0.756885;0.755722;32.000000;0.653548;136.053000;93.584815;54;173
28;B-hosp1385-x40-09.tif;854;1535.689696;743.183841;27.908336;39.574499;1.059257;1.418017;0.705210;0.694284;29.000000;0.708998;106.619000;79.418033;28;183
29;B-11333-x40-08.tif;1159;40.257981;490.000863;32.858470;45.801052;1.051556;1.393889;0.717417;0.703465;33.000000;0.696644;123.755000;145.493529;104;218
30;B-11333-x40-08.tif;1004;49.876494;440.986056;27.269740;47.066367;1.071812;1.725956;0.579389;0.577062;19.000000;0.815051;116.287000;128.532869;86;192
31;B-11333-x40-08.tif;1063;86.350894;598.960489;33.192622;41.196059;1.005718;1.241121;0.805723;0.797502;26.000000;0.592292;115.907000;146.458137;81;223
32;B-11333-x40-08.tif;1163;307.357696;331.269132;28.169287;52.768268;1.135262;1.873255;0.533830;0.531795;34.000000;0.845592;128.808000;132.553740;92;222
33;B-11333-x40-08.tif;1339;312.997013;259.688574;36.470950;46.889190;1.016542;1.285659;0.777811;0.775435;34.000000;0.628498;130.785000;140.730396;96;214
34;B-11333-x40-08.tif;985;323.054822;296.724873;26.851710;46.999419;1.090628;1.750332;0.571320;0.567756;24.000000;0.820727;116.188000;130.743147;70;200
35;B-11333-x40-08.tif;972;347.520576;230.108025;32.135319;38.657941;0.991994;1.202974;0.831273;0.828131;21.000000;0.555864;110.076000;128.316872;79;215
36;B-11333-x40-08.tif;1438;390.726008;295.372045;32.332204;56.767531;1.099134;1.755758;0.569555;0.568158;32.000000;0.821954;140.932000;147.764256;97;221
37;B-11333-x40-08.tif;1219;434.240361;697.603774;32.631361;47.873840;1.077130;1.467111;0.681612;0.677201;42.000000;0.731714;128.452000;142.723544;77;202
38;B-11333-x40-08.tif;1307;448.395562;778.401683;34.662113;48.388887;1.041558;1.396017;0.716324;0.710713;36.000000;0.697768;130.793000;150.756695;93;223
39;B-11333-x40-08.tif;953;516.492130;376.291710;29.245374;42.909232;1.091446;1.467214;0.681564;0.659024;32.000000;0.731759;114.328000;116.414481;86;203
40;B-11333-x40-08.tif;1490;532.413423;748.146309;41.809362;45.537405;1.006819;1.089168;0.918132;0.914871;40.000000;0.396274;137.301000;147.100000;96;201
41;B-11333-x40-08.tif;1015;532.990148;400.005911;32.004447;40.857215;1.043090;1.276611;0.783324;0.774174;33.000000;0.621613;115.345000;118.551724;79;215
42;B-11333-x40-08.tif;1016;566.298228;365.628937;31.282547;41.467969;1.010024;1.325594;0.754379;0.752278;23.000000;0.656440;113.558000;123.142717;58;225
43;B-11333-x40-08.tif;1418;580.035966;658.004231;41.408541;43.777239;0.986185;1.057203;0.945892;0.942084;35.000000;0.324482;132.563000;142.894922;105;197
