No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-02.tif;2006;43.963609;523.575773;47.927482;53.370006;0.977632;1.113557;0.898023;0.896699;23.000000;0.439949;156.985000;138.859422;60;175
2;B-11865-x40-02.tif;1891;44.722898;119.726600;43.018832;56.108490;1.008874;1.304277;0.766708;0.764794;37.000000;0.641996;154.835000;138.152829;61;171
3;B-11865-x40-02.tif;2107;48.426673;366.314665;48.236960;55.703188;0.990135;1.154782;0.865964;0.864599;34.000000;0.500106;161.914000;137.798766;71;184
4;B-11865-x40-02.tif;1858;60.898816;172.466631;44.110666;53.773416;0.997167;1.219057;0.820306;0.818127;38.000000;0.571925;152.585000;132.994618;65;173
5;B-11865-x40-02.tif;1860;71.720430;58.573118;42.874912;55.329176;1.024033;1.290479;0.774906;0.773597;42.000000;0.632076;154.710000;140.580645;63;179
6;B-11865-x40-02.tif;2074;78.368370;284.282546;43.868825;60.276620;1.018978;1.374019;0.727792;0.726810;41.000000;0.685798;162.964000;134.696239;64;172
7;B-11865-x40-02.tif;1882;80.498406;420.713603;45.866529;52.297242;0.976789;1.140205;0.877035;0.876137;34.000000;0.480426;151.990000;139.489904;62;203
8;B-11865-x40-02.tif;1891;90.542041;586.352195;47.526064;50.750121;0.976481;1.067838;0.936472;0.934819;26.000000;0.350743;152.329000;136.637758;62;173
9;B-11865-x40-02.tif;1812;104.561258;342.658389;46.239021;49.994253;0.982750;1.081213;0.924887;0.923056;29.000000;0.380243;149.591000;143.224614;75;176
10;B-11865-x40-02.tif;2157;120.667130;105.653222;48.095917;57.197509;0.988240;1.189238;0.840874;0.839472;35.000000;0.541230;163.667000;124.176634;60;174
11;B-11865-x40-02.tif;1882;126.941020;632.825717;48.120410;49.864051;0.989361;1.036235;0.965032;0.963728;33.000000;0.262132;152.965000;135.712009;62;176
12;B-11865-x40-02.tif;1829;160.602515;527.846911;44.803114;52.028031;0.991031;1.161259;0.861134;0.860298;35.000000;0.508378;150.923000;140.256424;67;185
13;B-11865-x40-02.tif;1905;168.613648;55.116010;43.184871;56.311165;1.014437;1.303956;0.766897;0.764920;33.000000;0.641770;155.835000;141.214698;71;174
14;B-11865-x40-02.tif;2212;171.647830;458.351266;42.090319;67.038214;1.072739;1.592723;0.627856;0.626687;48.000000;0.778330;172.681000;134.786618;59;168
15;B-11865-x40-02.tif;2069;175.593523;699.114548;49.524320;53.276482;0.989959;1.075764;0.929572;0.928110;41.000000;0.368641;160.433000;128.612856;67;163
16;B-11865-x40-02.tif;1729;189.848467;383.455176;45.807978;48.097264;0.969134;1.049976;0.952403;0.951622;26.000000;0.304842;145.109000;143.595720;63;176
