No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;1821;181.103789;238.985173;42.020895;55.339672;1.018976;1.316956;0.759327;0.757089;41.000000;0.650709;152.701000;133.395936;99;195
2;B-11865-x40-03.tif;1748;180.027460;434.410183;39.608034;56.522239;1.043202;1.427040;0.700751;0.696647;50.000000;0.713406;151.377000;125.673913;84;198
3;B-11865-x40-03.tif;6191;250.925214;402.221935;68.161562;121.784505;1.322498;1.786704;0.559690;0.531480;440.000000;0.828702;320.762000;133.148603;89;200
4;B-11865-x40-03.tif;1744;239.864106;351.589450;40.672788;55.214798;1.046286;1.357537;0.736628;0.728359;75.000000;0.676298;151.427000;134.461583;100;189
5;B-11865-x40-03.tif;3115;250.788443;200.312360;52.830571;81.414384;1.287575;1.541047;0.648910;0.598365;276.000000;0.760866;224.502000;133.015088;79;214
6;B-11865-x40-03.tif;1661;254.682119;474.822396;38.279881;55.878773;1.047706;1.459743;0.685052;0.677308;52.000000;0.728494;147.880000;122.175798;87;188
7;B-11865-x40-03.tif;1900;278.760526;255.684211;39.379668;61.628065;1.075568;1.564972;0.638989;0.636952;54.000000;0.769216;160.251000;137.093158;111;198
8;B-11865-x40-03.tif;2265;283.556291;437.218543;44.418311;70.744038;1.304732;1.592677;0.627874;0.576234;254.000000;0.778315;192.708000;119.203974;82;186
9;B-11865-x40-03.tif;1895;281.230607;307.121372;43.898760;55.204535;1.029670;1.257542;0.795202;0.791717;56.000000;0.606345;156.588000;134.289182;99;205
10;B-11865-x40-03.tif;1703;307.202584;342.545508;31.362115;70.832654;1.291466;2.258542;0.442764;0.432173;73.000000;0.896638;166.247000;135.215502;90;203
11;B-11865-x40-03.tif;5161;325.412904;450.564232;53.907061;127.982111;1.429372;2.374125;0.421208;0.401186;620.000000;0.906964;304.470000;127.729510;75;202
12;B-11865-x40-03.tif;1956;338.183027;229.653374;41.611436;59.938221;1.021836;1.440427;0.694239;0.693220;37.000000;0.719745;158.482000;137.888548;110;199
13;B-11865-x40-03.tif;1931;341.471776;277.876748;42.092811;58.544898;1.022356;1.390853;0.718983;0.717322;31.000000;0.695027;157.506000;139.446919;105;195
14;B-11865-x40-03.tif;1582;340.578382;379.274968;38.465232;52.565240;1.013572;1.366565;0.731762;0.728986;24.000000;0.681561;141.950000;129.260430;96;195
15;B-11865-x40-03.tif;1656;348.713164;183.005435;41.074652;51.553083;1.003797;1.255107;0.796745;0.793343;31.000000;0.604316;144.530000;136.039855;104;215
16;B-11865-x40-03.tif;4149;374.380815;461.267775;53.232351;102.229621;1.314205;1.920442;0.520714;0.505475;408.000000;0.853731;261.763000;128.923837;83;202
17;B-11865-x40-03.tif;3924;392.301733;308.964577;50.027390;107.210576;1.612767;2.143038;0.466627;0.434674;518.000000;0.884454;282.004000;134.913354;105;195
18;B-11865-x40-03.tif;1815;376.938292;517.300275;40.162044;58.788610;1.095597;1.463785;0.683160;0.668652;83.000000;0.730268;158.077000;122.755923;72;204
19;B-11865-x40-03.tif;1953;389.246800;361.156170;41.278407;60.958366;1.102752;1.476762;0.677157;0.669184;80.000000;0.735838;164.511000;137.116743;112;191
20;B-11865-x40-03.tif;1909;409.396019;253.572551;35.892198;69.033447;1.247891;1.923355;0.519925;0.510031;97.000000;0.854212;173.020000;136.393924;107;197
21;B-11865-x40-03.tif;1755;414.564103;400.296866;40.787699;54.910048;1.016242;1.346240;0.742809;0.741112;48.000000;0.669503;149.707000;137.140741;113;199
22;B-11865-x40-03.tif;1763;421.922292;219.224617;37.346595;60.487805;1.072540;1.619634;0.617424;0.613517;50.000000;0.786631;154.148000;135.387975;102;209
23;B-11865-x40-03.tif;1313;416.988576;475.271896;37.163134;46.027668;1.073035;1.238530;0.807409;0.789109;62.000000;0.589993;133.059000;124.779132;83;203
24;B-11865-x40-03.tif;1146;416.261780;535.067190;35.450694;41.491807;0.997461;1.170409;0.854402;0.847559;27.000000;0.519612;119.852000;119.406632;76;215
25;B-11865-x40-03.tif;1530;430.749673;171.343137;35.183919;55.945820;1.115749;1.590096;0.628893;0.622395;58.000000;0.777492;146.465000;135.279739;80;200
26;B-11865-x40-03.tif;2849;448.084591;566.117585;55.314738;75.388820;1.730154;1.362907;0.733726;0.638247;549.000000;0.679445;248.882000;119.415584;15;193
27;B-11865-x40-03.tif;1696;451.479953;446.639741;41.849373;51.715080;0.985514;1.235743;0.809230;0.807424;28.000000;0.587493;144.927000;133.580778;83;208
28;B-11865-x40-03.tif;1679;457.556284;356.234068;35.681630;60.132003;1.076609;1.685237;0.593388;0.591220;37.000000;0.804916;150.716000;132.734366;98;200
29;B-11865-x40-03.tif;1471;455.762067;516.745751;36.736458;51.934064;1.075605;1.413693;0.707367;0.694414;46.000000;0.706846;141.006000;125.756628;92;197
30;B-11865-x40-03.tif;1757;490.217416;410.402960;41.879710;53.722890;1.034132;1.282790;0.779551;0.775110;52.000000;0.626339;151.105000;137.116107;90;204
31;B-11865-x40-03.tif;1596;493.833960;335.508772;32.931613;61.895205;1.119710;1.879507;0.532054;0.530431;36.000000;0.846710;149.856000;133.138471;79;213
32;B-11865-x40-03.tif;1908;496.376310;251.295073;37.577677;64.753811;1.075930;1.723199;0.580316;0.579372;30.000000;0.814391;160.615000;135.553459;100;194
33;B-11865-x40-03.tif;1782;495.985410;209.763749;39.324789;57.854922;1.066922;1.471207;0.679714;0.677856;53.000000;0.733477;154.570000;137.671156;95;198
34;B-11865-x40-03.tif;1636;494.470660;499.688875;37.433891;55.758680;1.033124;1.489524;0.671355;0.669990;33.000000;0.741136;145.738000;135.229829;81;202
35;B-11865-x40-03.tif;1906;502.327912;291.229801;40.951549;59.356815;1.020161;1.449440;0.689922;0.688798;30.000000;0.723884;156.315000;136.259706;99;204
36;B-11865-x40-03.tif;1121;491.735058;609.439786;35.125880;40.858634;0.980945;1.163206;0.859693;0.854964;23.000000;0.510811;117.552000;113.157003;43;211
37;B-11865-x40-03.tif;1657;500.199759;564.595655;40.239111;52.887298;1.019457;1.314326;0.760846;0.754275;40.000000;0.648932;145.697000;124.000604;86;204
38;B-11865-x40-03.tif;1826;513.865827;465.135268;41.862814;55.628445;1.006520;1.328827;0.752543;0.751306;36.000000;0.658543;151.973000;138.039430;101;200
39;B-11865-x40-03.tif;1712;515.179907;163.947430;38.957981;56.477329;1.106269;1.449699;0.689799;0.683385;71.000000;0.724001;154.272000;139.535631;100;206
40;B-11865-x40-03.tif;1547;530.886878;544.601810;36.114785;55.045368;1.053012;1.524178;0.656091;0.650068;33.000000;0.754682;143.076000;126.194570;85;193
41;B-11865-x40-03.tif;2691;552.914530;436.780007;41.633357;87.345530;1.573375;2.097970;0.476651;0.449099;359.000000;0.879092;230.663000;128.944630;84;209
42;B-11865-x40-03.tif;1495;533.783278;641.986622;42.050467;45.696874;0.998036;1.086715;0.920204;0.911545;38.000000;0.391438;136.930000;119.915050;77;180
43;B-11865-x40-03.tif;1770;539.593220;600.282486;44.935816;50.354120;0.989899;1.120579;0.892396;0.888819;44.000000;0.451253;148.384000;125.447458;90;193
44;B-11865-x40-03.tif;1651;545.500909;382.781950;36.279968;58.096627;1.053339;1.601342;0.624476;0.622810;38.000000;0.781044;147.830000;133.358571;91;200
45;B-11865-x40-03.tif;1431;561.685535;526.373864;33.971679;54.119612;1.077870;1.593080;0.627715;0.622072;45.000000;0.778443;139.222000;126.944794;88;196
46;B-11865-x40-03.tif;1680;572.490476;492.050000;39.142058;55.016454;1.032609;1.405559;0.711461;0.706699;54.000000;0.702726;147.648000;132.275595;101;206
47;B-11865-x40-03.tif;1866;574.590032;241.325831;41.116896;57.912241;1.019764;1.408478;0.709986;0.708404;38.000000;0.704216;154.636000;135.671490;78;202
48;B-11865-x40-03.tif;1978;580.325581;281.315976;35.866581;70.453155;1.146137;1.964312;0.509084;0.507383;55.000000;0.860717;168.786000;137.412538;86;205
49;B-11865-x40-03.tif;1719;582.134380;320.388598;37.836149;57.989759;1.038218;1.532655;0.652463;0.650854;34.000000;0.757821;149.757000;137.679465;97;208
50;B-11865-x40-03.tif;1757;582.715993;358.723392;37.934933;59.065074;1.040479;1.557010;0.642257;0.641240;38.000000;0.766490;151.568000;135.159932;102;199
51;B-11865-x40-03.tif;1631;579.638872;575.508277;43.183634;48.195600;0.976138;1.116062;0.896008;0.894024;27.000000;0.444038;141.445000;128.618026;92;195
52;B-11865-x40-03.tif;1683;584.264409;630.109329;43.608436;49.183190;0.971712;1.127837;0.886653;0.885851;27.000000;0.462435;143.356000;127.278075;95;193
53;B-11865-x40-03.tif;1897;600.065894;202.727464;40.226514;60.278214;1.109983;1.498470;0.667347;0.664747;40.000000;0.744747;162.666000;138.461782;104;210
54;B-11865-x40-03.tif;1764;618.344671;420.409864;40.197847;56.519439;1.053956;1.406032;0.711222;0.703093;73.000000;0.702968;152.850000;134.345238;105;194
55;B-11865-x40-03.tif;1750;619.081714;520.051429;43.721416;51.151695;0.983211;1.169946;0.854740;0.851585;27.000000;0.519056;147.044000;132.130857;90;200
56;B-11865-x40-03.tif;1855;627.794609;560.338005;39.568029;59.887685;1.026355;1.513537;0.660704;0.658535;24.000000;0.750647;154.677000;134.555795;98;192
57;B-11865-x40-03.tif;1647;634.022465;387.865209;33.269553;63.596254;1.147217;1.911545;0.523137;0.518490;69.000000;0.852249;154.090000;131.877353;105;191
58;B-11865-x40-03.tif;1553;627.378622;599.037347;40.222835;49.554242;1.011311;1.231993;0.811693;0.805230;40.000000;0.584084;140.486000;127.566645;99;188
59;B-11865-x40-03.tif;1752;631.585616;476.415525;39.201351;57.040319;1.023852;1.455060;0.687257;0.685615;33.000000;0.726414;150.138000;135.236301;100;205
60;B-11865-x40-03.tif;1481;635.100608;666.099932;37.853097;50.019548;1.022862;1.321412;0.756766;0.753678;31.000000;0.653686;137.972000;123.151249;92;200
61;B-11865-x40-03.tif;1816;654.769273;232.577643;37.944874;61.053109;1.060769;1.608995;0.621506;0.620312;43.000000;0.783409;155.587000;134.959802;105;199
62;B-11865-x40-03.tif;1811;658.238542;312.419105;37.838598;61.028360;1.058727;1.612860;0.620017;0.619106;39.000000;0.784589;155.223000;137.704583;100;210
63;B-11865-x40-03.tif;1592;656.075377;631.730528;39.889762;50.988221;1.008142;1.278228;0.782333;0.779675;42.000000;0.622861;142.016000;128.038945;89;196
64;B-11865-x40-03.tif;1713;658.502043;357.222417;39.095349;56.037575;1.025349;1.433357;0.697663;0.694558;44.000000;0.716426;148.566000;133.909515;84;198
65;B-11865-x40-03.tif;1713;669.394629;276.124343;37.483915;58.357974;1.051771;1.556880;0.642310;0.640423;39.000000;0.766445;150.468000;133.513719;92;206
66;B-11865-x40-03.tif;1714;682.679697;417.369312;40.221230;54.348619;0.996529;1.351242;0.740060;0.738829;30.000000;0.672541;146.506000;132.621354;81;198
67;B-11865-x40-03.tif;2035;683.286486;466.664865;47.100502;55.118692;0.975412;1.170236;0.854529;0.852858;26.000000;0.519404;157.936000;136.586732;98;209
68;B-11865-x40-03.tif;1876;683.652452;537.209488;43.669541;54.783280;0.989206;1.254496;0.797133;0.795879;34.000000;0.603804;152.709000;137.432836;95;203
69;B-11865-x40-03.tif;1948;686.408111;583.534908;44.726504;55.537236;0.997323;1.241708;0.805343;0.804138;36.000000;0.592810;156.249000;138.780287;108;198
70;B-11865-x40-03.tif;1455;685.892784;670.540206;38.898025;47.753503;0.987062;1.227659;0.814559;0.812386;25.000000;0.580081;134.341000;124.401375;83;205
71;B-11865-x40-03.tif;1951;702.148642;204.158380;39.190687;63.596182;1.090036;1.622737;0.616243;0.614194;50.000000;0.787556;163.476000;138.380318;91;203
72;B-11865-x40-03.tif;1894;715.315206;639.126716;45.099340;53.542643;0.982360;1.187216;0.842307;0.841183;35.000000;0.538998;152.908000;133.003696;105;199
73;B-11865-x40-03.tif;1745;728.071633;339.673926;38.746756;57.472543;1.027042;1.483287;0.674179;0.672643;31.000000;0.738568;150.071000;136.598281;78;209
74;B-11865-x40-03.tif;1837;735.139358;401.319543;37.372561;62.753814;1.073988;1.679141;0.595542;0.593935;43.000000;0.803324;157.456000;134.224823;105;202
75;B-11865-x40-03.tif;1951;736.086622;509.906202;42.970823;57.929899;1.020928;1.348122;0.741773;0.740222;39.000000;0.670651;158.209000;141.892363;93;202
76;B-11865-x40-03.tif;1525;742.023607;269.226230;32.090355;61.297218;1.148158;1.910145;0.523521;0.516771;79.000000;0.852013;148.334000;129.016393;103;211
77;B-11865-x40-03.tif;1641;748.023766;239.137721;33.505048;63.189335;1.155495;1.885965;0.530233;0.523276;79.000000;0.847852;154.363000;127.928093;95;194
78;B-11865-x40-03.tif;1729;752.410642;304.548872;36.820568;59.870579;1.057329;1.626009;0.615003;0.614155;28.000000;0.788525;151.568000;135.737420;88;202
79;B-11865-x40-03.tif;2220;755.123874;586.358559;47.796885;59.309498;1.011420;1.240865;0.805889;0.803553;48.000000;0.592066;167.976000;140.113964;104;194
80;B-11865-x40-03.tif;1835;755.438692;678.278474;45.113512;51.852910;0.980774;1.149388;0.870029;0.868960;34.000000;0.493001;150.386000;133.147684;96;200
81;B-11865-x40-03.tif;1864;766.096567;448.498927;40.490540;58.780703;1.054992;1.451714;0.688841;0.686889;58.000000;0.724913;157.200000;137.015021;105;207
82;B-11865-x40-03.tif;1850;775.586486;210.057297;40.359395;58.544773;1.045146;1.450586;0.689377;0.687236;42.000000;0.724403;155.876000;139.100000;83;208
83;B-11865-x40-03.tif;1719;794.970913;386.486329;36.388232;60.284230;1.060927;1.656696;0.603611;0.602252;32.000000;0.797279;151.386000;135.230366;104;200
84;B-11865-x40-03.tif;2077;797.850746;637.421762;47.254761;56.040944;0.992462;1.185932;0.843219;0.842046;36.000000;0.537571;160.946000;135.308137;96;210
85;B-11865-x40-03.tif;2591;814.319568;252.540332;42.200300;83.997607;1.339613;1.990450;0.502399;0.467567;278.000000;0.864636;208.847000;127.825550;81;209
86;B-11865-x40-03.tif;1640;810.618902;694.043902;42.226779;49.561310;0.984460;1.173694;0.852011;0.850097;35.000000;0.523524;142.438000;128.656098;79;207
87;B-11865-x40-03.tif;1889;814.337745;548.014293;47.332931;51.025855;0.999182;1.078020;0.927626;0.923765;45.000000;0.373509;154.008000;136.509264;101;202
88;B-11865-x40-03.tif;2493;823.884477;429.131167;45.700777;71.002332;1.139214;1.553635;0.643652;0.629633;112.000000;0.765318;188.916000;123.281588;77;201
89;B-11865-x40-03.tif;1727;833.301100;290.480602;33.315790;66.355050;1.160708;1.991700;0.502084;0.499407;45.000000;0.864819;158.713000;130.417487;85;213
90;B-11865-x40-03.tif;1736;839.610599;483.451037;40.490575;54.646382;0.997838;1.349607;0.740956;0.740179;32.000000;0.671553;147.540000;135.377304;106;212
