No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;1502;95.810919;378.344874;37.519528;51.488703;1.056994;1.372317;0.728694;0.721367;31.000000;0.684839;141.246000;148.772969;101;201
2;B-11704-x40-08.tif;1349;126.353595;307.994811;29.289810;58.897912;1.154519;2.010867;0.497298;0.495133;39.000000;0.867580;139.898000;143.604151;107;198
3;B-11704-x40-08.tif;965;125.112953;189.739896;32.694681;38.148803;0.998301;1.166820;0.857030;0.844259;26.000000;0.515266;110.027000;136.322280;42;228
4;B-11704-x40-08.tif;1979;195.370389;341.285498;46.669253;54.377512;1.022117;1.165168;0.858245;0.852152;46.000000;0.513239;159.433000;153.218292;118;218
5;B-11704-x40-08.tif;1955;208.734015;281.725831;45.143931;55.671492;1.100646;1.233200;0.810899;0.803140;76.000000;0.585187;164.438000;150.122762;114;194
6;B-11704-x40-08.tif;967;231.259566;115.887280;33.007077;37.625721;0.977599;1.139929;0.877248;0.869695;22.000000;0.480038;108.993000;128.264736;58;225
7;B-11704-x40-08.tif;1894;244.136748;306.280887;44.474625;55.398259;1.109391;1.245615;0.802816;0.785774;67.000000;0.596226;162.494000;153.724921;120;201
8;B-11704-x40-08.tif;1316;266.800152;745.362462;29.733590;57.114376;1.161477;1.920871;0.520597;0.513659;50.000000;0.853802;138.592000;144.449848;96;222
9;B-11704-x40-08.tif;953;292.681007;164.798531;25.428273;48.918158;1.206923;1.923770;0.519813;0.507064;45.000000;0.854280;120.224000;125.426023;59;226
10;B-11704-x40-08.tif;1343;320.806404;311.201042;27.145065;64.297659;1.339451;2.368668;0.422178;0.413615;60.000000;0.906513;150.351000;144.751303;106;197
11;B-11704-x40-08.tif;865;390.501734;459.839306;30.594210;36.146464;0.970150;1.181481;0.846396;0.842936;19.000000;0.532555;102.691000;123.686705;58;224
12;B-11704-x40-08.tif;564;530.253546;586.535461;22.622101;34.720980;1.236417;1.534826;0.651540;0.595669;47.000000;0.758614;93.611000;163.634752;113;200
13;B-11704-x40-08.tif;1032;564.065891;573.387597;38.172735;39.450844;1.461552;1.033482;0.967602;0.844262;198.000000;0.252479;137.674000;143.692829;85;213
14;B-11704-x40-08.tif;2119;577.351581;242.030675;36.129587;75.870601;1.240587;2.099958;0.476200;0.468699;104.000000;0.879337;181.754000;135.661161;70;201
15;B-11704-x40-08.tif;1094;577.595064;335.007313;32.597494;43.318445;1.043583;1.328889;0.752508;0.742304;31.000000;0.658583;119.778000;135.298903;84;205
16;B-11704-x40-08.tif;957;611.801463;371.369906;26.440631;46.730244;1.106614;1.767365;0.565814;0.557989;20.000000;0.824533;115.361000;132.077325;85;212
17;B-11704-x40-08.tif;896;616.237723;332.977679;31.466551;36.390540;0.959358;1.156483;0.864690;0.861472;18.000000;0.502305;103.932000;135.572545;88;204
18;B-11704-x40-08.tif;927;617.052859;263.449838;25.072691;47.728558;1.132289;1.903607;0.525318;0.518123;30.000000;0.850906;114.848000;132.710895;89;212
19;B-11704-x40-08.tif;1756;662.318337;506.544419;39.336055;61.474687;1.421324;1.562808;0.639874;0.591619;215.000000;0.768480;177.098000;127.283030;32;201
20;B-11704-x40-08.tif;734;651.224796;538.201635;28.718999;33.961535;1.108934;1.182546;0.845633;0.810273;48.000000;0.533765;101.136000;124.911444;61;205
21;B-11704-x40-08.tif;1702;661.706228;441.750294;43.962426;55.095024;1.453991;1.253230;0.797938;0.713912;189.000000;0.602739;176.346000;138.591069;77;197
22;B-11704-x40-08.tif;1002;675.867265;570.251497;26.758298;48.494963;1.188218;1.812334;0.551775;0.542481;67.000000;0.833993;122.317000;131.766467;91;206
23;B-11704-x40-08.tif;901;677.669256;353.994451;26.944714;43.809437;1.114183;1.625901;0.615044;0.597722;33.000000;0.788493;112.317000;140.035516;79;205
24;B-11704-x40-08.tif;1014;680.870809;473.964497;31.785532;41.170788;1.096279;1.295268;0.772041;0.761675;57.000000;0.635573;118.191000;126.118343;71;200
25;B-11704-x40-08.tif;1020;680.393137;238.911765;30.641759;43.069561;1.070516;1.405584;0.711448;0.700115;33.000000;0.702739;117.139000;134.226471;82;214
26;B-11704-x40-08.tif;947;703.697994;500.855333;29.998156;41.183020;1.160550;1.372852;0.728411;0.710925;72.000000;0.685141;117.520000;124.279831;92;193
27;B-11704-x40-08.tif;1262;705.360539;638.664025;34.477655;47.970598;1.125984;1.391353;0.718725;0.698263;57.000000;0.695295;133.629000;129.850238;39;218
28;B-11704-x40-08.tif;1065;707.597183;587.687324;25.895280;54.742426;1.310606;2.113992;0.473039;0.452493;88.000000;0.881042;132.439000;136.015023;89;213
29;B-11704-x40-08.tif;1402;730.700428;287.379458;33.219881;54.974562;1.436194;1.654869;0.604277;0.590656;98.000000;0.796774;159.069000;147.512126;107;206
30;B-11704-x40-08.tif;1006;733.028827;499.416501;34.689606;38.163092;1.073641;1.100130;0.908983;0.879470;58.000000;0.416833;116.502000;141.915507;108;213
31;B-11704-x40-08.tif;960;741.761458;464.368750;28.786601;42.554619;1.011964;1.478279;0.676462;0.674975;17.000000;0.736477;110.490000;138.131250;99;214
32;B-11704-x40-08.tif;853;745.253224;773.338804;21.453450;54.113502;1.510886;2.522368;0.396453;0.370892;110.000000;0.918055;127.261000;134.766706;44;222
33;B-11704-x40-08.tif;1085;744.233180;352.896774;33.932586;41.842995;1.064168;1.233121;0.810950;0.789031;44.000000;0.585115;120.455000;147.211982;108;200
34;B-11704-x40-08.tif;1098;751.237705;631.632969;31.967132;44.990560;1.075536;1.407401;0.710530;0.690669;40.000000;0.703667;121.820000;131.301457;87;226
35;B-11704-x40-08.tif;1228;761.341205;423.046417;35.105311;44.665047;0.987312;1.272316;0.785968;0.783742;19.000000;0.618267;123.433000;156.261401;128;216
36;B-11704-x40-08.tif;1090;790.598165;342.497248;31.564763;44.194878;1.015686;1.400133;0.714218;0.710547;22.000000;0.699924;117.950000;133.845872;89;200
37;B-11704-x40-08.tif;931;789.392052;388.815252;29.361993;41.223459;1.054450;1.403973;0.712264;0.697543;35.000000;0.701911;111.069000;141.295381;101;222
38;B-11704-x40-08.tif;973;804.299075;443.438849;28.743539;43.522780;1.047299;1.514176;0.660425;0.654018;28.000000;0.750892;113.161000;139.799589;106;209
39;B-11704-x40-08.tif;969;834.769866;415.996904;30.566462;40.837892;1.052236;1.336036;0.748483;0.739788;35.000000;0.663154;113.194000;140.166151;110;207
40;B-11704-x40-08.tif;901;850.700333;460.037736;32.010058;36.203327;0.988805;1.130998;0.884174;0.875262;26.000000;0.467157;105.809000;138.895671;92;209
41;B-11704-x40-08.tif;905;868.276243;499.796685;26.385230;43.983053;1.085057;1.666957;0.599895;0.595646;30.000000;0.800078;111.085000;131.343646;93;203
42;B-11704-x40-08.tif;919;875.405876;430.340588;29.919993;39.283856;0.984651;1.312963;0.761636;0.758224;19.000000;0.648005;106.636000;138.176279;106;207
43;B-11704-x40-08.tif;895;883.863687;384.387709;23.382912;48.913209;1.156289;2.091836;0.478049;0.476300;18.000000;0.878333;114.038000;129.806704;75;205
44;B-11704-x40-08.tif;870;896.585057;458.914943;27.679836;40.255560;1.011745;1.454328;0.687603;0.683562;23.000000;0.726087;105.172000;136.050575;96;211
45;B-11704-x40-08.tif;1535;901.866450;499.343974;36.354863;57.976434;1.262306;1.594737;0.627063;0.581454;116.000000;0.778969;156.042000;127.831922;70;214
46;B-11704-x40-08.tif;952;926.752101;414.154412;32.583894;37.563327;0.983532;1.152819;0.867439;0.859051;17.000000;0.497544;108.472000;141.052521;99;208
47;B-11704-x40-08.tif;820;939.247561;462.913415;29.144482;35.955656;0.974382;1.233704;0.810567;0.807587;19.000000;0.585645;100.202000;133.068293;95;207
48;B-11704-x40-08.tif;855;937.727485;626.584795;24.334226;45.919909;1.204405;1.887050;0.529928;0.516267;56.000000;0.848043;113.756000;132.380117;68;221
49;B-11704-x40-08.tif;944;952.215042;541.742585;31.550891;38.448968;0.984019;1.218633;0.820591;0.813042;22.000000;0.571515;108.042000;134.605932;97;202
50;B-11704-x40-08.tif;931;966.021482;441.033298;29.613707;40.181739;0.984065;1.356863;0.736994;0.734180;15.000000;0.675899;107.298000;135.784103;98;205
51;B-11704-x40-08.tif;1065;985.823474;413.419718;28.829622;47.422578;1.069316;1.644925;0.607930;0.602961;31.000000;0.793990;119.628000;138.579343;79;205
52;B-11704-x40-08.tif;1058;984.994329;563.406427;33.085976;40.885048;0.981838;1.235721;0.809244;0.805873;23.000000;0.587473;114.253000;141.365784;105;203
53;B-11704-x40-08.tif;821;993.338611;469.713764;29.406575;35.708966;0.980902;1.214319;0.823507;0.819783;18.000000;0.567306;100.598000;132.607795;71;205
54;B-11704-x40-08.tif;839;1001.516091;533.917759;31.401235;34.736220;1.011525;1.106206;0.903991;0.885334;27.000000;0.427551;103.270000;130.054827;84;206
55;B-11704-x40-08.tif;896;1027.770089;435.018973;28.609824;40.587959;1.106597;1.418672;0.704885;0.692506;50.000000;0.709322;111.623000;134.056920;86;206
56;B-11704-x40-08.tif;1210;1034.423967;477.591736;31.684805;50.226794;1.210557;1.585201;0.630835;0.610695;84.000000;0.775917;135.672000;147.069421;118;206
57;B-11704-x40-08.tif;1798;1045.858732;529.581758;45.050083;51.569975;1.048513;1.144725;0.873572;0.860807;60.000000;0.486695;153.917000;133.135706;80;218
58;B-11704-x40-08.tif;1382;1083.343705;486.244573;41.302683;45.718486;1.285117;1.106913;0.903413;0.841850;116.000000;0.428771;149.393000;143.934877;97;212
59;B-11704-x40-08.tif;1122;1086.800357;440.573084;35.062149;41.393950;1.052530;1.180588;0.847036;0.833737;45.000000;0.531536;121.820000;138.404635;82;217
60;B-11704-x40-08.tif;1236;1111.153722;377.513754;33.421163;49.288440;1.215933;1.474767;0.678073;0.647796;109.000000;0.734995;137.426000;149.193366;96;222
61;B-11704-x40-08.tif;845;1136.106509;325.708876;31.294246;35.791579;1.133222;1.143711;0.874347;0.839857;55.000000;0.485302;109.696000;134.176331;79;225
62;B-11704-x40-08.tif;1005;1323.351244;242.140299;31.977813;40.522535;1.021367;1.267208;0.789137;0.779261;28.000000;0.614218;113.574000;141.523383;97;211
63;B-11704-x40-08.tif;2696;1348.240727;676.311202;57.301215;61.663689;1.115483;1.076132;0.929254;0.902757;138.000000;0.369442;194.400000;156.034866;125;193
