No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;1190;430.678992;487.856303;29.892809;57.145090;1.930550;1.911667;0.523104;0.463980;198.000000;0.852269;169.910000;0.691172;5.372549e-01;8.941176e-01
2;B-AA11746-x40-10AA.tif;748;425.688503;256.577540;25.754553;38.220429;1.158684;1.484026;0.673843;0.651959;71.000000;0.738875;104.361000;0.643656;4.627451e-01;8.470588e-01
3;B-AA11746-x40-10AA.tif;6239;499.817439;447.758295;96.742774;117.322999;5.565375;1.212731;0.824585;0.577110;2504.000000;0.565738;660.556000;0.686996;5.137255e-01;9.019608e-01
4;B-AA11746-x40-10AA.tif;2237;501.564595;570.005364;39.815518;74.614017;1.384562;1.873993;0.533620;0.511606;172.000000;0.845724;197.285000;0.642776;5.098039e-01;8.666667e-01
5;B-AA11746-x40-10AA.tif;2142;524.500467;261.246965;37.699793;74.928300;1.843061;1.987499;0.503145;0.485778;282.000000;0.864202;222.733000;0.672093;5.098039e-01;8.627451e-01
6;B-AA11746-x40-10AA.tif;1380;539.878261;607.240580;39.190875;45.063069;1.047504;1.149836;0.869689;0.865262;57.000000;0.493599;134.779000;0.635672;5.176471e-01;8.235294e-01
7;B-AA11746-x40-10AA.tif;2328;580.359536;535.450601;49.643255;67.847034;2.302479;1.366692;0.731694;0.643919;443.000000;0.681633;259.534000;0.696028;5.372549e-01;9.058824e-01
8;B-AA11746-x40-10AA.tif;912;570.657895;264.188596;29.095237;40.255860;1.026821;1.383589;0.722758;0.716550;30.000000;0.691101;108.480000;0.636593;5.098039e-01;8.431373e-01
9;B-AA11746-x40-10AA.tif;1302;581.791859;442.364055;37.138295;44.955732;1.102511;1.210495;0.826108;0.820259;50.000000;0.563512;134.308000;0.723499;6.431373e-01;8.627451e-01
10;B-AA11746-x40-10AA.tif;1962;632.758919;408.096330;37.666609;82.934934;2.433662;2.201816;0.454171;0.363190;531.000000;0.890915;244.954000;0.716774;5.058824e-01;8.980392e-01
