No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;759;390.500659;460.015810;28.390247;34.229681;0.976607;1.205685;0.829404;0.824795;18.000000;0.558649;96.513000;0.427431;2.039096e-01;1.321495e+00
2;B-11704-x40-08.tif;613;649.438825;500.084829;24.044047;32.754417;0.998000;1.362267;0.734070;0.727496;16.000000;0.679073;87.680000;0.398990;8.353781e-02;8.531934e-01
3;B-11704-x40-08.tif;728;703.497253;499.781593;28.358788;33.194582;1.021868;1.170522;0.854320;0.841215;28.000000;0.519748;96.687000;0.430938;2.880326e-01;9.122154e-01
4;B-11704-x40-08.tif;772;705.395078;642.374352;27.842981;36.099763;1.041109;1.296548;0.771279;0.754256;22.000000;0.636497;100.499000;0.377786;1.098976e-01;9.285710e-01
5;B-11704-x40-08.tif;715;750.688112;632.843357;25.655010;35.624357;1.002872;1.388593;0.720154;0.717335;21.000000;0.693815;94.925000;0.427895;2.866702e-01;1.174169e+00
6;B-11704-x40-08.tif;643;783.278383;620.052877;20.311584;44.710721;1.592674;2.201243;0.454289;0.409541;102.000000;0.890854;113.442000;0.401608;1.489010e-01;1.306762e+00
7;B-11704-x40-08.tif;633;787.930490;506.720379;26.539158;30.744327;1.125494;1.158451;0.863221;0.852676;28.000000;0.504826;94.619000;0.422438;1.924029e-01;9.749225e-01
8;B-11704-x40-08.tif;627;811.580542;580.422648;26.301763;31.205015;1.062611;1.186423;0.842870;0.819840;24.000000;0.538118;91.501000;0.394908;2.202784e-01;1.005067e+00
9;B-11704-x40-08.tif;402;817.024876;601.584577;13.862847;39.799442;1.688035;2.870943;0.348318;0.323134;60.000000;0.937377;92.344000;0.434856;2.461814e-01;7.272988e-01
10;B-11704-x40-08.tif;1020;824.849020;533.808824;29.207072;45.011952;1.111104;1.541132;0.648874;0.640995;43.000000;0.760896;119.339000;0.435953;2.537970e-01;1.016253e+00
11;B-11704-x40-08.tif;506;853.820158;599.051383;21.083776;33.008567;1.243731;1.565591;0.638736;0.591299;40.000000;0.769426;88.929000;0.427568;1.253618e-01;1.315195e+00
12;B-11704-x40-08.tif;327;925.532110;588.293578;9.047019;47.751113;2.181703;5.278105;0.189462;0.182596;33.000000;0.981888;94.684000;0.465431;2.485282e-01;1.069606e+00
13;B-11704-x40-08.tif;578;1003.278547;533.896194;25.376812;29.314847;0.981817;1.155182;0.865664;0.856372;18.000000;0.500625;84.447000;0.433716;2.442424e-01;1.084369e+00
14;B-11704-x40-08.tif;750;1040.294667;536.526667;27.399103;35.413376;1.036497;1.292501;0.773694;0.761442;33.000000;0.633560;98.837000;0.394536;2.136693e-01;9.161922e-01
15;B-11865-x40-02.tif;1647;19.798421;778.972070;36.969083;57.115294;1.095475;1.544948;0.647271;0.642834;48.000000;0.762260;150.575000;0.424939;2.784037e-01;9.655504e-01
16;B-11865-x40-02.tif;1664;34.638221;239.200120;39.797140;53.497072;1.072405;1.344244;0.743912;0.740293;58.000000;0.668277;149.748000;0.435739;2.407291e-01;9.228313e-01
17;B-11865-x40-02.tif;1690;38.381065;617.737870;38.634358;56.650309;1.188482;1.466319;0.681980;0.670490;92.000000;0.731371;158.871000;0.457907;3.323978e-01;9.271114e-01
18;B-11865-x40-02.tif;1797;44.047858;523.485810;45.364725;50.701201;1.066521;1.117635;0.894747;0.890065;51.000000;0.446574;155.190000;0.423603;2.766255e-01;1.033969e+00
19;B-11865-x40-02.tif;1673;43.992827;119.849372;39.456536;54.213849;1.072542;1.374014;0.727794;0.724746;50.000000;0.685795;150.162000;0.426262;2.826860e-01;1.011501e+00
20;B-11865-x40-02.tif;1878;49.130990;366.448349;44.815609;54.209530;1.206581;1.209613;0.826711;0.813681;98.000000;0.562627;168.745000;0.435734;2.288027e-01;9.770969e-01
