No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-10AA.tif;561;218.556150;483.563280;22.095954;33.186291;1.104756;1.501917;0.665816;0.648568;32.000000;0.746116;88.251000;191.720143;0;255
2;B-AA11746-x40-10AA.tif;344;291.290698;460.232558;16.709035;31.041633;1.517980;1.857775;0.538278;0.454548;70.000000;0.842767;81.006000;142.209302;89;188
3;B-AA11746-x40-10AA.tif;1616;391.208540;360.353342;36.833710;60.205782;1.904906;1.634529;0.611797;0.567643;304.000000;0.791015;196.681000;123.012376;11;255
4;B-AA11746-x40-10AA.tif;481;416.158004;328.282744;21.336580;34.511507;2.073893;1.617481;0.618245;0.514194;134.000000;0.785985;111.962000;130.877339;33;255
5;B-AA11746-x40-10AA.tif;788;446.741117;27.921320;28.214977;35.866210;0.983541;1.271176;0.786673;0.779948;21.000000;0.617370;98.688000;219.163706;0;255
6;B-AA11746-x40-10AA.tif;517;448.802708;238.553191;20.874459;35.529652;2.120670;1.702063;0.587522;0.521457;124.000000;0.809208;117.378000;133.953578;11;255
7;B-AA11746-x40-10AA.tif;1850;566.304865;370.706486;49.078028;55.912018;2.464335;1.139247;0.877772;0.753480;571.000000;0.479078;239.354000;126.268649;0;255
8;B-AA11746-x40-10AA.tif;405;571.476543;695.135802;18.789642;30.943972;1.581168;1.646863;0.607215;0.538534;62.000000;0.794538;89.706000;124.995062;0;255
9;B-AA11746-x40-10AA.tif;1538;605.063069;404.892718;39.872283;53.329321;1.906879;1.337504;0.747662;0.688548;268.000000;0.664080;191.975000;110.078674;0;255
10;B-AA11746-x40-10AA.tif;1248;638.459135;420.919071;28.135764;59.762595;1.604848;2.124079;0.470792;0.444903;168.000000;0.882244;158.646000;114.572115;0;255
11;B-AA11746-x40-10AA.tif;3195;673.977778;353.813772;58.353677;81.917915;4.098151;1.403818;0.712343;0.606210;1174.000000;0.701831;405.634000;141.206573;0;255
12;B-AA11746-x40-10AA.tif;2123;676.665097;507.617051;38.536798;81.073355;3.000171;2.103791;0.475332;0.411248;662.000000;0.879806;282.913000;105.011776;0;255
13;B-AA11746-x40-10AA.tif;3206;681.452901;427.397068;61.498202;73.269402;1.965047;1.191407;0.839344;0.760376;774.000000;0.543601;281.367000;120.910792;0;255
14;B-AA11746-x40-10AA.tif;544;733.560662;405.507353;24.037679;31.332700;1.739828;1.303483;0.767175;0.705527;100.000000;0.641437;109.058000;133.643382;11;222
15;B-AA11746-x40-10AA.tif;1120;739.962500;449.091964;31.343711;46.555749;1.373197;1.485330;0.673251;0.657933;90.000000;0.739414;139.021000;141.072321;0;255
16;B-AA11746-x40-10AA.tif;2168;922.875000;443.979705;42.956045;74.620813;2.968570;1.737143;0.575658;0.495735;839.000000;0.817691;284.386000;134.601937;0;255
17;B-AA11746-x40-10AA.tif;1041;948.040346;343.308357;33.081395;45.938908;1.911158;1.388663;0.720117;0.628058;176.000000;0.693853;158.117000;148.433237;33;255
18;B-AA11746-x40-10AA.tif;1164;991.548110;510.054983;31.602396;55.361670;3.280137;1.751819;0.570835;0.483554;401.000000;0.821065;219.042000;136.021478;22;255
19;B-AA11746-x40-10AA.tif;655;1002.709924;112.395420;26.803377;31.263384;0.953322;1.166397;0.857341;0.853256;16.000000;0.514749;88.582000;188.639695;0;255
20;B-AA11746-x40-10AA.tif;3947;1161.258931;261.738282;55.893334;101.406059;2.538807;1.814278;0.551183;0.488708;1158.000000;0.834384;354.857000;150.296934;0;255
21;B-AA11746-x40-10AA.tif;4829;1215.370470;223.062746;73.814321;90.114606;2.190808;1.220828;0.819116;0.757141;845.000000;0.573628;364.616000;156.151584;33;255
22;B-11865-x40-02.tif;364;446.442308;164.291209;13.463210;61.170979;3.240290;4.543566;0.220091;0.123857;262.000000;0.975479;121.744000;162.717033;74;255
23;B-11865-x40-02.tif;352;516.593750;137.377841;17.062032;34.891934;2.365959;2.045005;0.488996;0.368131;151.000000;0.872286;102.301000;162.494318;64;255
24;B-11865-x40-02.tif;399;549.047619;337.378446;15.212383;51.160565;2.916078;3.363087;0.297346;0.194094;216.000000;0.954770;120.918000;120.496241;21;191
25;B-11865-x40-02.tif;1086;550.330571;703.012891;28.545456;54.800851;2.100018;1.919775;0.520894;0.460432;337.000000;0.853621;169.290000;158.362799;74;212
26;B-11865-x40-02.tif;642;583.045171;564.964174;21.334571;46.722729;2.275428;2.190001;0.456621;0.374446;230.000000;0.889661;135.489000;153.331776;96;191
27;B-11865-x40-02.tif;368;579.538043;638.741848;19.103954;28.531578;1.784693;1.493491;0.669572;0.575581;82.000000;0.742747;90.847000;147.690217;85;255
28;B-11865-x40-02.tif;899;587.658509;122.327030;22.242750;55.914387;2.101496;2.513825;0.397800;0.366119;161.000000;0.917472;154.081000;135.296997;21;234
29;B-11865-x40-02.tif;499;597.046092;601.252505;16.664366;55.574821;2.481106;3.334950;0.299855;0.205710;287.000000;0.953985;124.732000;181.216433;64;255
