No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11930-x40-05.tif;1263;707.830562;482.612827;34.618188;47.521996;1.084265;1.372746;0.728467;0.712072;68.000000;0.685081;131.182000;0.676575;1.969592e-01;8.260291e-01
2;B-11930-x40-05.tif;1065;719.900469;513.721127;32.256899;42.300839;1.013309;1.311373;0.762559;0.757812;30.000000;0.646918;116.453000;0.634097;-5.739024e-02;7.915860e-01
3;B-11930-x40-05.tif;1274;759.037677;445.174254;35.451416;47.288674;1.115812;1.333901;0.749681;0.725380;93.000000;0.661799;133.655000;0.722929;2.870087e-01;8.370390e-01
4;B-11930-x40-05.tif;1601;768.159275;480.339788;44.683867;48.865075;1.230237;1.093573;0.914434;0.853698;158.000000;0.404736;157.324000;0.647860;2.313936e-01;7.878474e-01
5;B-11930-x40-05.tif;1464;791.153689;382.415301;41.147271;45.653897;0.990201;1.109524;0.901287;0.894325;33.000000;0.433222;134.970000;0.690328;2.180975e-01;8.173323e-01
6;B-11930-x40-05.tif;1320;802.122727;500.478030;37.045642;45.648481;1.033920;1.232223;0.811542;0.806550;49.000000;0.584295;130.959000;0.618036;4.205014e-02;7.729188e-01
7;B-11930-x40-05.tif;1519;805.580645;420.042133;40.620278;47.928057;1.019763;1.179905;0.847526;0.841954;54.000000;0.530754;139.519000;0.673390;5.822736e-02;8.237548e-01
8;B-11930-x40-05.tif;1356;837.962389;442.559735;41.078715;42.385356;1.021405;1.031808;0.969172;0.961033;45.000000;0.246384;131.927000;0.655768;1.347124e-01;8.196291e-01
9;B-11930-x40-05.tif;1063;839.140169;159.844779;32.251973;42.060757;0.991280;1.304130;0.766795;0.765049;20.000000;0.641892;115.072000;0.682102;1.253971e-01;8.629171e-01
10;B-11930-x40-05.tif;1123;837.197685;355.968833;32.860731;43.961091;1.013275;1.337800;0.747496;0.739866;20.000000;0.664267;119.580000;0.723822;2.588708e-01;8.627074e-01
11;B-11930-x40-05.tif;1543;859.331821;381.624757;39.155872;50.543410;0.997134;1.290826;0.774698;0.769037;21.000000;0.632332;139.048000;0.683534;3.750026e-02;8.368191e-01
12;B-11930-x40-05.tif;1357;871.887251;181.356669;38.602879;44.923674;0.980728;1.163739;0.859299;0.856129;15.000000;0.511473;129.321000;0.687391;1.835802e-01;8.164421e-01
