No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;946;231.049683;115.695560;32.761027;37.053115;0.981938;1.131012;0.884164;0.877307;23.000000;0.467177;108.042000;145.899577;123;168
2;B-11704-x40-08.tif;560;238.091071;732.578571;26.046772;43.598502;2.582267;1.673854;0.597424;0.375107;289.000000;0.801926;134.803000;142.305357;129;157
3;B-11704-x40-08.tif;447;260.489933;704.331096;17.089483;35.155414;1.412075;2.057137;0.486112;0.460504;51.000000;0.873896;89.061000;142.565996;120;168
4;B-11704-x40-08.tif;954;292.163522;165.163522;26.043273;48.395852;1.281279;1.858286;0.538130;0.518612;71.000000;0.842862;123.937000;144.767296;123;174
5;B-11704-x40-08.tif;1079;292.491196;615.443003;29.195384;48.761950;1.288742;1.670194;0.598733;0.577789;66.000000;0.800949;132.190000;146.263207;127;164
6;B-11704-x40-08.tif;1057;383.543046;428.049196;24.469108;57.587687;1.387807;2.353485;0.424902;0.405813;86.000000;0.905239;135.771000;141.375591;127;153
7;B-11704-x40-08.tif;845;390.603550;459.925444;30.165108;35.841981;0.986084;1.188193;0.841614;0.837496;22.000000;0.540080;102.327000;145.973964;124;173
8;B-11704-x40-08.tif;448;495.839286;326.879464;9.407702;62.484984;2.544054;6.641897;0.150559;0.146095;39.000000;0.988601;119.676000;135.437500;128;144
9;B-11704-x40-08.tif;1579;576.376187;336.255225;33.085491;76.513489;2.586116;2.312599;0.432414;0.343413;621.000000;0.901675;226.527000;145.259025;128;161
10;B-11704-x40-08.tif;986;630.170385;593.194726;25.436663;92.142361;3.488468;3.622423;0.276058;0.147866;825.000000;0.961141;207.903000;140.051724;127;156
11;B-11704-x40-08.tif;314;637.646497;538.611465;17.440482;36.887399;3.013285;2.115045;0.472803;0.293822;199.000000;0.881168;109.041000;140.009554;128;161
12;B-11704-x40-08.tif;851;684.010576;597.667450;28.510638;43.115307;1.735528;1.512253;0.661265;0.582877;167.000000;0.750153;136.234000;135.712103;126;153
13;B-11704-x40-08.tif;1040;744.950962;774.194231;22.518180;65.589064;1.862113;2.912716;0.343322;0.307808;216.000000;0.939218;156.000000;142.981731;126;177
14;B-11704-x40-08.tif;4455;805.366330;586.726599;58.214787;105.008008;1.687200;1.803803;0.554384;0.514414;735.000000;0.832261;307.335000;146.588103;125;170
15;B-11704-x40-08.tif;1000;805.123000;444.380000;27.950221;46.450009;1.370951;1.661883;0.601727;0.590118;80.000000;0.798702;131.255000;148.802000;136;157
16;B-11704-x40-08.tif;970;834.835052;416.302062;29.626866;43.121905;1.238379;1.455500;0.687049;0.664180;76.000000;0.726611;122.862000;149.535052;136;157
17;B-11704-x40-08.tif;1227;869.303993;595.505297;23.178350;77.266886;2.300618;3.333580;0.299978;0.261678;300.000000;0.953946;188.343000;140.807661;123;172
18;B-11704-x40-08.tif;1074;868.413408;504.470205;27.873135;52.534823;1.704903;1.884783;0.530565;0.495473;212.000000;0.847644;151.690000;149.203911;127;161
19;B-11704-x40-08.tif;840;897.113095;458.915476;27.098484;39.738441;1.050671;1.466445;0.681921;0.677279;29.000000;0.731426;105.312000;149.932143;134;161
20;B-11704-x40-08.tif;986;927.012170;412.435091;33.094846;39.188646;1.164589;1.184131;0.844501;0.817460;64.000000;0.535554;120.124000;147.353955;130;159
21;B-11704-x40-08.tif;584;929.726027;585.928082;21.674220;38.310843;1.725281;1.767577;0.565746;0.506617;122.000000;0.824579;112.523000;138.977740;125;161
22;B-11704-x40-08.tif;793;938.672131;275.243380;25.399041;42.049780;1.277878;1.655566;0.604023;0.571026;80.000000;0.796967;112.846000;147.968474;126;165
23;B-11704-x40-08.tif;857;939.383897;463.249708;30.824871;36.145297;1.148575;1.172602;0.852804;0.835194;46.000000;0.522230;111.218000;148.856476;131;159
24;B-11704-x40-08.tif;862;938.373550;627.864269;24.783870;45.175669;1.228722;1.822785;0.548611;0.537784;50.000000;0.836078;115.368000;144.474478;127;165
25;B-11704-x40-08.tif;2593;973.313151;425.130737;51.655180;68.728345;1.564480;1.330522;0.751585;0.698942;309.000000;0.659636;225.783000;147.015040;128;159
26;B-11704-x40-08.tif;1085;1003.893088;562.115207;38.324849;68.365452;3.726581;1.783841;0.560588;0.295574;906.000000;0.828095;225.411000;139.623041;126;155
27;B-11704-x40-08.tif;925;1027.756757;434.828108;29.431242;40.940940;1.312635;1.391071;0.718871;0.702645;74.000000;0.695144;123.523000;147.831351;129;165
28;B-11704-x40-08.tif;1837;1046.596625;529.279804;47.403682;50.093021;1.181941;1.056733;0.946313;0.932105;123.000000;0.323251;165.180000;148.765378;127;162
29;B-11704-x40-08.tif;1032;1089.033915;678.857558;27.898938;49.354006;1.247195;1.769028;0.565282;0.539442;58.000000;0.824898;127.178000;148.571705;126;164
30;B-11704-x40-08.tif;1504;1091.062500;447.222739;32.400852;68.920131;2.004976;2.127109;0.470122;0.403149;341.000000;0.882602;194.663000;145.427527;127;161
31;B-11704-x40-08.tif;1282;1111.606864;377.382995;33.686306;50.873340;1.291886;1.510208;0.662160;0.630692;139.000000;0.749362;144.265000;142.231669;125;154
