No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;982;74.201629;248.979633;29.527935;42.638926;1.008926;1.444020;0.692511;0.687716;18.000000;0.721407;111.581000;100.476578;82;130
2;B-11865-x40-03.tif;322;346.332298;507.891304;19.704342;23.413700;1.322979;1.188251;0.841573;0.747870;53.000000;0.540143;73.166000;103.475155;85;126
3;B-11865-x40-03.tif;383;431.869452;549.133159;16.998777;42.105709;2.190344;2.476985;0.403717;0.275060;166.000000;0.914884;102.674000;99.347258;80;117
4;B-11865-x40-03.tif;1933;494.717020;209.579928;40.447681;61.388806;1.152907;1.517734;0.658877;0.653076;73.000000;0.752251;167.347000;95.881531;81;110
5;B-11865-x40-03.tif;1673;544.062164;383.043036;36.936978;57.866961;1.085207;1.566640;0.638309;0.636128;53.000000;0.769781;151.046000;91.537956;80;111
6;B-11865-x40-03.tif;1924;573.508316;241.344595;41.746975;58.899200;1.050347;1.410862;0.708787;0.706149;40.000000;0.705423;159.358000;92.436071;79;108
7;B-11865-x40-03.tif;1845;581.551220;358.097019;39.795160;59.360739;1.116677;1.491657;0.670395;0.666665;65.000000;0.742004;160.904000;91.774526;77;108
8;B-11865-x40-03.tif;2019;598.185736;202.423972;41.416522;62.563367;1.148083;1.510590;0.661993;0.656759;82.000000;0.749510;170.671000;94.732541;79;110
9;B-11865-x40-03.tif;1809;631.110006;476.880044;40.337414;57.231719;1.045823;1.418825;0.704809;0.703194;44.000000;0.709397;154.189000;91.883361;74;107
10;B-11865-x40-03.tif;1906;657.660021;312.224029;39.717815;61.324071;1.113520;1.543994;0.647671;0.645314;64.000000;0.761920;163.311000;93.426023;79;107
11;B-11865-x40-03.tif;2039;682.615498;466.926435;47.041183;55.296524;1.005764;1.175492;0.850708;0.849047;36.000000;0.525639;160.532000;91.943600;79;113
12;B-11865-x40-03.tif;1783;727.270892;339.761638;38.861284;58.506227;1.042711;1.505515;0.664225;0.663219;31.000000;0.747533;152.849000;94.354459;79;111
13;B-11865-x40-03.tif;1848;734.009740;401.657468;38.700013;61.663006;1.192383;1.593359;0.627605;0.618818;91.000000;0.778532;166.404000;92.203463;77;109
14;B-11865-x40-03.tif;2065;735.016949;510.076513;43.918201;60.012567;1.029658;1.366462;0.731817;0.730038;43.000000;0.681501;163.460000;96.896368;78;118
15;B-11865-x40-03.tif;1975;765.391392;448.816709;42.176491;59.802320;1.067221;1.417906;0.705265;0.703139;61.000000;0.708944;162.748000;93.505316;76;111
16;B-11865-x40-03.tif;1750;794.209714;386.552000;36.920261;60.457137;1.076684;1.637506;0.610685;0.609611;39.000000;0.791874;153.875000;93.906286;81;115
17;B-11865-x40-03.tif;2278;805.093064;699.223442;44.815273;65.927303;1.167266;1.471090;0.679768;0.667319;120.000000;0.733427;182.796000;97.876207;80;126
18;B-11865-x40-03.tif;1977;813.932221;548.888720;48.985325;51.500739;1.022715;1.051350;0.951158;0.949052;52.000000;0.308705;159.399000;96.339909;84;116
19;B-11865-x40-03.tif;1739;831.947096;290.361127;33.069698;67.304223;1.183404;2.035223;0.491347;0.488793;49.000000;0.870964;160.813000;92.596320;79;113
20;B-11865-x40-03.tif;1828;838.925055;483.968271;42.017251;55.503028;1.028078;1.320958;0.757026;0.755532;34.000000;0.653384;153.676000;95.155908;79;121
21;B-11865-x40-03.tif;1814;842.943219;363.581036;37.213938;62.234229;1.113229;1.672337;0.597966;0.596333;50.000000;0.801522;159.300000;95.743660;79;120
22;B-11865-x40-03.tif;1907;848.699004;597.539591;46.438182;52.431545;0.986771;1.129061;0.885692;0.883233;28.000000;0.464274;153.776000;97.133718;80;116
23;B-11865-x40-03.tif;2117;855.174303;205.343410;47.381320;56.964677;0.995147;1.202260;0.831767;0.830653;40.000000;0.555125;162.708000;100.029759;82;120
24;B-11865-x40-03.tif;2112;877.421402;531.670455;48.034936;56.144613;1.035163;1.168829;0.855557;0.853076;55.000000;0.517708;165.751000;96.015625;83;113
25;B-11865-x40-03.tif;1874;888.869264;337.623799;39.022143;61.714778;1.146223;1.581532;0.632298;0.626472;80.000000;0.774725;164.295000;92.926361;78;107
26;B-11865-x40-03.tif;2048;895.287109;412.118164;39.551143;66.657967;1.156751;1.685361;0.593345;0.586862;72.000000;0.804949;172.540000;94.719238;78;115
27;B-11865-x40-03.tif;1672;945.927632;463.992823;36.597615;58.655841;1.248738;1.602723;0.623938;0.618762;77.000000;0.781474;161.979000;95.127990;76;122
28;B-11865-x40-03.tif;2152;955.963755;552.423792;47.822992;57.396725;1.002287;1.200191;0.833201;0.831722;46.000000;0.552971;164.635000;96.998141;81;113
29;B-11865-x40-03.tif;2041;1034.085252;546.148947;50.512514;51.591471;1.001789;1.021360;0.979087;0.976331;50.000000;0.203444;160.293000;96.206271;86;117
30;B-11865-x40-03.tif;1794;1156.233556;636.050167;45.972859;50.024120;1.033743;1.088123;0.919014;0.912796;51.000000;0.394225;152.659000;97.937012;84;127
31;B-11865-x40-03.tif;2100;1166.830000;499.681905;44.664455;60.009359;1.055979;1.343560;0.744291;0.742491;48.000000;0.667855;166.933000;94.107619;81;113
32;B-11865-x40-03.tif;1889;1313.469031;536.571202;45.888988;52.775664;1.055197;1.150073;0.869510;0.863524;63.000000;0.493915;158.266000;94.635786;82;112
33;B-11865-x40-03.tif;1771;1386.988142;544.625635;42.782224;52.799852;1.002948;1.234154;0.810272;0.808841;35.000000;0.586054;149.401000;94.935065;79;116
34;B-11865-x40-03.tif;1662;1402.706378;583.896510;39.898750;53.166246;1.015567;1.332529;0.750453;0.748633;38.000000;0.660924;145.638000;92.283995;80;109
35;B-11865-x40-03.tif;2207;1431.665609;436.348890;38.386780;73.612676;1.216724;1.917657;0.521470;0.518570;74.000000;0.853270;183.697000;95.673765;81;116
36;B-11865-x40-03.tif;1698;1522.164311;621.587750;36.687309;59.816265;1.263368;1.630435;0.613333;0.604240;103.000000;0.789824;164.187000;95.597762;82;127
37;B-11865-x40-03.tif;1961;1538.790923;463.017848;35.317250;71.048979;1.229816;2.011736;0.497083;0.494620;74.000000;0.867703;174.086000;91.626211;81;105
38;B-11865-x40-03.tif;1853;1549.330815;501.739881;38.076072;62.190014;1.093304;1.633310;0.612254;0.610020;56.000000;0.790661;159.556000;93.279007;79;109
39;B-11333-x40-08.tif;1191;39.277918;490.094039;32.617853;47.487483;1.198579;1.455874;0.686873;0.672456;63.000000;0.726778;133.935000;113.063812;102;128
40;B-11333-x40-08.tif;1040;49.115385;441.188462;27.269194;49.074193;1.155798;1.799620;0.555673;0.549841;39.000000;0.831401;122.903000;110.275000;93;125
41;B-11333-x40-08.tif;1051;85.390105;599.142721;32.911474;41.187217;1.055288;1.251455;0.799070;0.788838;34.000000;0.601238;118.057000;114.890580;99;130
42;B-11333-x40-08.tif;975;536.549744;184.300513;28.386724;45.575878;1.269960;1.605535;0.622845;0.597647;81.000000;0.782345;124.739000;108.243077;95;125
43;B-11333-x40-08.tif;1011;545.741840;209.666667;27.669802;47.066980;1.105830;1.701023;0.587881;0.581070;46.000000;0.808947;118.529000;107.562809;95;124
44;B-11333-x40-08.tif;1619;579.406424;165.483632;35.094202;59.616554;1.180243;1.698758;0.588665;0.579994;90.000000;0.808377;154.958000;106.524398;92;123
45;B-11333-x40-08.tif;325;574.587692;367.938462;14.611838;40.085355;2.221311;2.743348;0.364518;0.257527;142.000000;0.931196;95.247000;115.120000;91;132
46;B-11333-x40-08.tif;931;682.776584;68.799141;34.172296;37.586003;1.475723;1.099897;0.909176;0.839088;144.000000;0.416412;131.396000;107.174006;96;124
47;B-11333-x40-08.tif;922;692.580260;494.463124;31.242046;37.795592;1.017070;1.209767;0.826606;0.821786;31.000000;0.562782;108.554000;112.648590;103;132
48;B-11333-x40-08.tif;1155;723.538528;291.124675;28.642954;51.632481;1.118885;1.802624;0.554747;0.551628;39.000000;0.832019;127.435000;112.557576;94;132
49;B-11333-x40-08.tif;699;747.819742;490.381974;25.394307;35.241413;1.005376;1.387768;0.720581;0.716606;16.000000;0.693370;93.974000;111.058655;97;133
50;B-11333-x40-08.tif;1170;756.582051;155.871795;37.826020;39.620175;1.005095;1.047432;0.954716;0.948993;27.000000;0.297518;121.563000;111.306838;102;125
51;B-11333-x40-08.tif;1055;765.784834;307.769668;31.293998;43.173360;1.023915;1.379605;0.724845;0.720661;22.000000;0.688912;116.510000;111.998104;94;132
52;B-11333-x40-08.tif;1039;765.080847;418.174206;31.545858;42.338908;1.073307;1.342138;0.745080;0.737983;54.000000;0.666976;118.379000;109.197305;96;129
53;B-11333-x40-08.tif;1090;780.409174;447.031193;32.940405;42.807477;1.059145;1.299543;0.769501;0.757351;46.000000;0.638645;120.447000;110.967890;100;128
54;B-11333-x40-08.tif;2081;823.407977;80.412782;36.567847;73.277016;1.215739;2.003865;0.499036;0.493454;71.000000;0.866581;178.304000;110.592023;101;127
55;B-11333-x40-08.tif;335;808.588060;549.223881;21.494165;33.997428;2.782998;1.581705;0.632229;0.369031;219.000000;0.774781;108.239000;113.644776;102;124
56;B-11333-x40-08.tif;1981;823.854114;151.221605;37.916612;68.155671;1.303675;1.797515;0.556324;0.542988;131.000000;0.830966;180.149000;111.308935;101;128
57;B-11333-x40-08.tif;1095;826.494064;40.280365;36.326359;38.843316;1.048942;1.069287;0.935202;0.924042;41.000000;0.354114;120.140000;112.778995;105;128
58;B-11333-x40-08.tif;1405;866.239858;113.550890;38.959416;46.108764;1.025585;1.183508;0.844946;0.841433;36.000000;0.534852;134.564000;112.624911;101;125
59;B-11333-x40-08.tif;1196;873.892977;478.503344;34.933005;43.852914;1.057790;1.255343;0.796595;0.791853;45.000000;0.604514;126.087000;111.359532;100;127
60;B-11333-x40-08.tif;1381;888.616220;150.797972;38.000930;50.020943;1.425458;1.316308;0.759700;0.702749;166.000000;0.650273;157.282000;108.614772;96;123
61;B-11333-x40-08.tif;1199;897.964137;56.990826;33.974052;45.373897;1.051548;1.335546;0.748758;0.741510;31.000000;0.662844;125.872000;110.732277;94;127
62;B-11333-x40-08.tif;1101;905.706630;385.118074;30.388601;47.498793;1.192423;1.563046;0.639776;0.621344;69.000000;0.768561;128.444000;109.830154;93;126
63;B-11333-x40-08.tif;1036;912.612934;412.343629;30.958056;43.459943;1.087281;1.403833;0.712335;0.698380;62.000000;0.701839;118.975000;110.861969;96;127
64;B-11333-x40-08.tif;1169;926.715997;344.285714;34.704434;43.488402;1.095756;1.253108;0.798016;0.787005;59.000000;0.602636;126.873000;109.985458;99;124
65;B-11333-x40-08.tif;823;928.851762;146.784933;26.434103;40.880576;1.273175;1.546509;0.646618;0.627012;60.000000;0.762814;114.749000;112.168894;89;140
66;B-11333-x40-08.tif;924;930.699134;452.363636;32.852031;36.159136;1.010237;1.100667;0.908540;0.899800;30.000000;0.417797;108.306000;111.691558;98;128
67;B-11333-x40-08.tif;2003;958.467299;573.259611;38.940892;68.492591;1.310383;1.758886;0.568542;0.543631;188.000000;0.822654;181.612000;109.433849;94;129
68;B-11333-x40-08.tif;942;951.513800;361.606157;28.100722;43.650519;1.114919;1.553359;0.643766;0.629480;47.000000;0.765222;114.882000;109.270701;100;127
69;B-11333-x40-08.tif;764;950.575916;398.242147;26.310991;37.186476;1.033751;1.413344;0.707542;0.703450;24.000000;0.706671;99.623000;109.151832;92;132
70;B-11333-x40-08.tif;980;971.137755;134.332653;30.420100;42.086328;1.203556;1.383504;0.722802;0.704456;67.000000;0.691055;121.745000;111.104082;95;131
71;B-11333-x40-08.tif;945;984.947090;354.923810;34.421090;36.264390;1.273687;1.053551;0.949171;0.914916;79.000000;0.314762;122.985000;111.697354;89;132
72;B-11333-x40-08.tif;2385;1025.176939;265.063312;47.625023;67.765101;1.307149;1.422889;0.702796;0.661281;238.000000;0.711392;197.930000;110.906918;96;127
