No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;1421;126.643913;306.307530;32.407689;57.693036;1.400506;1.780227;0.561726;0.543572;154.000000;0.827323;158.141000;141.366643;127;150
2;B-11704-x40-08.tif;973;125.114080;189.384378;32.760037;38.417526;1.037070;1.172695;0.852737;0.839391;28.000000;0.522341;112.607000;141.990750;123;161
3;B-11704-x40-08.tif;973;231.231244;115.616650;33.062169;37.833753;1.023247;1.144322;0.873880;0.865494;34.000000;0.486141;111.854000;142.035971;123;162
4;B-11704-x40-08.tif;1349;265.933284;743.612305;30.651056;57.490134;1.254899;1.875633;0.533153;0.519679;76.000000;0.846019;145.853000;141.498147;125;160
5;B-11704-x40-08.tif;954;292.135220;164.508386;25.558836;48.837679;1.227983;1.910794;0.523343;0.509270;54.000000;0.852122;121.332000;142.623690;120;164
6;B-11704-x40-08.tif;858;389.895105;458.979021;30.624574;35.850036;0.976332;1.170630;0.854241;0.849999;16.000000;0.519877;102.600000;143.480186;122;165
7;B-11704-x40-08.tif;2078;575.570741;241.283446;35.893206;75.506663;1.444981;2.103648;0.475365;0.464072;154.000000;0.879789;194.249000;142.004331;127;173
8;B-11704-x40-08.tif;1049;575.598665;333.976168;31.043892;43.578915;1.142490;1.403784;0.712360;0.703287;54.000000;0.701814;122.721000;142.308866;127;153
9;B-11704-x40-08.tif;1009;611.531219;371.950446;26.481662;50.334474;1.333171;1.900729;0.526114;0.507073;64.000000;0.850414;130.015000;142.234886;125;161
10;B-11704-x40-08.tif;863;615.317497;332.026651;29.859115;37.141013;1.065506;1.243875;0.803939;0.796551;34.000000;0.594712;107.495000;143.418308;122;158
11;B-11704-x40-08.tif;936;615.935897;262.847222;25.316864;48.033483;1.196918;1.897292;0.527067;0.516533;45.000000;0.849824;118.652000;142.449786;126;156
12;B-11704-x40-08.tif;5188;670.761758;498.817463;78.230932;98.760503;2.065635;1.262423;0.792128;0.677241;1197.000000;0.610355;366.971000;143.575559;124;184
13;B-11704-x40-08.tif;1311;664.048055;437.852784;38.460755;44.476125;1.107500;1.156403;0.864751;0.843838;58.000000;0.502202;135.076000;141.928299;127;158
14;B-11704-x40-08.tif;1303;677.268611;567.780507;35.386275;52.983935;2.007589;1.497302;0.667868;0.590971;251.000000;0.744280;181.307000;143.079048;123;164
15;B-11704-x40-08.tif;977;676.504606;352.785056;28.633593;44.820642;1.242932;1.565317;0.638848;0.619225;69.000000;0.769333;123.531000;140.622313;127;164
16;B-11704-x40-08.tif;1016;677.786417;237.650591;32.746909;39.896339;1.101298;1.218324;0.820800;0.812714;47.000000;0.571216;118.578000;141.472441;124;168
17;B-11704-x40-08.tif;614;706.091205;807.135179;20.165411;45.429560;1.658912;2.252846;0.443883;0.378793;131.000000;0.896085;113.136000;134.806189;123;149
18;B-11704-x40-08.tif;1129;705.185120;640.624446;39.023765;41.053072;1.487695;1.052002;0.950569;0.852929;146.000000;0.310514;145.281000;144.151461;119;172
19;B-11704-x40-08.tif;933;708.213290;589.923901;28.334177;43.623034;1.326235;1.539591;0.649523;0.624252;78.000000;0.760342;124.697000;142.396570;125;159
20;B-11704-x40-08.tif;1279;729.412041;289.470680;34.597176;47.623138;1.199202;1.376504;0.726478;0.718033;62.000000;0.687189;138.831000;140.608288;127;149
21;B-11704-x40-08.tif;1027;731.800389;498.267770;34.299197;38.783084;1.085995;1.130729;0.884386;0.869352;49.000000;0.466757;118.387000;142.753651;125;151
22;B-11704-x40-08.tif;957;745.020899;771.995820;21.674546;61.605140;1.853944;2.842281;0.351830;0.321061;179.000000;0.936064;149.317000;141.096134;113;167
23;B-11704-x40-08.tif;994;740.456740;464.225352;30.039529;42.522454;1.101163;1.415550;0.706439;0.699938;41.000000;0.707774;117.280000;143.074447;124;155
24;B-11704-x40-08.tif;1153;743.040763;351.553339;34.668229;43.143329;1.170675;1.244463;0.803559;0.788701;75.000000;0.595225;130.238000;140.731136;126;152
25;B-11704-x40-08.tif;977;750.256909;629.674514;29.760628;43.377016;1.214143;1.457530;0.686092;0.661128;74.000000;0.727515;122.092000;145.276356;118;164
26;B-11704-x40-08.tif;1295;759.918147;422.099614;35.340018;47.267656;1.250320;1.337511;0.747657;0.737992;84.000000;0.664085;142.643000;139.546718;125;148
27;B-11704-x40-08.tif;1036;788.589768;341.639961;31.419999;42.426000;1.109140;1.350286;0.740584;0.732834;46.000000;0.671964;120.165000;143.237452;127;157
28;B-11704-x40-08.tif;964;782.655602;617.586100;29.893873;43.550734;1.475338;1.456845;0.686415;0.647137;131.000000;0.727210;133.687000;144.108921;108;172
29;B-11704-x40-08.tif;925;788.353514;388.002162;29.131930;41.073564;1.059705;1.409916;0.709262;0.698115;32.000000;0.704945;110.986000;142.593514;124;154
30;B-11704-x40-08.tif;800;786.821250;505.595000;29.304775;35.106427;1.011640;1.197976;0.834741;0.826470;26.000000;0.550643;100.847000;145.668750;127;169
31;B-11704-x40-08.tif;2071;807.938677;584.243844;52.789416;60.095778;2.065994;1.138406;0.878421;0.730134;528.000000;0.477887;231.878000;145.201835;121;171
32;B-11704-x40-08.tif;952;803.014706;442.155462;28.207787;43.688072;1.123446;1.548795;0.645663;0.635070;51.000000;0.763622;115.931000;143.838235;129;153
33;B-11704-x40-08.tif;1662;820.308664;530.090854;40.690404;53.859215;1.309401;1.323634;0.755496;0.729493;131.000000;0.655154;165.370000;144.496390;118;159
34;B-11704-x40-08.tif;1217;831.390304;381.539852;36.629235;42.716568;1.063251;1.166188;0.857495;0.849196;42.000000;0.514493;127.517000;140.647494;126;155
35;B-11704-x40-08.tif;910;833.981319;415.740659;29.599688;39.541236;1.039463;1.335867;0.748578;0.741056;26.000000;0.663047;109.026000;144.501099;126;154
36;B-11704-x40-08.tif;845;848.928994;459.194083;30.308710;35.828450;1.029591;1.182117;0.845940;0.838129;33.000000;0.533278;104.560000;144.686391;128;160
37;B-11704-x40-08.tif;1661;882.982541;592.445515;20.415128;122.707287;3.127854;6.010606;0.166373;0.140456;508.000000;0.986063;255.513000;141.430464;114;171
38;B-11704-x40-08.tif;961;873.281998;428.992716;31.856717;39.330345;1.186505;1.234601;0.809978;0.791003;88.000000;0.586460;119.702000;143.535900;126;161
39;B-11704-x40-08.tif;1010;866.116832;502.249505;25.164239;52.754386;1.416689;2.096403;0.477008;0.462077;65.000000;0.878899;134.092000;144.228713;125;166
40;B-11704-x40-08.tif;963;882.470405;383.912773;24.850807;49.972874;1.255618;2.010916;0.497286;0.490984;53.000000;0.867587;123.267000;141.410177;126;160
41;B-11704-x40-08.tif;929;894.360603;458.407966;27.582719;43.277380;1.091616;1.569003;0.637347;0.631544;30.000000;0.770577;112.888000;144.118407;122;164
42;B-11704-x40-08.tif;1508;900.151194;498.371353;35.567347;58.575236;1.316555;1.646882;0.607208;0.559607;124.000000;0.794543;157.952000;145.936340;125;168
43;B-11704-x40-08.tif;889;925.102362;413.868391;31.643413;36.674941;1.156653;1.159007;0.862807;0.841537;57.000000;0.505533;113.673000;143.512936;126;160
