No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10917-x40-02.tif;1846;35.690141;55.505417;41.158441;64.541361;2.425997;1.568120;0.637706;0.564242;451.000000;0.770280;237.228000;0.287055;0;9.666667e-01
2;F-10917-x40-02.tif;599;32.672788;217.884808;28.892830;30.839599;1.498939;1.067379;0.936874;0.801899;109.000000;0.349666;106.221000;0.365262;0;9.666667e-01
3;F-10917-x40-02.tif;584;41.981164;596.486301;26.760959;36.707127;2.007574;1.371667;0.729040;0.551851;204.000000;0.684471;121.380000;0.435600;0;9.722222e-01
4;F-10917-x40-02.tif;521;73.230326;480.556622;20.116693;38.755432;2.091356;1.926531;0.519068;0.441655;166.000000;0.854733;117.014000;0.516797;0;9.666667e-01
5;F-10917-x40-02.tif;466;80.980687;193.736052;22.042478;29.595290;1.750941;1.342648;0.744797;0.677409;74.000000;0.667291;101.259000;0.433643;0;9.583333e-01
6;F-10917-x40-02.tif;4981;151.748846;165.644650;67.672933;97.716095;1.908453;1.443947;0.692546;0.664193;646.000000;0.721373;345.624000;0.292826;0;9.666667e-01
7;F-10917-x40-02.tif;1331;154.719008;238.254696;29.799311;70.344691;2.708640;2.360615;0.423618;0.342472;521.000000;0.905841;212.848000;0.389470;0;9.722222e-01
8;F-10917-x40-02.tif;1378;156.068215;347.884615;31.447330;76.245872;2.483009;2.424558;0.412446;0.301805;475.000000;0.910982;207.357000;0.547381;0;9.583333e-01
9;F-10917-x40-02.tif;1801;185.824542;24.531927;40.969844;72.143593;4.052152;1.760895;0.567893;0.440584;763.000000;0.823102;302.834000;0.346203;0;9.666667e-01
10;F-10917-x40-02.tif;709;180.188999;306.803949;27.660153;33.859180;1.224740;1.224114;0.816917;0.787415;66.000000;0.576755;104.460000;0.308678;0;9.583333e-01
11;F-10917-x40-02.tif;1478;224.430988;371.951962;34.107895;65.275025;2.425029;1.913781;0.522526;0.441662;524.000000;0.852623;212.227000;0.343276;0;9.583333e-01
12;F-10917-x40-02.tif;441;233.063492;42.294785;16.924116;46.398370;2.821843;2.741553;0.364757;0.260821;205.000000;0.931103;125.052000;0.401190;0;9.666667e-01
13;F-10917-x40-02.tif;4647;360.323219;70.416182;48.563305;140.715940;3.367387;2.897578;0.345116;0.298811;1776.000000;0.938560;443.443000;0.303381;0;9.722222e-01
14;F-10917-x40-02.tif;1649;374.797453;476.349303;34.132018;63.889134;1.647259;1.871824;0.534238;0.514371;230.000000;0.845334;184.755000;0.709534;0;9.848485e-01
15;F-10917-x40-02.tif;306;552.091503;268.575163;16.220445;35.264356;1.967693;2.174068;0.459967;0.313299;116.000000;0.887936;86.985000;0.601457;0;9.761905e-01
16;F-10917-x40-02.tif;310;615.487097;763.409677;16.244510;31.923563;2.225228;1.965191;0.508856;0.387301;106.000000;0.860851;93.105000;0.410484;0;8.333333e-01
