No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;536;38.906716;23.341418;20.641445;34.815449;1.392163;1.686677;0.592882;0.563029;55.000000;0.805290;96.835000;0.840235;6.159680e-01;9.321096e-01
2;F-11904a-x40-06.tif;1140;117.192982;61.785088;31.205003;49.195071;1.455465;1.576512;0.634312;0.599752;92.000000;0.773077;144.397000;0.680704;3.329657e-01;8.842222e-01
3;F-11904a-x40-06.tif;626;126.685304;753.140575;16.395425;50.346220;1.683012;3.070748;0.325654;0.314449;68.000000;0.945489;115.063000;0.753690;5.070808e-01;9.241179e-01
4;F-11904a-x40-06.tif;799;287.550688;724.773467;24.836641;45.014024;1.654557;1.812404;0.551753;0.502066;147.000000;0.834007;128.890000;0.416336;2.591153e-01;6.428930e-01
5;F-11904a-x40-06.tif;2238;322.812332;585.988829;49.385384;83.633803;2.835554;1.693493;0.590495;0.407386;914.000000;0.807041;282.393000;0.637257;2.664461e-01;9.238654e-01
6;F-11904a-x40-06.tif;2340;361.132051;715.903419;54.803120;57.437697;1.415393;1.048073;0.954132;0.903092;310.000000;0.299388;204.010000;0.680483;1.849315e-01;9.557553e-01
7;F-11904a-x40-06.tif;511;394.659491;662.426614;14.934812;54.610466;2.393947;3.656589;0.273479;0.218162;154.000000;0.961878;123.986000;0.472670;3.321614e-01;8.306607e-01
8;F-11904a-x40-06.tif;1720;412.951163;601.267442;40.023200;64.143441;2.251136;1.602656;0.623964;0.532273;394.000000;0.781453;220.582000;0.604050;2.515237e-01;9.265813e-01
9;F-11904a-x40-06.tif;3609;442.688279;331.909947;61.881992;97.492799;2.805385;1.575463;0.634734;0.483450;1134.000000;0.772731;356.693000;0.431212;0;9.695472e-01
10;F-11904a-x40-06.tif;1570;485.580892;591.998089;31.663335;64.359977;1.377426;2.032634;0.491972;0.482590;139.000000;0.870611;164.850000;0.688948;1.495529e-01;9.321901e-01
11;F-11904a-x40-06.tif;405;507.824691;747.807407;13.443351;47.761739;2.888198;3.552815;0.281467;0.226050;168.000000;0.959571;121.240000;0.387151;1.833787e-01;8.598492e-01
