No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;780;506.870513;563.661538;25.364281;40.454701;1.334830;1.594948;0.626980;0.606830;56.000000;0.779036;114.384000;234.438462;172;255
2;F-11333-x40-04.tif;1114;579.267504;523.476661;29.755512;50.997452;1.401867;1.713883;0.583471;0.545379;123.000000;0.812134;140.088000;244.336625;225;255
3;F-11333-x40-04.tif;767;586.242503;608.272490;26.398969;39.111079;1.231000;1.481538;0.674974;0.638419;51.000000;0.737841;108.926000;241.544980;216;255
4;F-11333-x40-04.tif;1319;683.307051;327.310083;39.047070;54.436571;2.216983;1.394127;0.717295;0.566726;407.000000;0.696770;191.694000;248.314632;235;255
5;F-11333-x40-04.tif;881;683.631101;453.021566;27.567058;43.863412;1.624127;1.591153;0.628475;0.583017;117.000000;0.777830;134.092000;242.561862;225;255
6;F-11333-x40-04.tif;841;696.247325;287.548157;28.265074;43.064994;1.694049;1.523612;0.656335;0.577374;144.000000;0.754469;133.803000;247.084423;228;255
7;F-11333-x40-04.tif;1083;732.367498;273.738689;31.162147;52.217225;2.176172;1.675662;0.596779;0.505721;288.000000;0.802406;172.094000;250.362881;234;255
8;F-11333-x40-04.tif;1713;761.279043;194.973730;40.604020;64.888998;2.456446;1.598093;0.625746;0.517995;543.000000;0.780027;229.952000;246.983071;229;255
9;F-11333-x40-04.tif;1878;772.946752;231.948882;37.160475;67.927891;1.560740;1.827961;0.547058;0.518214;286.000000;0.837095;191.919000;248.457401;230;255
10;F-11333-x40-04.tif;1180;854.823729;640.727119;35.479945;44.706149;1.605006;1.260040;0.793626;0.751723;172.000000;0.608406;154.271000;244.494068;225;255
11;F-11333-x40-04.tif;1129;864.586360;168.186005;35.113152;43.199920;1.259100;1.230306;0.812806;0.770261;92.000000;0.582535;133.654000;242.920283;220;255
12;F-11333-x40-04.tif;387;881.338501;195.072351;21.936878;23.213167;1.096054;1.058180;0.945019;0.914434;35.000000;0.327016;73.009000;251.155039;244;255
13;F-11333-x40-04.tif;1139;908.032485;188.418788;34.836217;42.144519;1.068309;1.209790;0.826589;0.816491;50.000000;0.562805;123.656000;241.685689;228;255
14;F-11333-x40-04.tif;1132;929.651943;219.267668;34.003318;47.289570;1.697029;1.390734;0.719045;0.644504;162.000000;0.694964;155.372000;245.451413;227;255
15;F-11333-x40-04.tif;728;948.620879;663.076923;30.360927;33.288327;1.345834;1.096420;0.912059;0.836484;90.000000;0.410058;110.960000;246.846154;233;255
16;F-11333-x40-04.tif;1138;994.207381;664.790861;28.034922;56.195212;1.629644;2.004472;0.498885;0.458832;160.000000;0.866668;152.659000;249.644112;234;255
17;F-11333-x40-04.tif;927;983.137001;443.101402;31.249844;40.437637;1.460154;1.294011;0.772791;0.721802;142.000000;0.634661;130.420000;248.851133;227;255
18;F-11333-x40-04.tif;1446;1012.230982;554.182573;44.949704;51.665179;2.698621;1.149400;0.870019;0.689735;425.000000;0.493018;221.442000;246.558783;225;255
19;F-11333-x40-04.tif;550;1014.894545;518.423636;20.490716;36.980912;1.518391;1.804764;0.554089;0.512056;90.000000;0.832457;102.442000;249.440000;240;255
20;F-11333-x40-04.tif;2040;1035.055882;625.827941;38.922209;69.419080;1.623651;1.783534;0.560685;0.538992;231.000000;0.828029;204.017000;244.487745;220;255
21;F-11333-x40-08.tif;859;616.690338;793.538999;30.211339;37.529857;1.259510;1.242244;0.804995;0.776514;83.000000;0.593282;116.601000;242.804424;205;255
22;F-11333-x40-08.tif;603;682.595357;68.895522;24.533751;31.602797;1.077711;1.288136;0.776316;0.768735;29.000000;0.630344;90.368000;247.018242;231;255
23;F-11333-x40-08.tif;812;684.834975;749.598522;25.505109;43.489861;1.484695;1.705143;0.586461;0.546626;114.000000;0.809977;123.084000;249.613300;237;255
24;F-11333-x40-08.tif;781;705.893726;785.321383;28.114564;35.732934;1.040674;1.270976;0.786797;0.778796;21.000000;0.617212;101.062000;249.176697;233;255
25;F-11333-x40-08.tif;1246;831.133226;622.808186;30.222604;55.706780;1.466225;1.843216;0.542530;0.511225;125.000000;0.840036;151.518000;248.122793;230;255
26;F-11333-x40-08.tif;933;927.824223;779.763130;28.034773;44.393389;1.568041;1.583512;0.631508;0.602775;101.000000;0.775369;135.589000;245.837085;233;255
27;F-11333-x40-08.tif;720;1013.620833;450.945833;25.747503;37.113743;1.228298;1.441450;0.693746;0.665538;69.000000;0.720220;105.420000;240.386111;170;255
28;F-11333-x40-08.tif;801;1389.143571;562.107366;23.833045;43.341239;1.160573;1.818536;0.549893;0.542925;36.000000;0.835235;108.083000;233.491885;216;255
29;F-11904a-x40-06.tif;919;518.722524;369.449402;23.746969;52.178106;1.371759;2.197253;0.455114;0.429783;94.000000;0.890433;125.864000;227.088139;161;255
30;F-11904a-x40-06.tif;876;543.074201;390.801370;25.864713;43.883776;1.241027;1.696666;0.589391;0.579170;64.000000;0.807848;116.882000;240.331050;224;255
31;F-11904a-x40-06.tif;832;616.405048;461.383413;29.683633;36.416848;1.089123;1.226833;0.815107;0.798783;46.000000;0.579310;106.710000;242.248798;209;255
32;F-11904a-x40-06.tif;1336;663.423653;322.684132;40.037440;43.338712;1.107925;1.082455;0.923826;0.905659;71.000000;0.382812;136.384000;247.538174;220;255
33;F-11904a-x40-06.tif;510;684.401961;496.603922;19.974511;33.437360;1.244544;1.674001;0.597371;0.580786;41.000000;0.801965;89.309000;244.252941;226;255
34;F-11904a-x40-06.tif;1086;700.371087;461.334254;33.383468;42.013840;1.095559;1.258522;0.794583;0.783349;40.000000;0.607156;122.275000;246.637201;215;255
35;F-11904a-x40-06.tif;644;710.251553;498.989130;25.272256;32.856684;1.100478;1.300109;0.769166;0.759536;29.000000;0.639049;94.371000;225.656832;189;255
36;F-11904a-x40-06.tif;916;742.131004;497.708515;32.322459;36.951680;1.228335;1.143220;0.874722;0.854156;76.000000;0.484624;118.908000;245.425764;184;255
37;F-11904a-x40-06.tif;911;763.600439;750.997805;29.306059;40.851937;1.235949;1.393976;0.717373;0.695029;64.000000;0.696690;118.950000;244.223930;167;255
38;F-11904a-x40-06.tif;1215;816.465844;391.179424;34.186519;47.549905;1.544939;1.390896;0.718961;0.684206;186.000000;0.695051;153.585000;240.929218;220;255
39;F-11904a-x40-06.tif;945;896.382011;381.293122;31.034025;40.121439;1.279534;1.292821;0.773502;0.747462;83.000000;0.633794;123.267000;245.516402;213;255
40;F-11904a-x40-06.tif;1672;899.955144;334.247608;43.625786;49.289151;1.166851;1.129817;0.885099;0.876282;80.000000;0.465402;156.578000;241.861244;201;255
41;F-11904a-x40-06.tif;654;1141.539755;607.415902;27.392772;30.764058;1.015982;1.123072;0.890415;0.879834;17.000000;0.455150;91.377000;233.172783;187;255
42;F-11904a-x40-06.tif;1284;1181.883956;602.461838;30.527268;61.982284;1.717501;2.030391;0.492516;0.425540;232.000000;0.870303;166.470000;231.616044;161;255
43;F-11240-x40-02.tif;576;869.157986;439.326389;24.560722;29.951356;0.954782;1.219482;0.820020;0.817522;12.000000;0.572334;83.132000;240.572917;223;255
44;F-11183a-x40-08.tif;514;1183.064202;664.933852;23.813884;28.003433;1.015122;1.175929;0.850392;0.834547;22.000000;0.526150;80.974000;241.832685;202;255
45;F-11183a-x40-08.tif;434;1195.686636;645.827189;21.353094;26.860271;1.114979;1.257910;0.794969;0.765912;22.000000;0.606650;77.980000;249.002304;238;255
