No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;896;717.920759;379.935268;28.798915;41.016942;1.153156;1.424253;0.702122;0.678097;65.000000;0.712056;113.947000;0.599288;1.021838e-01;7.632661e-01
2;F-11240-x40-02.tif;964;752.534232;291.511411;33.355395;36.890850;0.962426;1.105994;0.904164;0.901882;21.000000;0.427185;107.976000;0.630373;2.323188e-01;8.051970e-01
3;F-11240-x40-02.tif;855;809.311111;318.064327;32.756410;33.488679;0.985783;1.022355;0.978134;0.970689;26.000000;0.207976;102.915000;0.649367;1.501237e-01;7.916725e-01
4;F-11240-x40-02.tif;1517;826.595913;495.974291;37.621805;53.827380;1.301347;1.430750;0.698934;0.666637;162.000000;0.715186;157.505000;0.628312;4.891227e-02;8.001949e-01
5;F-11240-x40-02.tif;1242;848.611916;340.642512;34.072697;47.629620;1.294643;1.397882;0.715368;0.697072;110.000000;0.698748;142.148000;0.622184;1.604428e-01;7.888504e-01
6;F-11240-x40-02.tif;453;849.949227;390.761589;19.300654;32.624560;1.416276;1.690334;0.591599;0.541900;68.000000;0.806232;89.790000;0.545178;1.787991e-01;6.845093e-01
7;F-11240-x40-02.tif;683;861.289898;413.534407;25.840123;35.860612;1.208767;1.387788;0.720571;0.676232;67.000000;0.693381;101.856000;0.626534;1.668671e-01;7.574198e-01
8;F-11240-x40-02.tif;809;869.045735;439.830655;28.767671;36.075318;1.037810;1.254023;0.797434;0.791477;35.000000;0.603407;102.716000;0.680252;1.051449e-01;8.414117e-01
9;F-11240-x40-02.tif;2098;1319.774547;438.968065;46.550411;60.339350;1.633634;1.296215;0.771477;0.733693;284.000000;0.636257;207.532000;0.590296;-2.713186e-01;8.658833e-01
10;F-11240-x40-02.tif;1909;1330.424830;579.998428;40.306005;68.457135;1.830317;1.698435;0.588777;0.518655;464.000000;0.808295;209.542000;0.615326;2.365047e-01;7.612875e-01
11;F-11240-x40-02.tif;1265;1348.438735;529.710672;27.923481;60.395091;1.541485;2.162878;0.462347;0.441568;169.000000;0.886699;156.538000;0.609657;2.278602e-01;8.338993e-01
12;F-11240-x40-02.tif;561;1340.165775;494.122995;21.011062;35.412009;1.190845;1.685398;0.593332;0.569602;42.000000;0.804958;91.625000;0.642855;7.466609e-02;9.328097e-01
13;F-11240-x40-02.tif;606;1339.714521;623.143564;22.454583;35.181841;1.117216;1.566800;0.638244;0.623370;36.000000;0.769835;92.238000;0.619492;-1.466383e-01;8.513108e-01
14;F-11240-x40-02.tif;900;1366.711111;578.088889;29.002724;40.198760;1.086865;1.386034;0.721483;0.709132;48.000000;0.692432;110.870000;0.656932;1.236636e-01;8.335231e-01
15;F-11240-x40-02.tif;523;1383.210325;550.523901;22.288151;31.298518;1.396722;1.404267;0.712115;0.679774;49.000000;0.702063;95.810000;0.599804;2.583202e-01;7.998062e-01
16;F-11240-x40-02.tif;434;1390.949309;576.997696;21.696309;25.922727;0.966757;1.194799;0.836961;0.822315;9.000000;0.547263;72.612000;0.650670;-2.538424e-01;8.522010e-01
17;F-11333-x40-08.tif;827;48.995163;440.853688;24.208237;43.877422;1.134426;1.812500;0.551724;0.546932;33.000000;0.834027;108.579000;0.589642;1.142731e-01;7.747315e-01
18;F-11333-x40-08.tif;746;321.965147;298.040214;23.476820;41.071528;1.136525;1.749450;0.571608;0.563076;32.000000;0.820527;103.220000;0.588324;8.760241e-02;8.167222e-01
19;F-11333-x40-08.tif;796;348.356784;230.175879;31.198748;32.607908;0.983964;1.045167;0.956785;0.953185;24.000000;0.290797;99.209000;0.591439;5.872911e-02;7.979911e-01
20;F-11333-x40-08.tif;784;481.278061;598.247449;28.185906;36.809555;1.191010;1.305956;0.765723;0.736724;70.000000;0.643171;108.323000;0.576118;2.363624e-01;7.272720e-01
21;F-11333-x40-08.tif;825;517.469091;375.264242;28.239890;37.737391;1.032658;1.336315;0.748327;0.737599;28.000000;0.663331;103.469000;0.641520;2.306506e-01;7.669877e-01
22;F-11333-x40-08.tif;961;532.932362;399.938606;30.671767;40.162814;1.001254;1.309439;0.763686;0.758552;26.000000;0.645588;109.961000;0.611643;-1.258202e-01;8.070449e-01
23;F-11333-x40-08.tif;803;536.270237;186.783313;25.484645;40.828617;1.112965;1.602087;0.624186;0.613333;32.000000;0.781276;105.975000;0.617890;1.169422e-01;7.906405e-01
24;F-11333-x40-08.tif;859;540.849825;337.328289;28.713355;38.644120;1.135170;1.345859;0.743020;0.732380;56.000000;0.669269;110.696000;0.557842;1.052404e-01;7.108324e-01
25;F-11333-x40-08.tif;909;542.727173;244.233223;31.166300;37.927901;1.254045;1.216952;0.821725;0.804556;67.000000;0.569884;119.686000;0.539606;1.356450e-01;7.076723e-01
26;F-11333-x40-08.tif;890;546.074157;210.539326;26.434039;43.341368;1.200010;1.639604;0.609903;0.603247;55.000000;0.792476;115.849000;0.546408;8.873553e-02;7.740244e-01
27;F-11333-x40-08.tif;869;547.391254;307.718067;29.943868;38.024215;1.216037;1.269850;0.787495;0.765261;80.000000;0.616321;115.236000;0.594812;2.195278e-01;7.503583e-01
28;F-11333-x40-08.tif;942;560.720807;282.008493;26.526965;48.967835;1.507942;1.845965;0.541722;0.500195;143.000000;0.840558;133.605000;0.579762;2.238252e-01;7.338037e-01
29;F-11333-x40-08.tif;831;564.318893;366.723225;27.900986;39.081096;1.080829;1.400707;0.713925;0.692752;41.000000;0.700222;106.239000;0.611974;-2.559606e-01;8.432870e-01
30;F-11333-x40-08.tif;510;568.135294;262.131373;20.935057;32.492676;1.221878;1.552070;0.644301;0.615048;55.000000;0.764772;88.492000;0.550919;1.526732e-01;7.109328e-01
31;F-11333-x40-08.tif;1497;579.832999;167.247161;33.470883;58.260900;1.206699;1.740644;0.574500;0.561536;94.000000;0.818505;150.666000;0.620919;5.223919e-03;8.041409e-01
32;F-11333-x40-08.tif;813;576.590406;773.287823;26.878334;39.702095;1.129310;1.477104;0.677000;0.656710;45.000000;0.735983;107.413000;0.602470;-3.783130e-01;7.854076e-01
33;F-11333-x40-08.tif;1886;600.590668;323.713150;31.229753;82.443950;1.669892;2.639917;0.378800;0.353292;295.000000;0.925479;198.939000;0.629109;7.761696e-02;7.984967e-01
34;F-11333-x40-08.tif;2087;608.043124;569.000958;41.690886;71.683948;2.020152;1.719415;0.581593;0.517117;402.000000;0.813480;230.175000;0.611466;2.629379e-01;9.235354e-01
35;F-11333-x40-08.tif;369;591.000000;750.140921;20.019810;26.010536;1.217701;1.299240;0.769681;0.694445;55.000000;0.638429;75.143000;0.541170;3.838761e-01;7.193424e-01
36;F-11333-x40-08.tif;1211;618.104046;792.744839;33.392672;46.904929;1.086644;1.404647;0.711922;0.700837;43.000000;0.702258;128.594000;0.664368;-8.841754e-02;8.997846e-01
37;F-11333-x40-08.tif;1629;620.464088;277.923880;38.842906;56.618129;1.646072;1.457618;0.686051;0.647024;230.000000;0.727554;183.565000;0.579136;2.613037e-01;7.656963e-01
38;F-11333-x40-08.tif;1010;618.124752;182.625743;28.338795;48.349922;1.582945;1.706139;0.586119;0.550098;156.000000;0.810225;141.742000;0.557234;2.585615e-01;7.295834e-01
39;F-11333-x40-08.tif;424;635.417453;244.306604;21.706012;26.209906;1.289584;1.207495;0.828161;0.785860;48.000000;0.560491;82.892000;0.516747;-6.025617e-02;6.950848e-01
