No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;889;752.046119;291.263217;31.871138;35.688187;0.999804;1.119765;0.893044;0.888716;27.000000;0.449968;105.685000;0.378175;1.572281e-01;8.654493e-01
2;F-11240-x40-02.tif;801;809.444444;318.049938;31.154473;32.988647;0.978985;1.058874;0.944400;0.937160;21.000000;0.328799;99.268000;0.357995;1.919312e-01;1.009386e+00
3;F-11240-x40-02.tif;1311;827.020595;495.295195;35.929373;49.670765;1.346765;1.382456;0.723350;0.676567;160.000000;0.690481;148.954000;0.373757;1.607283e-01;9.379115e-01
4;F-11240-x40-02.tif;1044;849.355364;340.814176;31.892832;43.129653;1.221524;1.352331;0.739464;0.714593;92.000000;0.673196;126.592000;0.379927;2.041724e-01;9.731669e-01
5;F-11240-x40-02.tif;710;858.595775;410.687324;30.268683;36.070614;1.876347;1.191681;0.839151;0.694803;165.000000;0.543899;129.387000;0.395575;2.358597e-01;7.756656e-01
6;F-11240-x40-02.tif;757;869.194188;439.532365;27.267994;35.557883;1.027952;1.304015;0.766862;0.762315;26.000000;0.641812;98.887000;0.321310;1.424864e-01;1.224462e+00
7;F-11240-x40-02.tif;302;1305.463576;426.642384;19.185549;21.014281;1.071592;1.095318;0.912977;0.870739;18.000000;0.408012;63.771000;0.411234;2.317460e-01;8.220993e-01
8;F-11240-x40-02.tif;983;1326.164802;448.564598;31.791687;41.147963;1.353675;1.294299;0.772619;0.739208;111.000000;0.634870;129.312000;0.386630;2.053751e-01;1.627172e+00
9;F-11240-x40-02.tif;1541;1331.957820;577.923426;32.501690;64.047630;1.577398;1.970594;0.507461;0.478307;247.000000;0.861675;174.774000;0.389833;2.310896e-01;9.942059e-01
10;F-11240-x40-02.tif;302;1324.304636;420.758278;15.924212;24.841035;1.097592;1.559954;0.641045;0.623129;16.000000;0.767504;64.540000;0.475778;9.271370e-02;1.420844e+00
11;F-11240-x40-02.tif;697;1337.599713;620.091822;21.154765;43.832561;1.263660;2.071995;0.482627;0.461901;32.000000;0.875826;105.205000;0.397040;1.216268e-01;1.622963e+00
12;F-11240-x40-02.tif;862;1366.513921;577.842227;29.127723;38.436904;1.096680;1.319599;0.757806;0.742883;49.000000;0.652480;108.993000;0.354238;1.444258e-01;1.232033e+00
13;F-11240-x40-02.tif;415;1390.833735;576.898795;21.245380;25.273165;0.969079;1.189584;0.840630;0.827254;7.000000;0.541610;71.090000;0.368998;1.109324e-01;1.792037e+00
14;F-11069-x40-07.tif;1656;637.074879;430.086353;37.796354;59.016493;1.339505;1.561433;0.640437;0.605374;166.000000;0.768011;166.958000;0.411097;1.723238e-01;7.933861e-01
15;F-11069-x40-07.tif;1683;688.092692;296.632204;41.285685;53.248816;1.162440;1.289765;0.775335;0.755743;111.000000;0.631550;156.795000;0.379410;1.870195e-01;8.874109e-01
16;F-11069-x40-07.tif;966;693.431677;444.280538;27.819178;57.891789;1.869189;2.081003;0.480538;0.366989;299.000000;0.876974;150.633000;0.422395;1.966372e-01;7.487210e-01
17;F-11069-x40-07.tif;2762;768.839609;267.230630;51.930152;78.856326;1.964025;1.518508;0.658541;0.565537;543.000000;0.752545;261.090000;0.338168;1.227947e-01;1.041048e+00
18;F-11069-x40-07.tif;1281;772.782982;411.483997;32.194703;51.745657;1.138023;1.607272;0.622172;0.609132;52.000000;0.782881;135.349000;0.382877;2.144208e-01;8.032450e-01
19;F-11069-x40-07.tif;1281;779.351288;444.594848;27.848191;67.665332;2.462022;2.429793;0.411558;0.356227;327.000000;0.911384;199.079000;0.411925;1.762459e-01;9.109042e-01
20;F-11069-x40-07.tif;458;773.971616;384.458515;18.735000;32.641653;1.318169;1.742282;0.573960;0.547307;44.000000;0.818883;87.101000;0.444329;2.500320e-01;9.801850e-01
21;F-11069-x40-07.tif;1500;819.532667;251.994000;38.389946;50.508742;1.078838;1.315676;0.760065;0.748632;42.000000;0.649847;142.603000;0.353226;1.477016e-01;1.009191e+00
22;F-11069-x40-07.tif;1595;817.654545;394.365517;39.773257;51.915682;1.092521;1.305291;0.766113;0.753483;80.000000;0.642706;147.979000;0.318215;1.365716e-01;8.134913e-01
23;F-11069-x40-07.tif;1135;832.500441;350.148899;32.056016;48.751853;1.640701;1.520833;0.657534;0.608028;163.000000;0.753425;152.974000;0.416188;1.925240e-01;8.506618e-01
24;F-11069-x40-07.tif;1752;849.692352;279.147260;38.029198;62.409614;1.461241;1.641097;0.609348;0.572719;256.000000;0.792903;179.363000;0.374417;1.642706e-01;9.819159e-01
25;F-11069-x40-07.tif;1453;844.076394;453.934618;37.097801;50.936238;1.156499;1.373026;0.728318;0.713053;67.000000;0.685239;145.315000;0.361616;1.542270e-01;9.629206e-01
26;F-11069-x40-07.tif;1322;851.903177;418.464448;40.375767;42.766548;1.051998;1.059213;0.944097;0.920308;53.000000;0.329668;132.199000;0.344074;1.144434e-01;8.333650e-01
27;F-11069-x40-07.tif;2000;871.636500;375.119000;39.629457;67.813982;1.287408;1.711201;0.584385;0.553735;186.000000;0.811477;179.878000;0.365861;1.605280e-01;9.712834e-01
28;F-11069-x40-07.tif;2499;908.996799;277.740696;51.522175;73.173809;1.828532;1.420239;0.704107;0.594244;507.000000;0.710094;239.629000;0.349767;8.813451e-02;1.057282e+00
29;F-11069-x40-07.tif;600;908.005000;390.711667;22.877870;34.506316;1.170440;1.508284;0.663005;0.641600;31.000000;0.748615;93.941000;0.405878;1.947631e-01;8.616933e-01
30;F-11069-x40-07.tif;709;955.997179;265.565585;23.347680;39.481831;1.132334;1.691039;0.591353;0.579111;42.000000;0.806413;100.442000;0.411287;2.603075e-01;1.335234e+00
31;F-11183a-x40-08.tif;960;540.026042;482.568750;27.296000;46.681816;1.297860;1.710207;0.584724;0.560901;94.000000;0.811232;125.128000;0.405903;2.127929e-01;1.257034e+00
32;F-11183a-x40-08.tif;1420;567.852113;530.150704;36.690655;50.906569;1.267392;1.387453;0.720745;0.697671;119.000000;0.693200;150.385000;0.365999;2.008796e-01;7.713509e-01
33;F-11183a-x40-08.tif;652;583.846626;479.361963;24.518914;35.530662;1.164705;1.449112;0.690078;0.657584;48.000000;0.723735;97.687000;0.416930;2.350551e-01;6.317204e-01
34;F-11183a-x40-08.tif;928;609.351293;440.682112;31.679472;37.555753;1.008968;1.185492;0.843532;0.837732;27.000000;0.537079;108.472000;0.358519;2.000897e-01;6.744550e-01
