No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;701;191.887304;207.042796;26.321586;34.137329;0.998628;1.296933;0.771050;0.765895;18.000000;0.636775;93.792000;67.492154;0;245
2;F-11240-x40-02.tif;719;243.190542;462.368567;26.060705;35.689993;1.119878;1.369494;0.730196;0.718697;41.000000;0.683237;100.590000;69.831711;0;214
3;F-11240-x40-02.tif;793;272.344262;459.435057;24.405662;41.900106;1.150324;1.716819;0.582473;0.575113;38.000000;0.812850;107.066000;77.226986;0;255
4;F-11240-x40-02.tif;778;334.597686;344.652956;28.242652;35.283774;0.996022;1.249308;0.800443;0.795682;23.000000;0.599409;98.680000;77.443445;0;255
5;F-11240-x40-02.tif;745;339.324832;383.946309;26.776459;35.754595;1.055884;1.335300;0.748896;0.741998;25.000000;0.662688;99.424000;74.577181;0;255
6;F-11240-x40-02.tif;812;401.980296;476.011084;23.753715;52.572219;1.693306;2.213221;0.451830;0.374071;200.000000;0.892104;131.447000;51.833744;0;255
7;F-11240-x40-02.tif;593;558.237774;50.887015;25.422278;29.814279;0.960726;1.172762;0.852688;0.849408;12.000000;0.522420;84.612000;51.114671;0;255
8;F-11240-x40-02.tif;994;639.975855;382.919517;32.304568;39.919824;1.097748;1.235733;0.809236;0.794181;56.000000;0.587483;117.098000;58.920523;0;204
9;F-11240-x40-02.tif;749;664.706275;354.026702;25.675893;38.838811;1.253510;1.512657;0.661089;0.632208;65.000000;0.750308;108.620000;62.682243;0;224
10;F-11240-x40-02.tif;754;681.555703;512.334218;20.464908;51.749461;1.616827;2.528693;0.395461;0.358484;101.000000;0.918483;123.772000;61.356764;0;255
11;F-11240-x40-02.tif;773;699.182406;310.650712;28.062445;35.613470;1.064720;1.269079;0.787973;0.775999;30.000000;0.615710;101.698000;63.949547;0;194
12;F-11240-x40-02.tif;2460;707.543089;369.421545;41.323834;79.262195;1.316921;1.918075;0.521356;0.498555;144.000000;0.853339;201.768000;42.822764;0;235
13;F-11240-x40-02.tif;687;699.478894;482.625910;26.108872;34.110689;1.149431;1.306479;0.765416;0.751772;31.000000;0.643536;99.615000;67.868996;0;204
14;F-11240-x40-02.tif;1431;723.345213;571.328442;32.003895;60.302086;1.435466;1.884211;0.530726;0.501055;138.000000;0.847543;160.665000;55.197764;0;255
15;F-11240-x40-02.tif;1738;742.338320;424.411392;35.734192;64.796454;1.500022;1.813290;0.551484;0.527057;203.000000;0.834186;181.000000;70.212888;0;224
16;F-11240-x40-02.tif;718;736.260446;491.218663;27.830294;33.566070;1.082516;1.206098;0.829120;0.811397;29.000000;0.559071;98.829000;61.346797;0;184
17;F-11240-x40-02.tif;676;741.245562;532.011834;23.392619;37.191330;1.063704;1.589875;0.628980;0.622262;32.000000;0.777421;95.058000;51.105030;0;255
18;F-11240-x40-02.tif;1292;753.102167;293.213622;39.300269;42.218305;1.001561;1.074250;0.930882;0.922935;25.000000;0.365319;127.519000;39.773994;0;194
19;F-11240-x40-02.tif;694;761.914986;362.791066;28.311921;32.513346;1.137814;1.148398;0.870778;0.835884;57.000000;0.491676;99.614000;88.363112;31;153
20;F-11240-x40-02.tif;699;786.918455;282.805436;25.121316;36.219664;1.110996;1.441790;0.693582;0.678420;40.000000;0.720377;98.787000;51.668097;0;194
21;F-11240-x40-02.tif;1239;806.535109;316.284100;37.772094;42.257557;1.039790;1.118751;0.893854;0.883431;43.000000;0.448358;127.237000;41.530266;0;214
22;F-11240-x40-02.tif;1839;823.769984;497.395867;42.821297;56.499852;1.169816;1.319433;0.757901;0.733495;134.000000;0.652370;164.420000;39.522023;0;224
23;F-11240-x40-02.tif;2136;843.356742;343.352996;49.795758;56.573380;1.126829;1.136108;0.880198;0.849742;141.000000;0.474607;173.914000;47.518258;0;224
24;F-11240-x40-02.tif;986;842.190669;388.601420;32.719932;38.938760;1.013352;1.190062;0.840292;0.827986;30.000000;0.542134;112.053000;56.324544;0;214
25;F-11240-x40-02.tif;1387;859.351118;415.707282;31.670026;61.398607;1.461417;1.938698;0.515810;0.468457;188.000000;0.856703;159.599000;47.029560;0;245
26;F-11240-x40-02.tif;1226;858.529364;472.539967;34.358329;48.865351;1.523014;1.422227;0.703123;0.653730;114.000000;0.711069;153.180000;65.879282;0;255
27;F-11240-x40-02.tif;742;866.867925;442.365229;29.212982;33.106998;1.060153;1.133297;0.882381;0.861935;39.000000;0.470536;99.424000;28.831536;0;214
28;F-11240-x40-02.tif;513;985.705653;105.448343;23.749269;27.860300;0.968654;1.173101;0.852441;0.841503;12.000000;0.522823;79.022000;42.530214;0;245
29;F-11240-x40-02.tif;607;1020.820428;79.742998;26.039150;29.896013;0.951278;1.148118;0.870991;0.864714;11.000000;0.491299;85.183000;58.337727;0;255
30;F-11240-x40-02.tif;618;1072.318770;639.951456;24.356509;32.466610;0.986767;1.332975;0.750202;0.746491;16.000000;0.661209;87.540000;30.959547;0;204
31;F-11240-x40-02.tif;1980;1123.687879;642.509091;59.791175;72.615417;3.350447;1.214484;0.823395;0.478099;1327.000000;0.567469;288.728000;57.512626;0;224
32;F-11240-x40-02.tif;941;1261.388948;412.592986;28.791454;43.122956;1.232257;1.497769;0.667660;0.644292;83.000000;0.744467;120.712000;60.712009;0;173
33;F-11240-x40-02.tif;4972;1303.971440;447.878319;73.525285;94.207822;1.626982;1.281298;0.780458;0.713292;772.000000;0.625208;318.832000;59.648230;0;255
34;F-11240-x40-02.tif;1322;1291.787443;380.746596;32.879132;58.242230;1.508719;1.771404;0.564524;0.496210;182.000000;0.825417;158.316000;48.032526;0;245
35;F-11240-x40-02.tif;4931;1338.759481;590.309673;61.063658;114.880567;2.222009;1.881325;0.531540;0.475721;958.000000;0.847033;371.061000;45.170554;0;235
36;F-11240-x40-02.tif;639;1316.040689;34.256651;28.193988;29.624249;1.178155;1.050729;0.951720;0.927078;54.000000;0.306968;97.265000;75.917058;0;224
37;F-11240-x40-02.tif;1869;1347.182451;528.516854;38.916940;65.844552;1.481897;1.691925;0.591043;0.548883;259.000000;0.806640;186.560000;43.039593;0;163
38;F-11240-x40-02.tif;1440;1351.514583;674.640972;33.845134;59.708617;1.871850;1.764171;0.566838;0.514279;294.000000;0.823829;184.044000;69.052083;0;235
39;F-11240-x40-02.tif;460;1344.067391;490.936957;23.511275;25.232362;1.012407;1.073203;0.931790;0.919924;20.000000;0.362997;76.500000;39.173913;0;224
40;F-11240-x40-02.tif;895;1357.849162;708.691620;28.895081;40.827428;1.195511;1.412954;0.707737;0.683643;65.000000;0.706476;115.956000;76.433520;0;194
41;F-11240-x40-02.tif;1635;1383.725994;562.113150;40.256360;54.687579;1.206217;1.358483;0.736115;0.696066;84.000000;0.676856;157.426000;48.311315;0;255
42;F-11240-x40-02.tif;610;1454.277049;100.231148;25.439185;30.897219;1.014311;1.214552;0.823349;0.813582;17.000000;0.567536;88.177000;66.609836;0;245
43;F-11240-x40-02.tif;771;1550.804150;558.437095;26.462984;37.958931;1.360798;1.434416;0.697148;0.681297;49.000000;0.716927;114.823000;88.945525;0;255
44;F-10917-x40-02.tif;1504;493.750665;450.201463;39.409334;57.344159;2.509011;1.455091;0.687242;0.582344;403.000000;0.726428;217.761000;66.898271;0;151
45;F-10917-x40-02.tif;1755;513.765242;532.888889;42.821043;55.614099;1.834139;1.298756;0.769967;0.722466;274.000000;0.638083;201.122000;70.147578;0;208
46;F-10917-x40-02.tif;1378;599.064586;307.033382;35.525383;56.190747;2.237114;1.581707;0.632228;0.555686;317.000000;0.774782;196.822000;63.808418;0;161
47;F-10917-x40-02.tif;1747;624.760733;555.350315;46.048631;56.580298;2.292262;1.228707;0.813863;0.694820;442.000000;0.581056;224.328000;57.045220;0;179
48;F-10917-x40-02.tif;944;664.703390;556.200212;33.082098;40.064853;1.649248;1.211074;0.825714;0.748781;151.000000;0.564089;139.873000;73.087924;9;151
49;F-10917-x40-02.tif;678;681.710914;495.727139;28.927376;33.873529;1.754804;1.170985;0.853982;0.752348;140.000000;0.520303;122.274000;75.081121;0;179
50;F-10917-x40-02.tif;1654;722.968561;428.773277;34.329750;66.671226;1.568357;1.942083;0.514911;0.473771;275.000000;0.857244;180.549000;87.675937;0;255
51;F-10917-x40-02.tif;629;729.314785;553.561208;22.612092;37.925424;1.405307;1.677219;0.596225;0.556801;84.000000;0.802817;105.394000;68.731320;0;161
52;F-10917-x40-02.tif;514;748.900778;507.959144;17.930413;41.673016;1.626070;2.324153;0.430264;0.376846;79.000000;0.902703;102.484000;65.657588;0;161
53;F-10917-x40-02.tif;861;755.745645;571.950058;32.736307;38.240181;2.125777;1.168128;0.856071;0.749676;156.000000;0.516858;151.658000;72.509872;0;179
54;F-10917-x40-02.tif;765;788.069281;315.456209;24.862651;39.760656;1.057211;1.599212;0.625308;0.616119;11.000000;0.780378;100.813000;72.118954;0;151
55;F-10917-x40-02.tif;1232;790.766234;553.942370;38.382168;41.851504;1.293627;1.090389;0.917104;0.895568;92.000000;0.398649;141.519000;45.547890;0;170
56;F-10917-x40-02.tif;1188;798.984007;513.682660;36.047718;42.836906;1.181077;1.188339;0.841511;0.824310;81.000000;0.540240;132.786000;57.537037;0;179
57;F-10917-x40-02.tif;949;829.500527;321.165437;31.041473;40.690048;1.161023;1.310829;0.762876;0.729793;81.000000;0.646544;117.668000;34.419389;0;151
58;F-10917-x40-02.tif;707;839.739745;535.137199;22.295248;51.384013;2.092329;2.304707;0.433895;0.340936;204.000000;0.900964;136.342000;69.243281;0;255
59;F-10917-x40-02.tif;1265;844.328063;456.508300;26.360171;71.561121;1.790911;2.714744;0.368359;0.314519;353.000000;0.929684;168.728000;66.033992;0;189
60;F-10917-x40-02.tif;5464;875.686676;360.053990;63.532414;118.980931;2.422212;1.872759;0.533971;0.491435;1198.000000;0.845503;407.818000;61.192167;0;198
61;F-10917-x40-02.tif;4537;904.330174;528.197928;71.890683;91.362844;3.589563;1.270858;0.786870;0.692054;1508.000000;0.617119;452.387000;63.828962;0;189
62;F-10917-x40-02.tif;1141;909.749343;470.773006;33.458374;45.838110;1.248954;1.370004;0.729925;0.691421;99.000000;0.683527;133.820000;60.503944;0;217
63;F-10917-x40-02.tif;925;924.807568;440.721081;33.518569;35.683153;1.075710;1.064579;0.939339;0.924965;44.000000;0.342991;111.821000;72.254054;0;189
64;F-10917-x40-02.tif;1573;934.396694;372.516847;34.617378;59.853382;1.624077;1.728998;0.578370;0.559064;174.000000;0.815775;179.173000;73.465989;0;198
65;F-10917-x40-02.tif;902;950.370288;415.227273;32.645520;40.236229;2.307195;1.232519;0.811346;0.709385;170.000000;0.584566;161.715000;76.149667;0;189
66;F-10917-x40-02.tif;1518;958.499341;466.713439;33.650831;66.173760;1.910786;1.966482;0.508522;0.441378;320.000000;0.861049;190.918000;75.216074;0;208
67;F-10917-x40-02.tif;507;982.897436;425.775148;23.636001;28.389501;1.175672;1.201113;0.832561;0.800945;50.000000;0.553933;86.547000;70.609467;0;123
68;F-10917-x40-02.tif;676;1102.534024;365.992604;26.110426;33.699587;1.112182;1.290656;0.774800;0.757893;46.000000;0.632207;97.200000;55.730769;0;170
69;F-10917-x40-02.tif;794;1162.811083;415.426952;29.465345;35.707603;1.097631;1.211851;0.825184;0.792883;46.000000;0.564864;104.651000;56.835013;0;227
70;F-10917-x40-02.tif;2193;1232.459644;147.488372;43.880837;65.497331;1.361886;1.492618;0.669964;0.650881;211.000000;0.742394;193.729000;46.409029;0;198
71;F-10917-x40-02.tif;947;1266.000000;125.052798;30.774958;40.201988;1.180882;1.306321;0.765508;0.746045;75.000000;0.643426;118.545000;67.100317;0;170
72;F-10917-x40-02.tif;586;1273.428328;77.230375;20.839839;36.380566;1.113053;1.745722;0.572829;0.563727;20.000000;0.819675;90.534000;40.711604;0;208
73;F-10917-x40-02.tif;4786;1433.821145;264.622232;73.693170;93.805115;2.976723;1.272915;0.785599;0.692516;1598.000000;0.618736;423.117000;89.954242;0;236
74;F-10917-x40-02.tif;701;1489.268188;84.962910;24.411154;43.200197;2.158648;1.769691;0.565070;0.478252;239.000000;0.825043;137.897000;109.028531;38;208
75;F-10917-x40-02.tif;2407;1539.312838;98.565019;42.248843;82.788724;2.149411;1.959550;0.510321;0.447140;828.000000;0.859984;254.978000;123.160781;0;198
76;F-10917-x40-02.tif;1025;1531.037073;283.072195;29.435880;45.423154;1.264892;1.543122;0.648037;0.632527;63.000000;0.761609;127.642000;68.634146;0;179
77;F-10917-x40-02.tif;401;1560.518703;48.309227;21.108819;33.045993;2.033795;1.565507;0.638771;0.467538;152.000000;0.769397;101.235000;112.174564;57;198
78;F-11333-x40-04.tif;1058;486.295841;751.255198;35.582074;37.933387;0.952905;1.066081;0.938015;0.936165;19.000000;0.346596;112.557000;57.535917;0;232
79;F-11333-x40-04.tif;1115;507.354260;566.637668;28.675011;50.454940;1.116547;1.759544;0.568329;0.557670;32.000000;0.822801;125.078000;49.794619;0;232
80;F-11333-x40-04.tif;1246;620.968700;645.509631;38.519561;41.608630;1.025094;1.080195;0.925759;0.916350;49.000000;0.378114;126.691000;61.361156;0;224
81;F-11333-x40-04.tif;6496;670.325431;434.901632;92.843929;98.493690;1.374790;1.060852;0.942638;0.852588;707.000000;0.333816;335.001000;51.552648;0;193
82;F-11333-x40-04.tif;1160;640.184483;483.610345;34.897016;43.263923;1.049970;1.239760;0.806608;0.789071;35.000000;0.591087;123.715000;51.794828;0;178
83;F-11333-x40-04.tif;914;653.366521;645.481400;29.154262;41.341644;1.108568;1.418031;0.705203;0.680896;63.000000;0.709005;112.839000;40.029540;0;224
84;F-11333-x40-04.tif;1536;666.778646;519.677083;40.048365;49.037284;1.007753;1.224452;0.816692;0.813296;36.000000;0.577074;139.469000;66.854818;0;193
85;F-11333-x40-04.tif;1108;681.198556;636.038809;32.969668;45.748273;1.187659;1.387587;0.720676;0.674063;107.000000;0.693272;128.594000;55.645307;0;224
86;F-11333-x40-04.tif;1399;693.094353;607.772695;35.782962;50.785698;1.118547;1.419270;0.704587;0.690629;89.000000;0.709617;140.230000;61.415297;0;185
87;F-11333-x40-04.tif;1349;700.075612;550.977761;38.897714;44.836305;1.064368;1.152672;0.867549;0.854402;68.000000;0.497351;134.325000;54.917717;0;201
88;F-11333-x40-04.tif;1723;706.636680;490.080673;41.829555;53.066647;1.054329;1.268640;0.788246;0.779026;71.000000;0.615361;151.090000;78.135810;8;178
89;F-11333-x40-04.tif;1483;731.468645;449.208361;41.586465;45.480061;0.972365;1.093627;0.914389;0.912871;25.000000;0.404837;134.614000;55.908968;0;185
90;F-11333-x40-04.tif;1415;735.999293;625.093286;37.168115;48.770596;1.041503;1.312162;0.762101;0.757444;49.000000;0.647458;136.086000;81.407774;0;201
91;F-11333-x40-04.tif;1520;733.210526;573.603947;40.985132;49.600758;1.185743;1.210213;0.826301;0.786642;106.000000;0.563229;150.495000;64.390789;0;155
92;F-11333-x40-04.tif;1237;758.031528;551.426839;34.123511;47.881666;1.155059;1.403187;0.712663;0.686976;86.000000;0.701506;133.996000;56.153597;0;185
93;F-11333-x40-04.tif;1266;763.663507;487.627962;37.072932;43.719029;0.983121;1.179271;0.847982;0.843340;26.000000;0.530026;125.062000;58.552133;0;216
