No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11240-x40-02.tif;1316;183.189210;119.212006;30.633838;55.297486;1.173576;1.805111;0.553982;0.547968;65.000000;0.832528;139.312000;112.238602;80;162
2;F-11240-x40-02.tif;745;192.029530;206.204027;27.485220;34.730936;0.974102;1.263622;0.791376;0.786382;18.000000;0.611330;95.496000;105.210738;34;216
3;F-11240-x40-02.tif;898;243.635857;461.047884;28.142289;41.002185;1.061193;1.456960;0.686361;0.680099;40.000000;0.727261;109.431000;105.399777;58;210
4;F-11240-x40-02.tif;894;272.829978;459.387025;26.951605;42.574479;1.086023;1.579664;0.633046;0.627985;34.000000;0.774114;110.457000;107.861298;58;221
5;F-11240-x40-02.tif;705;294.988652;534.679433;27.293236;32.973797;0.957563;1.208131;0.827725;0.825584;15.000000;0.561134;92.105000;103.551773;35;222
6;F-11240-x40-02.tif;640;301.889063;456.332812;25.631498;36.880534;1.396186;1.438875;0.694987;0.599095;109.000000;0.719022;105.966000;91.968750;24;222
7;F-11240-x40-02.tif;540;306.420370;404.396296;24.764094;28.721515;1.118439;1.159805;0.862214;0.833469;43.000000;0.506544;87.118000;111.612963;60;194
8;F-11240-x40-02.tif;410;326.758537;409.063415;20.808987;25.820239;1.050814;1.240822;0.805918;0.783021;28.000000;0.592028;73.580000;116.043902;76;222
9;F-11240-x40-02.tif;838;334.933174;344.078759;29.711180;36.091233;0.969102;1.214736;0.823224;0.819126;13.000000;0.567716;101.021000;103.102625;63;225
10;F-11240-x40-02.tif;820;339.948780;382.869512;28.803232;36.391157;0.981630;1.263440;0.791490;0.788374;22.000000;0.611182;100.574000;97.789024;56;226
11;F-11240-x40-02.tif;913;402.248631;476.427163;24.415010;56.260946;1.610057;2.304359;0.433960;0.367254;202.000000;0.900932;135.913000;93.269441;21;210
12;F-11240-x40-02.tif;799;419.996245;100.269086;24.295265;42.967566;1.157286;1.768557;0.565433;0.551030;41.000000;0.824794;107.795000;106.414268;53;219
13;F-11240-x40-02.tif;615;559.008130;50.092683;25.775185;30.461740;0.953353;1.181824;0.846149;0.843871;15.000000;0.532946;85.836000;98.944715;29;220
14;F-11240-x40-02.tif;775;603.240000;468.040000;28.669830;35.064443;1.136111;1.223043;0.817633;0.802561;42.000000;0.575740;105.188000;108.438710;65;180
15;F-11240-x40-02.tif;1256;643.769108;382.159236;33.109409;49.732564;1.220758;1.502067;0.665749;0.646574;85.000000;0.746176;138.808000;88.065287;40;189
16;F-11240-x40-02.tif;1529;663.586658;411.917593;38.548885;56.516516;1.914668;1.466100;0.682082;0.609490;300.000000;0.731276;191.803000;99.983649;26;234
17;F-11240-x40-02.tif;779;665.853659;352.935815;26.483190;37.958293;1.053447;1.433298;0.697692;0.688390;31.000000;0.716398;101.550000;84.459564;28;193
18;F-11240-x40-02.tif;679;674.456554;462.670103;23.672153;37.381448;1.129409;1.579132;0.633259;0.618682;33.000000;0.773940;98.167000;89.296024;21;215
19;F-11240-x40-02.tif;711;682.520394;511.879044;20.090034;48.252537;1.511160;2.401815;0.416352;0.388812;85.000000;0.909204;116.197000;103.954993;51;217
20;F-11240-x40-02.tif;866;700.946882;309.630485;29.175869;38.198400;1.032622;1.309246;0.763798;0.755680;17.000000;0.645455;106.007000;98.826790;41;164
21;F-11240-x40-02.tif;2850;711.327719;369.929825;49.401682;80.629389;1.347002;1.632118;0.612701;0.558172;270.000000;0.790315;219.640000;73.926667;22;202
22;F-11240-x40-02.tif;738;701.271003;483.063686;26.030819;36.551139;1.131437;1.404149;0.712175;0.703339;27.000000;0.702002;102.435000;101.464770;47;206
23;F-11240-x40-02.tif;1247;714.273456;159.022454;34.028901;46.930886;1.056620;1.379148;0.725085;0.720873;52.000000;0.688659;128.676000;108.088212;66;216
24;F-11240-x40-02.tif;1420;724.783099;571.426761;31.980620;59.928717;1.325623;1.873907;0.533644;0.503418;124.000000;0.845709;153.801000;100.478873;39;217
