No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-07.tif;1301;731.886241;788.272867;36.394467;52.540216;1.584765;1.443632;0.692697;0.600072;214.000000;0.721228;160.963000;0.778860;7.368421e-01;8.866667e-01
2;M-11940-x40-07.tif;2369;761.498523;312.974251;53.474834;61.832722;2.354526;1.156296;0.864831;0.788930;358.000000;0.502064;264.752000;0.784637;7.492997e-01;8.412698e-01
3;M-11940-x40-07.tif;2477;855.072669;208.498587;46.127744;70.592066;1.651717;1.530360;0.653441;0.632884;231.000000;0.756978;226.744000;0.785489;7.330508e-01;8.815261e-01
4;M-11940-x40-07.tif;737;879.963365;387.713704;27.707417;34.776186;1.105687;1.255122;0.796735;0.775914;47.000000;0.604328;101.194000;0.769339;6.521739e-01;9.066667e-01
5;M-11940-x40-07.tif;3155;902.367670;334.982250;58.506519;70.190938;1.201785;1.199711;0.833534;0.815356;151.000000;0.552468;218.282000;0.778752;7.409420e-01;8.763441e-01
6;M-11940-x40-07.tif;2894;929.128887;105.934692;52.032804;75.521962;1.620074;1.451430;0.688976;0.646044;317.000000;0.724784;242.729000;0.788790;7.465278e-01;9.748428e-01
7;M-11940-x40-07.tif;2925;946.353162;196.011282;56.539283;67.039422;1.247835;1.185714;0.843374;0.828658;139.000000;0.537328;214.164000;0.753169;0;9.722222e-01
8;M-11940-x40-07.tif;2090;1299.904785;441.997608;47.108738;58.469935;1.334591;1.241170;0.805692;0.778379;200.000000;0.592335;187.220000;0.794434;7.547619e-01;8.588235e-01
9;M-11940-x40-07.tif;928;1315.894397;282.130388;30.565719;39.519588;1.165361;1.292938;0.773432;0.756542;57.000000;0.633879;116.576000;0.777167;0;9.444444e-01
10;M-11940-x40-07.tif;1990;1352.554271;483.788945;34.402163;78.856641;1.549385;2.292200;0.436262;0.407462;222.000000;0.899820;196.839000;0.796346;7.528736e-01;8.596491e-01
11;M-11940-x40-07.tif;1333;1375.682671;450.507127;31.791163;55.896808;1.371724;1.758250;0.568747;0.543208;110.000000;0.822512;151.584000;0.791485;7.564103e-01;8.644444e-01
12;M-11940-x40-07.tif;3672;1438.047386;440.719771;55.254135;89.166033;1.723655;1.613744;0.619677;0.588050;352.000000;0.784857;282.021000;0.787995;7.356322e-01;8.684211e-01
13;M-11940-x40-10.tif;2564;368.234009;488.474259;53.128117;65.123289;1.888003;1.225778;0.815808;0.769760;445.000000;0.578322;246.641000;0.796125;7.598039e-01;8.491379e-01
14;M-11940-x40-10.tif;1264;478.232595;429.915348;31.823093;52.382261;1.268264;1.646046;0.607517;0.586528;116.000000;0.794307;141.933000;0.781759;1.515152e-02;9.814815e-01
15;M-11940-x40-10.tif;1327;515.266014;483.024868;38.517420;46.135486;1.302768;1.197782;0.834876;0.793800;156.000000;0.550438;147.392000;0.799392;7.586806e-01;8.492063e-01
16;M-11940-x40-10.tif;1602;553.162297;533.187266;37.596134;64.073071;2.689733;1.704246;0.586770;0.496846;507.000000;0.809754;232.697000;0.795932;7.683616e-01;8.333333e-01
17;M-11940-x40-10.tif;1379;555.220450;378.460479;33.485929;53.974853;1.496186;1.611867;0.620399;0.602686;139.000000;0.784287;161.020000;0.795936;7.574257e-01;8.530466e-01
18;M-11940-x40-10.tif;2282;566.259422;450.539001;39.746762;83.166689;2.117051;2.092414;0.477917;0.420075;462.000000;0.878405;246.393000;0.796742;7.761438e-01;8.581560e-01
19;M-11940-x40-10.tif;1263;619.445764;390.290578;33.494493;49.110718;1.261429;1.466233;0.682020;0.666747;92.000000;0.731334;141.494000;0.795226;7.492063e-01;9.053030e-01
20;M-11940-x40-10.tif;1181;652.310754;443.784081;35.072068;47.840076;1.656867;1.364051;0.733111;0.657017;204.000000;0.680109;156.810000;0.791200;7.492625e-01;8.541667e-01
21;M-11940-x40-10.tif;1857;682.416801;402.873452;32.888914;80.927824;2.181507;2.460641;0.406398;0.361016;346.000000;0.913696;225.626000;0.801898;7.717087e-01;8.520599e-01
22;M-11940-x40-10.tif;2816;727.919389;354.856889;51.692864;77.391073;1.856574;1.497133;0.667944;0.598634;619.000000;0.744212;256.317000;0.804741;7.766323e-01;8.397436e-01
23;M-11940-x40-10.tif;1275;804.832941;391.967843;34.407896;51.009610;1.390785;1.482497;0.674538;0.623902;135.000000;0.738241;149.276000;0.808928;7.961165e-01;8.390805e-01
24;M-11940-x40-10.tif;3927;871.455564;353.103896;57.710466;112.001329;3.583767;1.940746;0.515266;0.398588;1674.000000;0.857030;420.538000;0.808066;7.660819e-01;8.937500e-01
25;M-11940-x40-10.tif;1128;841.887411;416.760638;32.240894;47.236701;1.379255;1.465118;0.682539;0.643665;111.000000;0.730849;139.824000;0.806472;7.896440e-01;8.262411e-01
26;M-11940-x40-10.tif;1356;855.478614;462.859882;37.961998;46.766779;1.187170;1.231937;0.811730;0.789396;87.000000;0.584033;142.230000;0.793067;7.600000e-01;8.472222e-01
27;M-11940-x40-10.tif;2501;919.789284;420.027589;40.829606;87.925164;2.015555;2.153466;0.464368;0.411905;508.000000;0.885643;251.686000;0.794847;1.666667e-02;9.444444e-01
28;M-11934b-x40-06.tif;2234;138.402865;118.722919;41.314310;76.293793;2.433446;1.846667;0.541516;0.488669;560.000000;0.840690;261.371000;0.790701;6.702899e-01;9.217172e-01
29;M-11934b-x40-06.tif;343;223.148688;735.693878;19.973692;22.819341;1.076072;1.142470;0.875297;0.838683;12.000000;0.483586;68.104000;0.399174;0;9.166667e-01
30;M-11934b-x40-06.tif;3445;263.250218;390.101597;59.388069;84.826867;2.870360;1.428349;0.700109;0.609582;829.000000;0.714036;352.507000;0.731503;0;9.833333e-01
31;M-11934b-x40-06.tif;6354;354.477022;311.245829;77.916590;140.447742;4.534812;1.802540;0.554773;0.410136;3706.000000;0.832002;601.739000;0.777905;0;9.791667e-01
32;M-11934b-x40-06.tif;428;390.693925;796.235981;13.730565;49.257010;2.167628;3.587399;0.278754;0.224604;135.000000;0.960363;107.974000;0.390576;0;8.333333e-01
33;M-11934b-x40-06.tif;5701;531.043326;351.866865;79.766056;92.051922;1.155388;1.154024;0.866533;0.856634;248.000000;0.499119;287.703000;0.763376;6.741294e-01;8.974359e-01
34;M-11934b-x40-06.tif;317;521.425868;799.230284;16.485343;29.602759;1.546258;1.795702;0.556885;0.460580;45.000000;0.830589;78.483000;0.553102;0;9.166667e-01
35;M-11934b-x40-06.tif;2119;732.887683;290.932043;39.521172;77.609858;2.774126;1.963754;0.509229;0.447927;454.000000;0.860631;271.790000;0.749316;0;9.761905e-01
36;M-11934b-x40-06.tif;5969;774.480147;558.337075;70.966187;117.860497;2.201285;1.660798;0.602120;0.547111;1243.000000;0.798405;406.344000;0.411308;0;9.920635e-01
37;M-11934b-x40-06.tif;1590;761.635220;336.768553;28.307281;81.191061;1.846919;2.868204;0.348650;0.307108;330.000000;0.937253;192.100000;0.756664;6.962617e-01;8.222222e-01
38;M-11934b-x40-06.tif;2638;806.035254;276.218347;50.273040;78.527003;1.942396;1.562010;0.640201;0.544687;714.000000;0.768208;253.753000;0.739877;0;9.583333e-01
39;M-11934b-x40-06.tif;1774;828.254791;379.056933;41.020594;57.958007;1.466368;1.412900;0.707764;0.672414;227.000000;0.706449;180.802000;0.760507;7.271062e-01;8.179012e-01
40;M-11934b-x40-06.tif;640;836.273438;244.229688;17.835792;52.705890;1.954983;2.955063;0.338402;0.293340;174.000000;0.941002;125.391000;0.338932;0;9.166667e-01
41;M-11934b-x40-06.tif;1228;974.350163;126.909609;28.741974;59.842552;1.648220;2.082061;0.480293;0.436605;176.000000;0.877108;159.482000;0.785742;7.119342e-01;9.356061e-01
42;M-11934b-x40-06.tif;3016;1002.386605;397.628979;57.910968;66.645146;1.103572;1.150821;0.868945;0.864578;113.000000;0.494909;204.513000;0.763290;6.840278e-01;8.817204e-01
43;M-11934b-x40-06.tif;2054;1099.966894;464.417722;51.791973;61.837082;2.820619;1.193951;0.837555;0.683931;852.000000;0.546353;269.822000;0.751074;0;9.722222e-01
44;M-11940-x40-08.tif;1161;117.094746;394.503876;30.680678;54.778853;1.787004;1.785451;0.560083;0.492625;228.000000;0.828437;161.467000;0.790167;7.641509e-01;8.913043e-01
45;M-11940-x40-08.tif;3739;176.372560;199.603905;42.673799;118.040092;1.937621;2.766102;0.361520;0.341670;531.000000;0.932365;301.729000;0.785699;0;9.907407e-01
46;M-11940-x40-08.tif;1796;179.969376;288.557906;40.173345;66.653217;2.142800;1.659140;0.602722;0.514724;421.000000;0.797951;219.912000;0.803057;7.669753e-01;9.358974e-01
47;M-11940-x40-08.tif;876;198.149543;68.863014;32.040131;36.913391;1.263082;1.152099;0.867981;0.818552;67.000000;0.496597;117.916000;0.775045;0;9.861111e-01
48;M-11940-x40-08.tif;1869;213.879080;243.921883;39.953763;61.819226;1.628108;1.547269;0.646300;0.622691;206.000000;0.763083;195.547000;0.803233;0;9.848485e-01
49;M-11940-x40-08.tif;2425;242.156701;171.912165;43.337679;74.703654;1.713804;1.723758;0.580128;0.553271;244.000000;0.814525;228.529000;0.795663;7.666667e-01;8.560606e-01
50;M-11940-x40-08.tif;2484;340.825684;259.149758;45.589019;74.087411;1.606349;1.625115;0.615341;0.576199;377.000000;0.788261;223.924000;0.810205;7.743363e-01;8.768939e-01
51;M-11940-x40-08.tif;2723;339.634594;358.484392;46.843082;77.987062;1.495152;1.664858;0.600652;0.570050;375.000000;0.799511;226.189000;0.811281;7.831715e-01;8.827160e-01
52;M-11940-x40-08.tif;3762;446.780170;272.859383;63.632209;76.475027;1.221103;1.201829;0.832065;0.819011;205.000000;0.554678;240.265000;0.801530;7.649573e-01;8.830846e-01
53;M-11940-x40-08.tif;2569;718.012456;134.292721;52.293406;63.296118;1.172808;1.210403;0.826171;0.816432;117.000000;0.563420;194.581000;0.794222;7.695652e-01;8.655914e-01
54;M-11940-x40-08.tif;3817;732.708148;458.239717;48.175133;150.590747;5.526064;3.125902;0.319908;0.214307;2485.000000;0.947449;514.842000;0.804472;7.629969e-01;8.611111e-01
55;M-11940-x40-08.tif;2730;755.886813;73.175092;52.320488;67.293322;1.363642;1.286175;0.777499;0.767589;168.000000;0.628884;216.290000;0.793503;7.592593e-01;8.496732e-01
