No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-03.tif;437;56.524027;363.151030;18.215619;32.072764;1.402593;1.760729;0.567947;0.540902;36.000000;0.823065;87.763000;0.757331;5.186116e-01;8.839425e-01
2;M-11830a-x40-03.tif;353;141.365439;634.413598;18.848000;26.763187;1.550793;1.419948;0.704251;0.627493;76.000000;0.709951;82.941000;0.484247;3.728038e-01;8.115791e-01
3;M-11830a-x40-03.tif;425;176.680000;741.023529;17.527523;34.156018;1.337613;1.948708;0.513161;0.463836;49.000000;0.858293;84.521000;0.832369;5.731650e-01;9.118569e-01
4;M-11830a-x40-03.tif;3005;218.923461;609.860899;55.028663;89.286675;2.573753;1.622549;0.616314;0.479934;1271.000000;0.787500;311.753000;0.676203;2.673776e-01;8.983072e-01
5;M-11830a-x40-03.tif;1853;258.175391;738.274150;37.749212;70.771702;2.128274;1.874786;0.533394;0.471049;440.000000;0.845867;222.616000;0.290234;1.696116e-02;8.183922e-01
6;M-11830a-x40-03.tif;2478;285.861178;599.861582;45.597600;97.422001;3.021726;2.136560;0.468042;0.332428;1407.000000;0.883706;306.749000;0.537120;1.900384e-01;8.833506e-01
7;M-11830a-x40-03.tif;1477;300.177387;182.866622;33.114949;57.602804;1.235555;1.739480;0.574884;0.566765;73.000000;0.818235;151.435000;0.338893;1.355306e-01;8.669160e-01
8;M-11830a-x40-03.tif;772;320.945596;239.130829;23.228950;43.397007;1.209322;1.868229;0.535266;0.521925;44.000000;0.844683;108.314000;0.694212;3.997954e-01;8.704560e-01
9;M-11830a-x40-03.tif;791;323.161820;712.766119;28.373169;36.815280;1.216596;1.297539;0.770690;0.743071;57.000000;0.637210;109.968000;0.746625;4.775010e-01;8.864832e-01
10;M-11830a-x40-03.tif;2093;417.454372;112.747731;20.589758;140.165928;3.288510;6.807556;0.146896;0.135642;399.000000;0.989152;294.096000;0.377298;1.387409e-01;8.666891e-01
11;M-11830a-x40-03.tif;1338;401.333333;796.514948;29.519861;65.481165;1.852127;2.218207;0.450815;0.397314;304.000000;0.892618;176.469000;0.827096;4.807975e-01;9.172587e-01
