No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-05.bmp;2511;49.892871;176.898845;46.121762;69.609178;1.041312;1.509248;0.662582;0.659817;26.000000;0.748990;181.267000;139.214257;76;255
2;M-11830a-x40-05.bmp;2416;87.890728;215.141970;51.264693;60.343374;0.999378;1.177094;0.849550;0.844788;33.000000;0.527509;174.188000;120.167219;72;255
3;M-11830a-x40-05.bmp;1036;89.554054;285.057915;32.085421;41.226506;0.979601;1.284898;0.778272;0.776098;17.000000;0.627928;112.930000;130.309846;56;255
4;M-11830a-x40-05.bmp;1127;207.607808;282.356699;36.430419;39.526599;0.963411;1.084989;0.921668;0.918449;20.000000;0.387978;116.808000;118.110914;35;255
5;M-11830a-x40-05.bmp;1797;252.265442;162.415693;38.073265;60.229880;1.050555;1.581947;0.632132;0.630717;36.000000;0.774860;154.024000;134.939900;72;255
6;M-11830a-x40-05.bmp;1031;287.886518;134.543162;32.603747;40.331130;0.959270;1.237009;0.808402;0.807027;12.000000;0.588631;111.482000;128.029098;64;255
7;M-11830a-x40-05.bmp;1885;341.504509;185.685942;43.431609;56.017973;1.015212;1.289797;0.775316;0.764833;29.000000;0.631574;155.074000;125.529973;73;255
8;M-11830a-x40-05.bmp;3246;592.797905;693.601356;51.907035;79.960443;1.055364;1.540455;0.649159;0.646410;44.000000;0.760653;207.482000;107.542514;63;255
9;M-11830a-x40-05.bmp;4136;685.982350;474.645309;68.427027;77.179136;0.991227;1.127904;0.886600;0.884078;46.000000;0.462537;226.977000;113.194632;61;255
10;M-11830a-x40-05.bmp;5030;701.202982;201.179125;65.986814;97.382382;1.042690;1.475785;0.677605;0.675332;48.000000;0.735426;256.724000;117.557654;49;255
11;M-11830a-x40-05.bmp;5117;750.118624;337.265194;76.083776;86.933240;1.019348;1.142599;0.875198;0.862092;72.000000;0.483765;256.020000;122.741841;61;255
12;M-11830a-x40-05.bmp;4590;762.471460;465.901961;68.966136;84.907250;0.996839;1.231144;0.812253;0.810650;53.000000;0.583306;239.786000;114.259477;67;255
13;M-11830a-x40-05.bmp;4000;783.462750;230.592000;68.063513;75.101234;0.999459;1.103399;0.906290;0.902976;53.000000;0.422656;224.139000;112.571750;36;255
14;M-11830a-x40-05.bmp;615;784.591870;114.990244;24.690738;31.806018;0.957223;1.288176;0.776291;0.774046;10.000000;0.630374;86.010000;113.531707;21;255
15;M-11830a-x40-05.bmp;6629;837.049027;343.194298;75.567057;112.932157;1.068291;1.494463;0.669137;0.661794;108.000000;0.743139;298.314000;132.937698;65;255
16;M-11830a-x40-05.bmp;6795;915.081678;248.972185;62.271804;142.559719;1.301474;2.289314;0.436812;0.425702;319.000000;0.899553;333.363000;102.877851;28;255
17;M-11830a-x40-05.bmp;5066;941.573233;315.942953;72.243896;90.746905;1.032089;1.256119;0.796103;0.783270;59.000000;0.605161;256.328000;122.507501;57;255
18;M-11830a-x40-05.bmp;2828;991.207567;77.512023;49.204523;74.027568;1.072296;1.504487;0.664678;0.657056;73.000000;0.747130;195.210000;111.239392;32;255
19;M-11830a-x40-05.bmp;1089;1483.924702;794.075298;35.012404;39.784448;0.970103;1.136296;0.880053;0.876015;18.000000;0.474876;115.220000;114.442608;39;255
20;M-11783-x40-06.bmp;2286;35.337270;658.518373;46.064121;64.420196;1.084361;1.398490;0.715057;0.701362;73.000000;0.699066;176.494000;131.660542;85;255
21;M-11783-x40-06.bmp;1786;50.986562;433.727884;43.260327;52.822832;0.996390;1.221046;0.818970;0.814982;22.000000;0.573836;149.541000;108.800672;57;255
22;M-11783-x40-06.bmp;2506;85.590583;761.656824;38.839977;83.337823;1.224763;2.145671;0.466055;0.459417;41.000000;0.884756;196.391000;123.152434;55;255
23;M-11783-x40-06.bmp;1149;77.637076;714.680592;32.459457;45.727785;1.019982;1.408766;0.709841;0.699632;18.000000;0.704362;121.356000;129.026110;78;255
24;M-11783-x40-06.bmp;1667;87.783443;637.716857;38.269372;56.378509;1.093299;1.473202;0.678794;0.667757;58.000000;0.734329;151.336000;125.404319;75;255
25;M-11783-x40-06.bmp;1736;126.451613;584.440668;46.527841;48.210561;1.007247;1.036166;0.965096;0.950989;34.000000;0.261895;148.234000;112.224654;64;255
26;M-11783-x40-06.bmp;1528;135.079188;459.939136;38.875656;50.700505;1.015312;1.304171;0.766771;0.756848;21.000000;0.641921;139.626000;107.649869;63;254
27;M-11783-x40-06.bmp;2085;141.809592;724.413429;49.799436;53.593774;0.991913;1.076192;0.929202;0.924246;40.000000;0.369573;161.211000;111.186091;69;255
28;M-11783-x40-06.bmp;2210;179.835294;613.942986;49.472530;57.102270;0.979507;1.154222;0.866385;0.862970;27.000000;0.499377;164.932000;116.514932;64;254
29;M-11783-x40-06.bmp;2328;185.707474;408.499141;47.177384;63.307661;1.059916;1.341907;0.745208;0.739572;69.000000;0.666832;176.089000;128.541237;77;255
30;M-11783-x40-06.bmp;1732;186.284065;523.487875;45.546303;48.731222;0.980956;1.069927;0.934643;0.928631;22.000000;0.355587;146.118000;122.633372;72;254
31;M-11783-x40-06.bmp;2278;206.856892;678.449956;49.561432;58.979560;0.998998;1.190029;0.840315;0.833798;30.000000;0.542098;169.108000;115.680860;68;255
32;M-11783-x40-06.bmp;1770;205.076271;469.452542;45.962659;49.167496;0.977026;1.069727;0.934818;0.932239;30.000000;0.355127;147.416000;114.347458;67;255
33;M-11783-x40-06.bmp;1585;228.829653;732.919874;43.795802;46.648260;1.009630;1.065131;0.938852;0.927403;29.000000;0.344322;141.808000;123.753312;75;255
34;M-11783-x40-06.bmp;2467;242.534252;405.694366;47.222315;66.831983;1.056309;1.415263;0.706583;0.703251;63.000000;0.707631;180.961000;143.958654;77;255
35;M-11783-x40-06.bmp;2294;259.440715;581.833915;43.109896;68.081614;1.057706;1.579257;0.633209;0.630150;39.000000;0.773981;174.616000;116.544464;68;255
36;M-11783-x40-06.bmp;1779;260.618887;631.025295;44.256518;51.503205;0.983352;1.163743;0.859296;0.853921;23.000000;0.511478;148.268000;118.920742;71;254
37;M-11783-x40-06.bmp;2065;266.797094;487.404358;47.334583;55.927374;1.038951;1.181533;0.846358;0.840584;67.000000;0.532614;164.196000;120.042131;64;255
38;M-11783-x40-06.bmp;1645;294.446809;696.294225;39.534740;53.155080;0.995755;1.344516;0.743762;0.741287;19.000000;0.668444;143.471000;116.459574;75;254
39;M-11783-x40-06.bmp;1676;303.922434;749.478520;40.907859;52.543814;1.018553;1.284443;0.778548;0.772931;37.000000;0.627586;146.465000;139.349045;78;255
40;M-11783-x40-06.bmp;2065;368.798547;690.931235;47.705708;55.972439;1.044920;1.173286;0.852307;0.839231;48.000000;0.523042;164.667000;127.977724;57;255
41;M-11783-x40-06.bmp;1959;377.838693;457.756508;44.025428;57.136097;1.072133;1.297798;0.770536;0.764053;62.000000;0.637396;162.460000;131.348137;70;255
42;M-11783-x40-06.bmp;964;377.020747;804.392116;32.596122;37.892176;0.978106;1.162475;0.860234;0.854846;20.000000;0.509900;108.852000;126.810166;61;255
43;M-11783-x40-06.bmp;2214;446.993677;564.469286;47.437291;59.697251;1.013956;1.258446;0.794631;0.791005;36.000000;0.607093;167.959000;133.860434;76;255
44;M-11783-x40-06.bmp;3534;463.034239;637.069610;54.120134;83.436228;1.086628;1.541686;0.648641;0.646349;78.000000;0.761095;219.674000;127.110074;75;255
45;M-11783-x40-06.bmp;775;486.748387;809.353548;28.940971;34.269207;0.966480;1.184107;0.844518;0.840241;14.000000;0.535527;97.018000;122.247742;59;255
46;M-11783-x40-06.bmp;1635;501.922936;532.965749;35.493318;59.033898;1.093235;1.663240;0.601236;0.597345;40.000000;0.799071;149.872000;133.601835;72;255
47;M-11783-x40-06.bmp;2763;539.508505;736.528411;40.997379;102.639138;1.750375;2.503554;0.399432;0.333937;626.000000;0.916763;246.525000;147.690192;77;255
48;M-11783-x40-06.bmp;1760;604.240341;678.650568;40.229802;56.650660;1.101158;1.408176;0.710138;0.698253;77.000000;0.704062;156.058000;136.906818;78;255
49;M-11783-x40-06.bmp;809;662.595797;164.599506;30.244970;34.250712;0.961547;1.132443;0.883046;0.878050;21.000000;0.469286;98.870000;120.668727;69;255
50;M-11783-x40-06.bmp;1367;753.502560;800.988296;38.196080;45.742981;0.992450;1.197583;0.835015;0.831821;31.000000;0.550227;130.570000;134.246525;69;255
51;M-11783-x40-06.bmp;2770;811.653069;374.170397;53.285885;66.774007;1.061790;1.253127;0.798003;0.790997;90.000000;0.602653;192.249000;112.622744;61;255
52;M-11783-x40-06.bmp;1484;861.073450;295.416442;43.412092;44.179420;1.015046;1.017675;0.982632;0.968064;44.000000;0.185567;137.583000;116.566038;59;255
53;M-11783-x40-06.bmp;2340;865.910684;349.041453;51.536702;58.513710;1.026134;1.135379;0.880763;0.870183;69.000000;0.473558;173.706000;117.114530;62;255
54;M-11783-x40-06.bmp;1230;894.807317;639.659350;37.722652;41.650125;0.972003;1.104114;0.905703;0.902781;27.000000;0.423912;122.572000;119.935772;54;255
55;M-11783-x40-06.bmp;1524;913.999344;308.285433;39.692459;49.199395;0.990431;1.239515;0.806767;0.801633;17.000000;0.590869;137.724000;114.224409;74;255
56;M-11783-x40-06.bmp;1999;985.085043;325.572286;37.920106;67.582219;1.102445;1.782227;0.561096;0.557260;37.000000;0.827751;166.414000;132.657829;62;255
57;M-11783-x40-06.bmp;1158;981.165803;417.137306;32.695730;45.387250;1.030485;1.388171;0.720373;0.715733;34.000000;0.693587;122.456000;119.779793;44;255
58;M-11783-x40-06.bmp;2872;1030.801532;299.186630;52.415904;70.357319;1.055057;1.342290;0.744996;0.738713;80.000000;0.667069;195.135000;137.086699;77;255
59;M-11783-x40-06.bmp;1943;1072.522903;235.790015;47.181987;52.822119;1.023733;1.119540;0.893224;0.886648;60.000000;0.449612;158.101000;121.961915;63;255
60;M-11783-x40-06.bmp;2083;1078.241479;350.632261;47.146519;56.711005;1.012609;1.202867;0.831347;0.824641;36.000000;0.555754;162.806000;134.015843;74;255
61;M-11783-x40-06.bmp;2337;1089.537013;292.848952;47.791558;62.966335;1.039719;1.317520;0.759002;0.750502;51.000000;0.651089;174.740000;132.093282;84;255
62;M-11783-x40-06.bmp;1023;1116.629521;223.436950;26.322243;50.670732;1.204596;1.925016;0.519476;0.507308;40.000000;0.854485;124.441000;121.874878;63;255
63;M-11783-x40-06.bmp;1078;1143.189239;503.850649;31.463891;43.973741;1.027132;1.397594;0.715515;0.709810;29.000000;0.698597;117.958000;124.930427;27;255
64;M-11783-x40-06.bmp;1235;1166.067206;270.089879;29.664165;53.415449;1.122736;1.800673;0.555348;0.551116;27.000000;0.831618;132.001000;125.048583;60;255
65;M-11783-x40-06.bmp;1106;1198.349005;487.550633;30.042310;47.191990;1.070230;1.570851;0.636598;0.632308;32.000000;0.771196;121.961000;129.254973;52;255
66;M-11783-x40-06.bmp;1258;1233.694754;277.253577;38.773529;41.669575;0.996189;1.074691;0.930500;0.922471;35.000000;0.366292;125.492000;129.697138;72;255
67;M-11783-x40-06.bmp;922;1233.009761;222.109544;33.958248;35.247749;1.032475;1.037973;0.963416;0.944884;16.000000;0.268010;109.373000;126.912148;71;255
68;M-11783-x40-06.bmp;1550;1271.592258;230.573548;35.877422;56.105089;1.247832;1.563799;0.639468;0.626956;101.000000;0.768818;155.901000;144.838065;72;255
69;M-11779-x40-07.bmp;1615;401.572136;293.084830;34.594972;59.882127;1.093755;1.730949;0.577718;0.573440;38.000000;0.816237;148.988000;128.549845;62;255
70;M-11779-x40-07.bmp;1628;476.467445;693.071867;39.125797;53.732201;1.087047;1.373319;0.728163;0.717952;38.000000;0.685404;149.127000;150.952703;77;255
71;M-11779-x40-07.bmp;1860;493.412366;379.037097;43.275874;54.957893;1.005833;1.269943;0.787437;0.784085;38.000000;0.616395;153.329000;121.973118;71;255
72;M-11779-x40-07.bmp;3587;507.927795;475.112629;65.854804;69.980472;1.044841;1.062648;0.941045;0.932584;114.000000;0.338280;217.018000;127.434904;74;255
73;M-11779-x40-07.bmp;2090;554.893780;263.580861;45.795121;58.534167;1.053076;1.278175;0.782366;0.776672;62.000000;0.622819;166.306000;131.987081;70;255
74;M-11779-x40-07.bmp;1605;577.347040;549.021184;44.049375;47.301394;1.100688;1.073827;0.931249;0.913350;79.000000;0.364383;148.996000;107.261059;28;255
75;M-11779-x40-07.bmp;4542;594.817261;412.770586;74.514975;79.164630;1.123527;1.062399;0.941266;0.922773;229.000000;0.337666;253.233000;110.283796;39;255
76;M-11779-x40-07.bmp;3228;612.979864;707.081165;54.748806;76.059475;1.056692;1.389244;0.719816;0.710456;80.000000;0.694165;207.036000;119.943928;68;255
77;M-11779-x40-07.bmp;2436;609.808292;343.566913;51.722616;60.327837;1.004189;1.166373;0.857359;0.852220;43.000000;0.514719;175.328000;111.413383;62;255
78;M-11779-x40-07.bmp;1553;609.280103;287.399227;37.336246;53.449972;1.062905;1.431584;0.698527;0.692128;47.000000;0.715584;144.025000;120.723117;43;255
79;M-11779-x40-07.bmp;3627;663.695065;489.748553;64.758693;71.803648;1.088038;1.108788;0.901886;0.895704;148.000000;0.431974;222.690000;116.986490;62;255
80;M-11779-x40-07.bmp;2009;726.950224;591.563962;47.017247;55.411738;1.020376;1.178541;0.848507;0.833080;35.000000;0.529184;160.500000;115.087108;52;255
81;M-11779-x40-07.bmp;4749;746.976416;428.956622;70.777537;85.876162;1.047778;1.213325;0.824181;0.819912;107.000000;0.566326;250.058000;120.082333;65;255
82;M-11779-x40-07.bmp;2977;781.986900;297.161236;47.823201;79.711587;1.079842;1.666797;0.599953;0.596549;36.000000;0.800035;200.990000;99.931139;39;255
83;M-11779-x40-07.bmp;1653;782.256503;668.854809;41.515713;51.114257;1.038091;1.231203;0.812214;0.805562;54.000000;0.583360;146.845000;132.278887;55;255
84;M-11779-x40-07.bmp;2785;805.846320;399.613645;52.837669;67.888075;1.106561;1.284842;0.778306;0.769393;98.000000;0.627886;196.791000;115.898384;57;255
85;M-11779-x40-07.bmp;3027;830.399075;579.045590;45.777731;85.556386;1.168005;1.868952;0.535059;0.526523;83.000000;0.844815;210.782000;146.670961;87;255
86;M-11779-x40-07.bmp;1640;853.301220;379.275610;44.213009;47.433236;1.021615;1.072834;0.932110;0.928087;54.000000;0.362174;145.101000;130.310976;74;255
87;M-11779-x40-07.bmp;1812;932.678808;381.458609;41.167619;56.519971;1.040520;1.372923;0.728373;0.722212;37.000000;0.685181;153.925000;112.328366;52;255
88;M-11779-x40-07.bmp;1551;993.223082;406.481625;38.043944;53.220014;1.152197;1.398909;0.714843;0.697223;90.000000;0.699285;149.856000;120.581560;54;255
89;M-11779-x40-07.bmp;1693;1006.920851;505.565269;41.569299;52.321050;1.018374;1.258646;0.794504;0.787434;42.000000;0.607259;147.193000;116.166568;59;255
90;M-11779-x40-07.bmp;1579;1015.468651;445.424953;33.670100;60.776534;1.197259;1.805059;0.553998;0.544278;91.000000;0.832518;154.131000;127.201393;48;255
91;M-11779-x40-07.bmp;866;1045.378753;416.954965;25.840992;43.016728;1.095264;1.664670;0.600720;0.595872;33.000000;0.799460;109.175000;108.921478;13;255
92;M-11779-x40-07.bmp;2028;1102.165680;671.976824;45.970614;56.624846;1.007884;1.231762;0.811845;0.805312;34.000000;0.583873;160.267000;116.652367;56;254
93;M-11779-x40-07.bmp;1570;1161.308917;272.840764;41.407728;49.350421;1.114994;1.191817;0.839055;0.820782;99.000000;0.544046;148.317000;114.463057;39;255
94;M-11779-x40-07.bmp;2720;1167.253309;700.146691;56.981238;61.390449;1.020673;1.077380;0.928178;0.918919;59.000000;0.372138;186.781000;126.187868;42;255
95;M-11779-x40-07.bmp;1083;1178.263158;90.674977;31.815465;43.738363;1.055045;1.374752;0.727404;0.720798;39.000000;0.686209;119.827000;125.357341;36;255
96;M-11779-x40-07.bmp;961;1201.617066;268.854318;28.938578;43.111459;1.048473;1.489757;0.671250;0.658337;20.000000;0.741231;112.524000;114.095734;52;255
97;M-11779-x40-07.bmp;1179;1202.857506;318.279050;35.635878;42.653120;1.020911;1.196915;0.835481;0.825130;30.000000;0.549519;122.986000;112.543681;58;255
