No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-10.tif;782;102.804348;315.693095;26.034186;39.045727;1.144061;1.499787;0.666761;0.653085;37.000000;0.745271;106.031000;161.443734;103;221
2;M-11940-x40-10.tif;773;400.116429;411.619664;29.251832;35.128150;1.136388;1.200887;0.832718;0.797589;53.000000;0.553698;105.065000;145.289780;99;207
3;M-11940-x40-10.tif;1744;549.715596;379.294725;39.495328;56.613375;1.075969;1.433420;0.697632;0.692817;58.000000;0.716456;153.560000;99.021216;65;200
4;M-11940-x40-10.tif;332;557.216867;574.256024;13.834706;36.111892;1.822239;2.610239;0.383107;0.324151;90.000000;0.923704;87.192000;175.734940;104;230
5;M-11940-x40-10.tif;1964;856.397149;464.199084;50.482321;51.898276;1.196764;1.028049;0.972717;0.928423;117.000000;0.231996;171.862000;102.988289;45;215
6;M-11940-x40-10.tif;956;878.566946;16.609833;28.906735;45.030619;1.395999;1.557790;0.641935;0.600278;116.000000;0.766759;129.502000;124.356695;29;221
7;M-11940-x40-10.tif;423;886.314421;281.189125;11.837713;53.058094;2.237837;4.482124;0.223109;0.191314;87.000000;0.974794;109.066000;163.917258;79;225
8;M-11940-x40-10.tif;1642;1212.998782;315.208892;33.294350;74.568334;1.836338;2.239669;0.446494;0.375988;434.000000;0.894786;194.656000;162.446407;118;219
9;M-11940-x40-10.tif;600;1249.280000;671.323333;27.551337;28.327079;1.054147;1.028156;0.972615;0.952046;34.000000;0.232423;89.152000;176.248333;154;230
10;M-11940-x40-10.tif;1256;1258.567675;716.624204;29.560448;55.978081;1.273233;1.893682;0.528072;0.510345;102.000000;0.849200;141.760000;149.959395;85;214
11;M-11940-x40-10.tif;917;1275.380589;682.230098;30.712242;39.738274;1.173662;1.293890;0.772863;0.739369;72.000000;0.634573;116.295000;167.174482;110;234
12;M-11940-x40-10.tif;389;1423.791774;261.591260;18.483105;30.883622;1.463097;1.670911;0.598476;0.519282;63.000000;0.801141;84.570000;180.123393;136;219
13;M-11940-x40-10.tif;1467;1441.280164;184.888889;42.566903;44.186243;1.031007;1.038042;0.963352;0.956679;44.000000;0.268241;137.864000;99.270620;68;191
14;M-11940-x40-03.tif;894;130.506711;81.209172;25.098982;45.573530;1.100386;1.815752;0.550736;0.548053;29.000000;0.834680;111.185000;169.633110;94;243
15;M-11940-x40-03.tif;2914;697.457104;438.310226;53.305274;70.186451;1.136667;1.316689;0.759481;0.753170;96.000000;0.650530;204.017000;103.187714;54;209
16;M-11940-x40-03.tif;3332;778.313025;592.449880;59.445787;71.883469;1.137684;1.209227;0.826974;0.821026;104.000000;0.562240;218.257000;104.207983;70;220
17;M-11940-x40-03.tif;1790;942.439665;443.101117;44.610194;52.491787;1.084549;1.176677;0.849851;0.827143;95.000000;0.527023;156.191000;108.037989;31;208
18;M-11940-x40-03.tif;4492;961.848842;493.186554;65.467058;89.462474;1.420692;1.366527;0.731782;0.714608;385.000000;0.681538;283.188000;115.181879;53;235
19;M-11940-x40-03.tif;1030;1132.394175;760.526214;30.643192;43.078788;1.034236;1.405819;0.711329;0.706676;24.000000;0.702859;115.700000;181.949515;159;239
20;M-11940-x40-03.tif;1718;1369.802095;95.696158;38.345895;70.533336;1.979737;1.839397;0.543656;0.439688;528.000000;0.839308;206.738000;179.171129;118;235
21;M-11940-x40-03.tif;846;1391.261229;301.242317;31.096943;35.614012;1.061326;1.145258;0.873166;0.849256;37.000000;0.487423;106.222000;86.008274;12;193
22;M-11940-x40-03.tif;1089;1407.913682;761.327824;36.473752;41.785574;1.345718;1.145634;0.872879;0.794118;98.000000;0.487937;135.705000;174.017447;103;239
23;M-11940-x40-03.tif;1732;1473.637413;562.709007;42.853065;60.040141;1.463170;1.401070;0.713740;0.611751;329.000000;0.700410;178.454000;118.459007;43;232
24;M-11940-x40-03.tif;495;1503.230303;248.610101;24.443828;47.192814;2.660091;1.930664;0.517957;0.282985;300.000000;0.855407;128.634000;187.779798;124;240
25;M-11822-x40-07.tif;808;42.580446;367.299505;26.223697;40.485421;1.187774;1.543849;0.647732;0.627660;41.000000;0.761868;109.819000;172.351485;128;225
26;M-11822-x40-07.tif;1163;285.410146;797.779020;37.043670;41.169353;1.167999;1.111374;0.899788;0.873659;83.000000;0.436328;130.652000;96.029235;13;206
27;M-11822-x40-07.tif;1893;354.909139;87.684628;46.855237;51.642214;1.038051;1.102165;0.907305;0.903756;56.000000;0.420473;157.141000;112.153196;52;218
28;M-11822-x40-07.tif;660;490.950000;576.739394;23.203336;36.549258;1.077376;1.575173;0.634851;0.629067;21.000000;0.772635;94.528000;147.574242;92;231
29;M-11822-x40-07.tif;750;500.270667;271.092000;22.939954;42.413617;1.184720;1.848897;0.540863;0.530836;37.000000;0.841111;105.668000;147.505333;87;226
30;M-11822-x40-07.tif;912;542.289474;116.146930;30.651205;41.474701;1.353359;1.353118;0.739034;0.675054;123.000000;0.673668;124.540000;176.118421;120;227
31;M-11822-x40-07.tif;502;594.366534;537.856574;21.986797;30.331301;1.092471;1.379523;0.724888;0.694755;21.000000;0.688867;83.016000;146.352590;97;216
32;M-11822-x40-07.tif;448;612.207589;321.937500;19.320430;31.887525;1.356301;1.650456;0.605893;0.560979;53.000000;0.795546;87.382000;176.256696;122;216
33;M-11822-x40-07.tif;1900;676.171579;651.562105;46.018924;53.319345;1.095757;1.158640;0.863081;0.850931;76.000000;0.505065;161.748000;84.455263;23;216
34;M-11822-x40-07.tif;2196;704.533698;706.242259;47.006831;60.491866;1.078904;1.286874;0.777077;0.764097;82.000000;0.629406;172.549000;104.602914;52;210
35;M-11822-x40-07.tif;910;716.235165;388.391209;29.886942;38.950553;1.004898;1.303263;0.767305;0.763703;26.000000;0.641283;107.198000;79.282418;25;205
36;M-11822-x40-07.tif;657;720.130898;467.044140;24.875895;33.922491;1.005133;1.363669;0.733316;0.726942;15.000000;0.679888;91.096000;159.197869;128;223
37;M-11822-x40-07.tif;852;751.809859;81.888498;23.968252;46.535301;1.290481;1.941539;0.515055;0.500939;43.000000;0.857157;117.544000;162.353286;128;224
38;M-11822-x40-07.tif;1375;755.666909;292.336727;39.417525;44.704712;0.985044;1.134133;0.881731;0.876004;23.000000;0.471753;130.462000;87.960727;25;191
39;M-11822-x40-07.tif;1000;974.279000;583.831000;33.716067;38.287741;1.008012;1.135593;0.880597;0.868542;26.000000;0.473866;112.548000;171.739000;148;223
40;M-11822-x40-07.tif;1515;1031.898350;672.914851;42.927632;47.113315;1.141987;1.097506;0.911157;0.869031;98.000000;0.412059;147.449000;141.028383;85;224
41;M-11822-x40-07.tif;742;1056.835580;599.438005;24.281357;39.460044;1.089268;1.625117;0.615340;0.606735;19.000000;0.788262;100.780000;161.076819;127;221
42;M-11822-x40-07.tif;780;1176.639744;466.720513;27.336148;36.657156;1.039948;1.340977;0.745725;0.739073;24.000000;0.666254;100.962000;149.875641;123;221
43;M-11822-x40-07.tif;628;1224.769108;439.840764;25.449750;31.737955;0.997837;1.247083;0.801871;0.793801;18.000000;0.597497;88.739000;147.831210;97;234
44;M-11822-x40-07.tif;864;1239.108796;233.923611;29.404577;37.747886;1.014610;1.283742;0.778973;0.772038;23.000000;0.627058;104.957000;87.490741;31;175
45;M-11822-x40-07.tif;724;1274.591160;774.781768;24.069191;38.686349;1.062429;1.607297;0.622162;0.615933;18.000000;0.782888;98.316000;145.947514;89;224
