No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11779-x40-07.tif;1856;603.217134;410.310884;47.044237;54.813151;2.079605;1.165141;0.858266;0.786536;346.000000;0.513206;220.234000;245.810345;215;255
2;M-11779-x40-07.tif;2160;634.978241;342.545833;45.390586;66.627445;1.936188;1.467869;0.681260;0.619523;441.000000;0.732042;229.248000;248.818056;233;255
3;M-11779-x40-07.tif;1419;735.570120;323.728682;33.521626;58.529475;1.451753;1.746021;0.572731;0.527404;160.000000;0.819744;160.895000;238.334038;213;255
4;M-11779-x40-07.tif;1559;742.204618;424.270045;37.763583;63.987202;2.218611;1.694416;0.590174;0.484808;457.000000;0.807276;208.482000;249.841565;230;255
5;M-11779-x40-07.tif;2073;783.233960;295.591896;39.624549;74.934314;2.096977;1.891108;0.528790;0.470054;340.000000;0.848752;233.723000;233.854800;188;255
6;M-11779-x40-07.tif;807;790.908302;357.329616;26.937091;38.598557;1.095546;1.432915;0.697878;0.689670;38.000000;0.716216;105.404000;240.614622;222;255
7;M-11779-x40-07.tif;859;799.947614;400.990687;28.643158;39.459178;1.282645;1.377613;0.725893;0.702437;75.000000;0.687807;117.667000;247.201397;228;255
8;M-11779-x40-07.tif;636;868.696541;486.407233;27.443111;31.628848;1.201694;1.152524;0.867661;0.809469;56.000000;0.497157;98.001000;239.190252;171;255
9;M-11779-x40-07.tif;568;916.103873;406.637324;24.052591;30.490411;1.024510;1.267656;0.788858;0.777915;22.000000;0.614576;85.514000;232.535211;176;255
10;M-11779-x40-07.tif;1364;933.804985;382.298387;37.920424;49.509862;1.470513;1.305625;0.765917;0.708502;171.000000;0.642940;158.762000;246.163490;221;255
11;M-11779-x40-07.tif;303;1070.782178;11.891089;12.856646;35.137664;1.836358;2.733035;0.365894;0.312469;81.000000;0.930657;83.619000;245.808581;214;255
12;M-11779-x40-07.tif;3154;1184.862080;298.661382;57.100184;94.406038;2.248530;1.653340;0.604836;0.450580;1095.000000;0.796350;298.528000;240.309765;198;255
13;M-11779-x40-07.tif;827;1199.955260;270.969770;29.419447;36.337712;1.078118;1.235160;0.809612;0.797444;38.000000;0.586965;105.850000;245.081016;224;255
14;M-11779-x40-07.tif;3256;1232.547297;124.715295;58.342803;78.816627;1.892675;1.350923;0.740235;0.667358;701.000000;0.672349;278.282000;239.991400;217;255
15;M-11779-x40-07.tif;1833;1247.259138;180.894163;38.455071;62.143330;1.421902;1.615998;0.618813;0.604343;179.000000;0.785539;180.976000;239.334970;219;255
16;M-11779-x40-07.tif;579;1256.692573;80.177893;25.018731;31.351531;1.469244;1.253122;0.798007;0.750017;74.000000;0.602649;103.393000;244.924007;209;255
17;M-11779-x40-07.tif;1908;1303.897799;113.946017;32.413865;79.435507;1.864073;2.450664;0.408053;0.384999;305.000000;0.912958;211.410000;245.687107;220;255
18;M-11779-x40-07.tif;1151;1298.199826;56.373588;32.891474;46.995234;1.424752;1.428797;0.699890;0.663556;155.000000;0.714251;143.553000;234.572546;202;255
19;M-11779-x40-07.tif;3463;1321.906440;200.321975;62.210216;73.932725;1.452860;1.188434;0.841444;0.806658;308.000000;0.540345;251.445000;240.403696;221;255
20;M-11779-x40-07.tif;1230;1351.210569;148.382927;32.635981;51.479065;1.465581;1.577371;0.633966;0.590954;152.000000;0.773361;150.509000;244.700813;223;255
21;M-11779-x40-07.tif;2398;1374.369892;247.332360;40.790879;79.202880;1.689977;1.941681;0.515018;0.486718;358.000000;0.857180;225.668000;241.423686;213;255
22;M-11779-x40-07.tif;1394;1406.455524;773.723099;33.394721;58.051849;1.637784;1.738354;0.575257;0.526673;189.000000;0.817973;169.381000;245.690818;202;255
23;M-11779-x40-07.tif;1147;1401.367916;181.526591;28.652298;52.437924;1.285628;1.830147;0.546404;0.531108;77.000000;0.837522;136.127000;236.055798;209;255
24;M-11779-x40-07.tif;692;1423.716763;237.197977;20.772094;45.475063;1.660062;2.189238;0.456780;0.426059;97.000000;0.889580;120.149000;246.082370;217;255
25;M-11779-x40-07.tif;994;1462.802817;279.482897;30.381028;47.589023;2.100934;1.566406;0.638404;0.558834;220.000000;0.769701;161.996000;248.373239;224;255
26;M-11830a-x40-03.tif;798;614.704261;258.088972;27.824700;38.331092;1.190729;1.377592;0.725904;0.691529;60.000000;0.687796;109.273000;248.738095;239;255
27;M-11830a-x40-03.tif;1306;646.439510;436.120980;32.959641;51.724318;1.479844;1.569323;0.637218;0.621532;147.000000;0.770684;155.842000;244.546708;230;255
28;M-11830a-x40-03.tif;1413;660.892427;561.785563;34.991150;56.934978;1.595014;1.627125;0.614581;0.555001;190.000000;0.788854;168.290000;247.636943;227;255
29;M-11830a-x40-03.tif;1144;675.678322;468.601399;34.603846;52.081775;1.770508;1.505086;0.664414;0.536988;235.000000;0.747365;159.539000;247.245629;224;255
30;M-11830a-x40-03.tif;851;684.081081;198.971798;23.995639;46.411979;1.274951;1.934184;0.517014;0.503013;61.000000;0.855977;116.766000;248.685076;240;255
31;M-11830a-x40-03.tif;942;825.186837;209.601911;30.802484;42.622252;1.351653;1.383728;0.722686;0.660219;82.000000;0.691177;126.492000;247.520170;235;255
32;M-11830a-x40-03.tif;501;1424.530938;176.127745;24.460386;26.156902;0.950352;1.069358;0.935141;0.932342;12.000000;0.354276;77.351000;240.499002;201;255
33;M-11934b-x40-01.tif;721;433.778086;458.417476;25.671537;37.046153;1.175933;1.443083;0.692961;0.668897;51.000000;0.720975;103.220000;240.492372;186;255
34;M-11934b-x40-01.tif;1510;472.801987;75.841060;36.928951;88.579408;3.316205;2.398644;0.416902;0.245031;1070.000000;0.908951;250.850000;239.419868;180;255
35;M-11934b-x40-01.tif;2679;519.066069;416.186264;51.197430;71.256271;1.918522;1.391794;0.718497;0.671795;522.000000;0.695530;254.141000;237.589772;203;255
36;M-11934b-x40-01.tif;3278;710.177547;505.149481;52.292439;85.422661;1.756913;1.633557;0.612161;0.571970;593.000000;0.790733;269.020000;243.255644;220;255
37;M-11934b-x40-01.tif;1737;709.624064;357.845135;35.076760;67.965064;1.757176;1.937610;0.516100;0.478783;279.000000;0.856528;195.845000;231.554404;197;255
38;M-11934b-x40-01.tif;375;723.661333;47.829333;15.700161;33.075486;1.479416;2.106697;0.474677;0.436444;46.000000;0.880160;83.496000;247.586667;180;255
39;M-11934b-x40-01.tif;772;754.556995;58.113990;24.367259;45.233316;2.178144;1.856315;0.538702;0.480408;206.000000;0.842497;145.364000;249.913212;220;255
40;M-11934b-x40-01.tif;1949;897.356593;390.707029;48.834595;55.470864;1.884010;1.135893;0.880365;0.806477;361.000000;0.474297;214.809000;246.504361;211;255
41;M-11934b-x40-01.tif;501;888.760479;564.750499;25.431598;35.143369;1.930082;1.381878;0.723653;0.516489;146.000000;0.690164;110.233000;244.796407;215;255
42;M-11934b-x40-01.tif;580;899.837931;540.946552;24.275030;34.834577;1.741289;1.434996;0.696866;0.608579;142.000000;0.717201;112.656000;247.120690;232;255
43;M-11934b-x40-01.tif;760;921.507895;571.480263;27.894030;35.340649;1.209190;1.266961;0.789290;0.774773;43.000000;0.614020;107.463000;231.960526;178;255
44;M-11934b-x40-01.tif;483;919.703934;508.523810;17.726485;47.329993;2.071693;2.670016;0.374530;0.274527;170.000000;0.927215;112.135000;247.128364;202;255
45;M-11934b-x40-01.tif;1449;957.416839;638.855763;31.335434;61.681827;1.664062;1.968437;0.508017;0.484913;162.000000;0.861347;174.070000;243.066253;202;255
46;M-11934b-x40-01.tif;871;944.733639;511.021814;28.918450;43.625195;1.827413;1.508559;0.662884;0.582711;195.000000;0.748722;141.427000;245.861079;229;255
47;M-11934b-x40-01.tif;1213;1000.927453;476.946414;30.923379;55.368384;1.888442;1.790502;0.558502;0.503787;232.000000;0.829503;169.663000;240.287716;197;255
48;M-11934b-x40-01.tif;1487;1166.320780;390.441829;33.809368;57.363566;1.315374;1.696677;0.589387;0.575372;110.000000;0.807850;156.778000;240.095494;198;255
49;M-11934b-x40-01.tif;575;1226.573913;479.142609;23.986096;30.800441;0.981711;1.284096;0.778758;0.771728;16.000000;0.627324;84.223000;235.220870;212;255
50;M-11934b-x40-01.tif;3434;1330.897204;528.221899;63.750253;68.994530;1.088227;1.082263;0.923990;0.918504;110.000000;0.382417;216.703000;246.450786;180;255
51;M-11822-x40-11.tif;1408;411.488636;161.881392;24.918737;76.766814;1.895197;3.080686;0.324603;0.304205;167.000000;0.945850;183.119000;231.738636;184;255
52;M-11822-x40-11.tif;1667;569.792442;268.642472;44.024883;52.184687;1.798480;1.185345;0.843636;0.779398;256.000000;0.536915;194.100000;231.405519;178;255
53;M-11822-x40-11.tif;1017;565.893805;92.734513;28.154624;47.980567;1.238431;1.704181;0.586792;0.562471;79.000000;0.809738;125.806000;236.675516;179;255
54;M-11822-x40-11.tif;1994;578.015045;462.472919;46.558830;57.376424;1.571184;1.232342;0.811463;0.771202;200.000000;0.584404;198.418000;243.133902;217;255
55;M-11822-x40-11.tif;2942;607.989463;426.479606;56.279260;73.875264;1.732172;1.312655;0.761815;0.686364;464.000000;0.647795;253.059000;237.870156;191;255
56;M-11822-x40-11.tif;503;588.524851;301.357853;24.319364;28.001552;1.304751;1.151410;0.868501;0.816797;49.000000;0.495688;90.814000;245.178926;214;255
57;M-11822-x40-11.tif;660;624.440909;542.424242;26.440896;32.270511;1.006922;1.220477;0.819352;0.806942;16.000000;0.573291;91.385000;215.842424;168;255
58;M-11822-x40-11.tif;1035;645.316908;239.625121;34.220057;39.292928;1.178795;1.148243;0.870896;0.853536;83.000000;0.491467;123.821000;242.374879;219;255
59;M-11822-x40-11.tif;969;644.343653;372.039216;29.021117;43.977536;1.434843;1.515363;0.659908;0.637929;97.000000;0.751347;132.181000;242.893705;229;255
60;M-11822-x40-11.tif;695;654.820144;443.835971;22.970529;40.666693;1.385475;1.770386;0.564849;0.535078;98.000000;0.825194;110.001000;242.884892;202;255
61;M-11822-x40-11.tif;1973;677.396858;409.930563;41.879113;60.785179;1.129209;1.451444;0.688969;0.679895;77.000000;0.724791;167.323000;237.707045;204;255
62;M-11822-x40-11.tif;1650;771.907879;379.980606;36.282304;60.447627;1.566921;1.666036;0.600227;0.574957;177.000000;0.799830;180.248000;233.971515;186;255
63;M-11822-x40-11.tif;1945;773.550643;313.061183;41.880296;61.285189;1.534600;1.463342;0.683367;0.659354;213.000000;0.730075;193.670000;240.025707;222;255
64;M-11822-x40-11.tif;1108;798.125451;351.524368;33.690774;42.752093;1.109845;1.268955;0.788050;0.771854;52.000000;0.615612;124.310000;243.560469;218;255
65;M-11822-x40-11.tif;903;813.864895;454.013289;30.028690;38.815898;1.174621;1.292627;0.773618;0.763095;60.000000;0.633652;115.451000;241.295681;208;255
