No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-06.tif;2023;406.395452;98.849234;43.754196;59.917367;1.107403;1.369408;0.730242;0.717465;57.000000;0.683188;167.786000;63.387543;18;100
2;M-11822-x40-06.tif;1819;432.768004;395.738318;43.174588;53.951220;1.078013;1.249606;0.800252;0.795683;73.000000;0.599663;156.976000;58.979109;32;100
3;M-11822-x40-06.tif;1646;447.050425;350.447752;42.782165;49.194793;1.009322;1.149890;0.869648;0.865968;40.000000;0.493672;144.489000;57.913730;23;100
4;M-11822-x40-06.tif;454;479.729075;138.361233;12.512465;52.748146;2.624513;4.215648;0.237211;0.207755;152.000000;0.971458;122.365000;80.555066;53;100
5;M-11822-x40-06.tif;2109;489.873400;253.903746;45.291563;59.413143;1.023443;1.311793;0.762316;0.760714;39.000000;0.647206;164.693000;48.168800;1;100
6;M-11822-x40-06.tif;407;491.584767;385.862408;14.017224;39.019395;1.824677;2.783675;0.359237;0.340364;55.000000;0.933246;96.604000;76.513514;49;100
7;M-11822-x40-06.tif;428;500.509346;421.948598;15.823328;35.669072;1.296217;2.254208;0.443615;0.428322;29.000000;0.896218;83.496000;70.149533;47;99
8;M-11822-x40-06.tif;2310;554.244156;321.244589;49.878995;60.131774;1.272328;1.205553;0.829495;0.813419;171.000000;0.558514;192.181000;60.524242;30;100
9;M-11822-x40-06.tif;423;553.572104;450.021277;18.221925;33.835419;1.501355;1.856852;0.538546;0.470443;79.000000;0.842596;89.334000;79.078014;40;100
10;M-11822-x40-06.tif;3891;615.215112;305.400925;57.060193;89.284939;1.383735;1.564750;0.639080;0.621463;286.000000;0.769141;260.113000;52.868414;0;100
11;M-11822-x40-06.tif;2942;705.638681;344.544528;58.060545;64.695211;1.004962;1.114271;0.897447;0.894970;48.000000;0.441122;192.753000;54.055065;15;100
12;M-11822-x40-06.tif;6896;736.292778;169.401827;86.037033;113.741789;1.447705;1.322010;0.756424;0.678683;802.000000;0.654081;354.196000;60.599623;23;100
13;M-11822-x40-06.tif;2026;713.986673;291.627345;43.621198;59.951726;1.105104;1.374371;0.727605;0.717705;101.000000;0.685996;167.736000;62.104146;9;100
14;M-11822-x40-06.tif;2118;715.711048;228.792729;47.303198;58.546632;1.193549;1.237689;0.807958;0.786742;86.000000;0.589241;178.233000;45.888574;9;100
15;M-11822-x40-06.tif;6015;754.485121;456.629260;75.404128;102.935059;1.145176;1.365112;0.732541;0.722802;222.000000;0.680723;294.211000;51.672485;23;100
16;M-11822-x40-06.tif;5448;769.134361;395.341410;64.230732;114.021976;1.505467;1.775193;0.563319;0.533544;501.000000;0.826240;321.040000;49.791300;16;99
