No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-01.tif;1338;708.315396;357.668909;33.005641;55.009766;1.376442;1.666678;0.599996;0.562972;122.000000;0.800003;152.129000;181.950673;101;255
2;M-11934b-x40-01.tif;797;702.156838;495.535759;30.806596;41.434767;2.068026;1.344997;0.743496;0.591070;212.000000;0.668740;143.917000;217.589711;182;255
3;M-11934b-x40-01.tif;1096;722.833029;520.126825;32.120400;45.973914;1.452116;1.431300;0.698666;0.660234;130.000000;0.715448;141.420000;216.850365;155;255
4;M-11934b-x40-01.tif;649;922.798151;572.927581;25.963533;31.972614;0.982005;1.231443;0.812055;0.808348;13.000000;0.583580;89.492000;190.419106;48;255
5;M-11830a-x40-11.tif;1277;769.497259;401.063430;36.270446;51.662052;1.628159;1.424357;0.702071;0.609197;308.000000;0.712107;161.640000;205.605325;143;255
6;M-11830a-x40-02.tif;1773;1064.996052;730.424704;38.441141;68.658152;2.117547;1.786059;0.559892;0.478889;508.000000;0.828566;217.208000;192.952059;86;255
7;M-11804-x40-10.tif;811;934.717633;591.408138;24.475258;44.365405;1.371800;1.812663;0.551674;0.524617;92.000000;0.834060;118.239000;192.134402;30;255
8;M-11804-x40-10.tif;1011;1119.144411;421.331355;36.597438;49.733583;2.198424;1.358936;0.735870;0.520429;383.000000;0.677123;167.123000;205.148368;130;255
9;M-11820b-x40-10.tif;1696;167.854363;303.837264;42.791972;52.836753;1.410937;1.234735;0.809890;0.773506;189.000000;0.586581;173.409000;207.964623;95;255
10;M-11820b-x40-10.tif;801;296.044944;717.451935;27.673233;37.040593;1.004415;1.338499;0.747106;0.743339;22.000000;0.664705;100.549000;185.685393;98;255
11;M-11820b-x40-10.tif;1805;322.068144;504.987812;45.036101;54.713614;1.803035;1.214883;0.823124;0.767709;225.000000;0.567861;202.230000;196.220499;68;255
12;M-11820b-x40-10.tif;1546;763.256792;489.032988;37.112447;60.331055;1.730988;1.625629;0.615147;0.540801;247.000000;0.788413;183.382000;205.340880;143;255
13;M-11820b-x40-10.tif;1426;1025.093268;354.917952;34.851060;60.244919;2.338584;1.728639;0.578490;0.500252;391.000000;0.815690;204.711000;206.338710;49;255
14;M-11820b-x40-10.tif;753;1088.689243;151.819389;27.196186;37.710088;1.434569;1.386595;0.721191;0.674202;91.000000;0.692736;116.510000;208.342629;150;255
15;M-11820b-x40-10.tif;1658;1158.960796;107.013269;46.448281;51.735383;1.706946;1.113828;0.897805;0.788714;264.000000;0.440393;188.585000;183.341978;62;255
16;M-11820b-x40-10.tif;909;1322.732673;463.185919;28.820504;40.399640;1.013620;1.401767;0.713385;0.709119;20.000000;0.700772;107.603000;170.996700;0;255
17;M-11820b-x40-10.tif;938;1468.937100;667.089552;28.658474;43.377435;1.135027;1.513599;0.660677;0.634724;58.000000;0.750670;115.667000;175.550107;73;255
18;M-11783-x40-01.tif;1004;597.793825;545.936255;31.166700;42.006741;1.119278;1.347808;0.741945;0.724446;41.000000;0.670461;118.834000;176.106574;87;255
19;M-11940-x40-08.tif;2075;98.478072;327.325783;41.556996;64.991662;1.364983;1.563916;0.639420;0.625479;162.000000;0.768857;188.659000;215.352771;172;255
20;M-11940-x40-08.tif;544;141.117647;296.056985;26.071542;27.074901;1.066159;1.038485;0.962941;0.944877;22.000000;0.269711;85.372000;211.761029;179;255
21;M-11940-x40-08.tif;1779;404.319280;362.100618;28.473635;93.512128;2.777057;3.284165;0.304491;0.259030;635.000000;0.952515;249.164000;220.965711;165;255
22;M-11940-x40-08.tif;1382;501.441389;36.068741;37.010557;49.282281;1.342501;1.331574;0.750991;0.724497;139.000000;0.660312;152.692000;203.084660;115;255
23;M-11806-x40-11.tif;1292;515.708204;257.546440;23.639762;76.144749;1.853003;3.221046;0.310458;0.283722;219.000000;0.950587;173.450000;213.315015;167;255
24;M-11806-x40-11.tif;1698;711.323322;202.359835;39.664401;55.532197;1.319739;1.400051;0.714260;0.701065;131.000000;0.699881;167.810000;206.217903;163;255
25;M-11806-x40-11.tif;1449;862.135266;161.903382;33.593216;59.220919;1.560270;1.762883;0.567253;0.526051;205.000000;0.823544;168.554000;204.191856;145;255
