No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-05.tif;1257;389.030231;291.683373;39.712740;40.477544;0.983758;1.019258;0.981105;0.976826;29.000000;0.193474;124.657000;130.688942;92;215
2;M-11783-x40-05.tif;2073;432.189580;444.689822;49.518485;53.623179;1.023101;1.082892;0.923453;0.917919;58.000000;0.383712;163.254000;137.758804;92;205
3;M-11783-x40-05.tif;1481;487.802161;165.263336;40.399010;46.869164;1.022373;1.160156;0.861953;0.858402;44.000000;0.506988;137.939000;133.943957;74;209
4;M-11783-x40-05.tif;2308;494.863951;514.389515;52.737992;55.933288;0.982751;1.060588;0.942873;0.939302;33.000000;0.333152;168.828000;139.664645;106;207
5;M-11783-x40-05.tif;1945;499.705398;344.277635;47.879032;52.797784;1.124830;1.102733;0.906838;0.888379;97.000000;0.421480;165.809000;130.741902;92;186
6;M-11783-x40-05.tif;1507;541.601858;471.215660;41.074920;47.401583;1.045507;1.154027;0.866531;0.853960;72.000000;0.499124;140.710000;127.297943;84;190
7;M-11783-x40-05.tif;2127;562.381758;425.914433;42.035003;64.694060;1.082839;1.539052;0.649751;0.647066;60.000000;0.760147;170.126000;135.799248;100;197
8;M-11783-x40-05.tif;997;552.680040;757.258776;30.346531;41.954651;1.002475;1.382519;0.723317;0.721182;23.000000;0.690516;112.070000;114.112337;68;197
9;M-11783-x40-05.tif;1918;566.174140;505.319082;46.320656;53.633293;1.080835;1.157870;0.863655;0.848965;93.000000;0.504084;161.402000;138.477581;86;196
10;M-11783-x40-05.tif;959;602.054223;277.047967;24.274339;51.857995;1.234765;2.136330;0.468093;0.454043;40.000000;0.883679;121.985000;116.102190;60;212
11;M-11783-x40-05.tif;1758;614.581911;341.248578;44.157785;53.108404;1.169915;1.202696;0.831465;0.793602;147.000000;0.555577;160.765000;127.069966;74;193
12;M-11783-x40-05.tif;1934;617.091520;473.870734;43.635496;57.619656;1.061135;1.320477;0.757302;0.741695;46.000000;0.653065;160.590000;137.590486;85;209
13;M-11783-x40-05.tif;1133;622.230362;398.037952;35.223711;41.417652;1.003056;1.175846;0.850452;0.840948;33.000000;0.526053;119.504000;129.197705;93;202
14;M-11783-x40-05.tif;2041;633.682509;528.265066;43.787157;60.555296;1.092762;1.382947;0.723094;0.708678;70.000000;0.690750;167.413000;133.931406;96;210
15;M-11783-x40-05.tif;1180;651.677966;607.654237;29.593441;51.256359;1.078895;1.732018;0.577361;0.571869;27.000000;0.816489;126.484000;120.558475;80;209
16;M-11783-x40-05.tif;1654;649.198307;326.251511;39.863766;54.470806;1.096496;1.366424;0.731837;0.709771;93.000000;0.681479;150.965000;126.865175;92;193
17;M-11783-x40-05.tif;4081;680.477579;444.418770;67.070255;81.680552;1.185247;1.217836;0.821129;0.778824;209.000000;0.570743;246.543000;131.478314;85;191
18;M-11783-x40-05.tif;3636;693.613311;370.541254;58.612522;79.951420;1.076677;1.364067;0.733102;0.724239;116.000000;0.680119;221.799000;125.632563;92;194
19;M-11783-x40-05.tif;2702;743.297187;510.224648;53.776106;65.517757;1.505894;1.218343;0.820787;0.801452;239.000000;0.571235;226.123000;142.453738;94;202
20;M-11783-x40-05.tif;3940;747.626396;296.420812;65.037171;77.590373;1.047287;1.193016;0.838212;0.833279;94.000000;0.545345;227.712000;126.599239;85;192
21;M-11783-x40-05.tif;3943;780.799138;382.940401;59.092114;86.549815;1.195347;1.464659;0.682753;0.670200;168.000000;0.730650;243.369000;130.164088;84;185
22;M-11783-x40-05.tif;2148;775.652235;233.192737;50.677920;55.379352;1.215274;1.092771;0.915105;0.891761;163.000000;0.403216;181.117000;126.837058;88;210
23;M-11783-x40-05.tif;4464;820.563620;464.779122;51.814432;113.538950;1.407738;2.191261;0.456358;0.440905;246.000000;0.889796;281.014000;134.931676;94;195
24;M-11783-x40-05.tif;2008;828.422809;355.010458;47.076966;55.416516;1.104850;1.177147;0.849511;0.832521;80.000000;0.527570;166.970000;131.801793;84;192
25;M-11783-x40-05.tif;1997;857.049074;396.094141;48.685689;52.348948;0.994803;1.075243;0.930022;0.927838;42.000000;0.367503;158.002000;130.427141;96;195
26;M-11783-x40-05.tif;2026;914.475321;428.258144;48.730973;53.208343;1.022991;1.091879;0.915852;0.911150;63.000000;0.401516;161.384000;129.728529;85;199
27;M-11783-x40-05.tif;2026;1056.809477;278.794669;41.012980;64.455639;1.213225;1.571591;0.636298;0.620909;117.000000;0.771444;175.750000;137.879566;86;204
28;M-11783-x40-05.tif;1572;1180.039440;295.535623;28.894676;70.862474;1.360926;2.452441;0.407757;0.398593;66.000000;0.913090;163.964000;124.232188;90;215
29;M-11783-x40-05.tif;1422;1255.094937;284.390999;24.418753;76.451675;1.587067;3.130859;0.319401;0.309767;74.000000;0.947620;168.404000;121.263713;72;179
30;M-11783-x40-05.tif;3311;1264.349139;516.326185;59.551331;76.048431;2.156787;1.277023;0.783071;0.728935;732.000000;0.621932;299.563000;136.208396;99;181
31;M-11783-x40-05.tif;703;1258.325747;46.789474;26.426535;34.341153;0.992816;1.299495;0.769530;0.758989;17.000000;0.638611;93.652000;108.923186;49;203
32;M-11783-x40-05.tif;3037;1283.657228;568.098452;54.379095;72.129690;1.133664;1.326423;0.753907;0.743236;130.000000;0.656981;208.003000;137.638788;100;190
33;M-11783-x40-05.tif;1576;1305.961294;648.192893;40.271167;50.151307;0.999832;1.245340;0.802993;0.797814;38.000000;0.595988;140.717000;123.134518;87;192
34;M-11783-x40-05.tif;2323;1318.961687;296.710719;44.533385;67.274357;1.200525;1.510650;0.661967;0.653522;136.000000;0.749533;187.204000;134.819630;89;205
35;M-11783-x40-05.tif;2189;1320.078118;461.380996;50.356542;55.945555;1.020499;1.110989;0.900099;0.890481;57.000000;0.435685;167.546000;135.216994;98;200
36;M-11783-x40-05.tif;2373;1344.105773;618.015592;47.108429;65.122824;1.084444;1.382403;0.723378;0.712429;62.000000;0.690452;179.828000;136.087653;93;203
37;M-11783-x40-05.tif;2040;1343.021078;519.045588;49.976028;52.383385;0.998469;1.048170;0.954044;0.946571;42.000000;0.299668;159.988000;128.898039;94;199
38;M-11783-x40-05.tif;2666;1368.457614;397.553263;43.112143;80.810905;1.239786;1.874435;0.533494;0.519793;140.000000;0.845804;203.802000;126.054389;82;201
39;M-11783-x40-05.tif;1584;1359.673611;354.373737;40.337707;50.378674;1.071643;1.248923;0.800690;0.794643;67.000000;0.599079;146.052000;129.176768;96;186
40;M-11783-x40-05.tif;1770;1370.809040;276.103390;36.517817;63.187245;1.352993;1.730313;0.577930;0.564449;126.000000;0.816086;173.476000;126.487571;95;206
41;M-11783-x40-05.tif;2352;1377.960034;579.325680;44.196318;70.634035;1.216410;1.598188;0.625709;0.600232;132.000000;0.780057;189.611000;132.473639;91;192
42;M-11783-x40-05.tif;1917;1380.616067;492.365676;43.979464;56.014087;1.070252;1.273642;0.785150;0.777925;66.000000;0.619306;160.568000;129.774126;99;198
43;M-11783-x40-05.tif;1622;1391.063502;540.331689;39.748121;52.197732;1.032838;1.313213;0.761491;0.757980;40.000000;0.648175;145.093000;128.307645;75;201
44;M-11783-x40-05.tif;2176;1416.982996;464.183824;50.357137;55.394780;1.042687;1.100038;0.909059;0.902883;61.000000;0.416667;168.854000;132.947151;101;193
45;M-11783-x40-05.tif;2413;1426.559470;362.186075;49.859857;61.991679;1.013379;1.243318;0.804299;0.799467;37.000000;0.594225;175.295000;117.535433;87;195
46;M-11783-x40-05.tif;1951;1455.213737;126.470015;53.598664;65.993239;2.130213;1.231248;0.812184;0.570386;823.000000;0.583401;228.531000;176.281907;109;201
47;M-11783-x40-05.tif;2167;1528.268574;44.713429;43.444859;64.733316;1.428693;1.490011;0.671136;0.658436;141.000000;0.741334;197.244000;140.000461;93;190
48;M-11783-x40-05.tif;2223;1539.887989;313.914530;41.457803;86.101745;1.872251;2.076853;0.481498;0.381791;734.000000;0.876447;228.695000;176.778677;127;198
49;M-11934b-x40-01.tif;5134;103.191663;595.726139;61.418209;108.464087;1.332276;1.765992;0.566254;0.555641;184.000000;0.824231;293.177000;142.597000;78;217
50;M-11934b-x40-01.tif;999;270.119119;222.293293;27.338007;46.783155;1.073512;1.711286;0.584356;0.581161;25.000000;0.811498;116.089000;112.282282;13;219
51;M-11934b-x40-01.tif;907;433.696803;458.176406;28.754747;41.378096;1.079625;1.439001;0.694927;0.674491;39.000000;0.719081;110.929000;109.729879;42;222
52;M-11934b-x40-01.tif;461;434.770065;80.488069;16.877224;37.176100;1.306405;2.202738;0.453980;0.424701;52.000000;0.891012;86.995000;133.650759;94;202
53;M-11934b-x40-01.tif;4479;473.254968;65.435812;64.600390;93.621853;1.672867;1.449246;0.690014;0.650634;542.000000;0.723796;306.850000;119.359678;7;248
54;M-11934b-x40-01.tif;3098;471.830536;479.340542;59.360619;67.564586;1.084672;1.138206;0.878576;0.864079;108.000000;0.477603;205.492000;123.106198;65;219
55;M-11934b-x40-01.tif;5174;523.128334;426.643216;73.504118;90.729980;1.150520;1.234352;0.810141;0.800267;260.000000;0.586234;273.505000;114.493235;50;209
56;M-11934b-x40-01.tif;536;585.072761;417.417910;19.824300;37.438223;1.491879;1.888502;0.529520;0.486905;81.000000;0.848297;100.243000;154.680970;133;175
57;M-11934b-x40-01.tif;6369;675.996232;462.069870;88.072175;94.341788;1.293308;1.071187;0.933544;0.911115;332.000000;0.358464;321.730000;132.928246;84;186
58;M-11934b-x40-01.tif;4565;696.574589;565.226068;68.473157;89.909636;1.767828;1.313064;0.761578;0.719016;556.000000;0.648074;318.453000;129.543483;55;204
59;M-11934b-x40-01.tif;4693;711.184104;358.708289;63.141843;98.384364;1.320186;1.558148;0.641787;0.617317;358.000000;0.766883;279.028000;120.666098;47;216
60;M-11934b-x40-01.tif;3975;724.730818;508.048050;66.701485;82.318210;1.261298;1.234129;0.810288;0.746888;357.000000;0.586031;251.005000;115.023396;78;194
61;M-11934b-x40-01.tif;5647;819.870019;580.358243;73.710452;100.388777;1.206606;1.361934;0.734250;0.713440;278.000000;0.678879;292.615000;138.808571;77;209
62;M-11934b-x40-01.tif;3769;899.953303;553.491908;56.438134;87.056069;1.224818;1.542504;0.648296;0.633196;225.000000;0.761388;240.854000;115.069514;9;226
63;M-11934b-x40-01.tif;3581;902.820162;394.393466;55.701583;83.561818;1.099571;1.500170;0.666591;0.652978;76.000000;0.745423;222.443000;118.314717;54;225
64;M-11934b-x40-01.tif;3864;940.930124;505.942288;63.215888;78.159450;1.042286;1.236389;0.808807;0.805349;90.000000;0.588075;224.966000;122.275880;37;219
65;M-11934b-x40-01.tif;2380;932.652941;41.741176;48.343276;66.366087;1.409136;1.372809;0.728433;0.688010;221.000000;0.685117;205.291000;117.820588;11;227
66;M-11934b-x40-01.tif;3387;965.372896;641.983761;51.882294;85.414858;1.260226;1.646320;0.607415;0.591097;162.000000;0.794384;231.599000;121.847358;42;205
67;M-11934b-x40-01.tif;3255;1011.030415;477.123502;52.279815;79.496657;1.085088;1.520599;0.657635;0.655788;70.000000;0.753336;210.675000;120.996621;21;229
68;M-11934b-x40-01.tif;2846;1113.290935;478.731202;52.430940;69.716092;1.086103;1.329675;0.752064;0.745554;95.000000;0.659090;197.087000;117.231553;22;217
69;M-11934b-x40-01.tif;1988;1165.941650;392.196177;39.743846;65.977746;1.291236;1.660075;0.602383;0.581476;136.000000;0.798208;179.604000;109.540744;30;226
70;M-11934b-x40-01.tif;1276;1166.339342;130.710031;28.862937;59.956743;1.881261;2.077292;0.481396;0.451944;184.000000;0.876503;173.682000;127.248433;11;224
71;M-11934b-x40-01.tif;481;1161.713098;482.467775;22.296973;27.856838;0.998563;1.249355;0.800413;0.789208;18.000000;0.599449;77.690000;114.871102;42;209
72;M-11934b-x40-01.tif;459;1162.701525;506.189542;24.170561;24.262487;0.929169;1.003803;0.996211;0.992778;8.000000;0.086967;73.208000;107.128540;43;216
73;M-11934b-x40-01.tif;4404;1200.839918;57.782925;60.795567;93.594771;1.406991;1.539500;0.649562;0.640109;300.000000;0.760309;279.045000;137.226385;62;220
74;M-11934b-x40-01.tif;1390;1228.182734;476.610791;36.519952;49.204305;1.278559;1.347327;0.742211;0.731002;82.000000;0.670167;149.442000;124.746043;66;223
75;M-11934b-x40-01.tif;2445;1240.256442;547.712065;53.855342;63.907088;2.318264;1.186643;0.842713;0.762239;435.000000;0.538363;266.886000;128.404908;32;234
76;M-11934b-x40-01.tif;1004;1262.104582;328.447211;33.864514;38.758733;1.080531;1.144524;0.873726;0.850951;49.000000;0.486418;116.759000;116.192231;24;227
77;M-11934b-x40-01.tif;3767;1330.413592;529.062915;66.672347;72.182005;1.017181;1.082638;0.923670;0.920551;84.000000;0.383189;219.433000;109.758428;0;227
78;M-11934b-x40-01.tif;3032;1469.247361;500.765501;51.408860;77.713500;1.578767;1.511675;0.661518;0.639214;381.000000;0.749929;245.261000;136.112467;13;238
79;M-11897-x40-04.tif;957;394.387670;496.304075;22.394835;64.371636;1.805004;2.874397;0.347899;0.294058;179.000000;0.937532;147.333000;123.008359;19;234
80;M-11897-x40-04.tif;1894;506.241288;348.397043;43.819363;70.568885;2.474936;1.610450;0.620945;0.484243;475.000000;0.783855;242.704000;163.187962;115;205
81;M-11897-x40-04.tif;1684;657.289786;264.882423;41.860541;52.890411;1.080375;1.263491;0.791458;0.766476;89.000000;0.611223;151.204000;135.975059;21;223
82;M-11897-x40-04.tif;1531;686.132593;349.156107;33.916511;57.904064;1.099468;1.707253;0.585736;0.581390;43.000000;0.810502;145.440000;126.399086;55;216
83;M-11897-x40-04.tif;1823;703.364235;308.450905;42.361154;55.739241;1.090900;1.315810;0.759988;0.747093;63.000000;0.649937;158.085000;137.867252;53;230
84;M-11897-x40-04.tif;1977;723.041477;244.124431;38.933207;66.715659;1.176819;1.713593;0.583569;0.565537;102.000000;0.812063;170.987000;139.364188;74;226
85;M-11897-x40-04.tif;2209;733.423268;398.002716;41.356689;68.339665;1.073798;1.652445;0.605164;0.602227;44.000000;0.796101;172.649000;136.625170;77;223
86;M-11897-x40-04.tif;1659;758.547318;276.515371;42.696432;49.712190;1.008523;1.164317;0.858872;0.854733;45.000000;0.512189;145.001000;131.078360;60;219
87;M-11897-x40-04.tif;2071;759.666828;326.091743;47.218172;55.979973;0.986255;1.185560;0.843483;0.841443;37.000000;0.537155;160.210000;137.974891;93;213
88;M-11897-x40-04.tif;1495;782.359197;228.971237;32.229890;60.225961;1.183246;1.868637;0.535149;0.524788;59.000000;0.844757;149.095000;129.611371;77;214
89;M-11897-x40-04.tif;2288;796.452360;389.947552;44.970369;65.367390;1.055069;1.453566;0.687963;0.681779;51.000000;0.725745;174.170000;140.715472;97;219
90;M-11897-x40-04.tif;1939;803.175348;292.749871;39.898504;62.113904;1.064405;1.556798;0.642344;0.639897;51.000000;0.766416;161.045000;138.199587;67;213
91;M-11897-x40-04.tif;2201;841.256701;358.076783;42.704633;65.906522;1.056941;1.543311;0.647958;0.645169;53.000000;0.761676;170.978000;138.842344;49;224
92;M-11897-x40-04.tif;1602;848.723471;414.705993;42.932826;47.601011;0.965086;1.108732;0.901931;0.900203;19.000000;0.431880;139.386000;127.295880;51;234
93;M-11897-x40-04.tif;1793;1013.997769;257.163971;41.861195;67.797067;2.410733;1.619568;0.617448;0.496671;535.000000;0.786611;233.061000;167.920245;135;213
94;M-11897-x40-04.tif;842;1036.461995;288.201900;26.888137;42.417873;1.722293;1.577568;0.633887;0.595833;136.000000;0.773426;134.994000;169.534442;147;202
95;M-11897-x40-04.tif;1720;1150.904651;57.733140;39.641040;59.847306;1.666845;1.509731;0.662370;0.611434;208.000000;0.749177;189.809000;155.569767;85;216
96;M-11897-x40-04.tif;421;1145.914489;108.004751;23.366519;24.073210;1.336872;1.030244;0.970644;0.924963;43.000000;0.240520;84.099000;165.448931;132;197
97;M-11897-x40-04.tif;838;1358.677804;247.177804;20.962416;53.457883;1.544560;2.550178;0.392130;0.373362;104.000000;0.919910;127.535000;165.146778;136;204
98;M-11897-x40-04.tif;994;1399.810865;250.997988;26.094746;58.165513;1.699623;2.229012;0.448629;0.374081;209.000000;0.893718;145.705000;160.301811;119;211
99;M-11934b-x40-05.tif;3420;73.052339;105.094444;51.971821;86.568862;1.168103;1.665688;0.600352;0.581049;134.000000;0.799736;224.057000;123.453801;53;220
100;M-11934b-x40-05.tif;2781;338.110392;35.299892;48.792900;73.572070;1.135495;1.507844;0.663199;0.654162;114.000000;0.748443;199.204000;127.581446;84;217
101;M-11934b-x40-05.tif;2953;494.529292;462.776160;55.519233;71.291248;1.188939;1.284082;0.778766;0.739778;193.000000;0.627314;210.047000;122.847274;64;222
102;M-11934b-x40-05.tif;4588;546.508936;521.842197;65.080534;96.940653;1.443698;1.489549;0.671344;0.621615;594.000000;0.741146;288.506000;114.554926;62;210
103;M-11934b-x40-05.tif;4298;552.687064;638.786180;59.567459;93.690890;1.189506;1.572854;0.635787;0.623422;249.000000;0.771864;253.467000;114.400419;62;205
104;M-11934b-x40-05.tif;2039;560.415890;301.178028;42.713527;63.240762;1.143025;1.480579;0.675411;0.649132;103.000000;0.737441;171.136000;109.386464;38;218
105;M-11934b-x40-05.tif;2578;616.162141;192.605896;55.313928;59.837613;1.060272;1.081782;0.924401;0.916736;95.000000;0.381423;185.334000;111.674166;64;219
106;M-11934b-x40-05.tif;2927;627.778271;261.330714;49.763386;78.220781;1.558577;1.571854;0.636191;0.609100;309.000000;0.771531;239.431000;114.719508;26;227
107;M-11934b-x40-05.tif;3686;628.034997;345.557786;49.865997;99.495405;1.385100;1.995255;0.501189;0.474088;346.000000;0.865338;253.293000;124.734400;75;194
108;M-11934b-x40-05.tif;3270;643.632416;560.528135;48.668496;87.124386;1.240954;1.790160;0.558609;0.548502;178.000000;0.829431;225.817000;123.233333;78;212
109;M-11934b-x40-05.tif;4048;675.914526;509.520010;58.901785;91.167095;1.265840;1.547782;0.646086;0.620118;323.000000;0.763265;253.755000;124.160079;73;182
110;M-11934b-x40-05.tif;4779;691.228081;449.203808;74.035756;83.361992;1.099232;1.125969;0.888124;0.875611;250.000000;0.459605;256.932000;124.664993;85;189
111;M-11934b-x40-05.tif;3671;726.110324;551.348951;64.336625;77.639491;1.284865;1.206770;0.828659;0.775406;402.000000;0.559754;243.459000;114.821302;76;217
112;M-11934b-x40-05.tif;5834;772.679122;466.079191;76.563596;97.770513;1.095103;1.276984;0.783095;0.777071;211.000000;0.621902;283.345000;137.291224;84;212
113;M-11934b-x40-05.tif;2792;843.985315;205.977794;58.261132;61.488445;1.022476;1.055394;0.947514;0.940240;66.000000;0.319716;189.404000;110.144341;18;189
114;M-11934b-x40-05.tif;4038;920.849678;272.213472;64.002872;81.078466;1.127417;1.266794;0.789394;0.782106;117.000000;0.613887;239.183000;120.480436;76;184
115;M-11934b-x40-05.tif;3192;938.854950;405.677945;55.066935;75.540143;1.409103;1.371788;0.728976;0.712225;223.000000;0.684539;237.743000;129.317356;63;207
116;M-11934b-x40-05.tif;5423;965.130739;334.669187;81.191438;86.029466;1.118970;1.059588;0.943763;0.932943;146.000000;0.330622;276.143000;110.665130;67;196
117;M-11934b-x40-05.tif;4283;1032.681532;410.555919;65.234248;84.940439;1.131556;1.302084;0.768000;0.755839;156.000000;0.640450;246.784000;120.642540;25;206
118;M-11934b-x40-05.tif;1203;1226.652535;405.173732;33.916373;45.258395;0.993559;1.334411;0.749394;0.747786;24.000000;0.662124;122.556000;119.897756;31;215
119;M-11934b-x40-05.tif;3491;1282.237181;353.519049;59.217847;76.689366;1.147545;1.295038;0.772178;0.755770;155.000000;0.635406;224.370000;125.947579;54;220
120;M-11934b-x40-05.tif;4211;1293.918547;289.093802;65.620057;82.810697;1.063588;1.261972;0.792410;0.781848;141.000000;0.609988;237.238000;113.631441;5;227
121;M-11934b-x40-05.tif;1248;1317.045673;580.628205;32.851768;48.869957;1.033769;1.487590;0.672228;0.665336;27.000000;0.740344;127.328000;115.259615;16;216
122;M-11934b-x40-05.tif;2192;1357.937500;430.780566;33.755232;88.302784;1.783002;2.615973;0.382267;0.357933;275.000000;0.924052;221.616000;109.793339;32;229
123;M-11934b-x40-05.tif;2369;1343.094977;357.233010;44.678446;70.169156;1.246121;1.570537;0.636725;0.612608;199.000000;0.771091;192.605000;118.864078;31;224
124;M-11934b-x40-05.tif;5901;1382.840536;284.133876;73.835653;103.325596;1.201565;1.399400;0.714592;0.703752;245.000000;0.699541;298.498000;121.485511;7;221
125;M-11901b-x40-03.tif;3863;74.391147;242.040383;52.914467;93.215258;1.223643;1.761621;0.567659;0.566058;119.000000;0.823264;243.722000;138.812840;61;229
126;M-11901b-x40-03.tif;2473;151.019410;343.746866;46.222911;71.458045;2.138014;1.545944;0.646854;0.616640;309.000000;0.762614;257.764000;139.333199;71;225
127;M-11901b-x40-03.tif;834;196.868106;349.077938;28.640354;38.183165;1.166411;1.333195;0.750078;0.728337;77.000000;0.661349;110.564000;145.748201;76;214
