No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-04.tif;1036;123.073359;552.688224;25.857326;51.796372;1.195817;2.003160;0.499211;0.491667;62.000000;0.866480;124.772000;160.721042;126;214
2;M-11897-x40-04.tif;1313;316.503427;221.907083;25.596826;68.929058;1.658767;2.692875;0.371350;0.351860;111.000000;0.928493;165.436000;166.390708;133;193
3;M-11897-x40-04.tif;788;305.361675;586.468274;31.328826;34.847548;1.207142;1.112316;0.899025;0.826213;85.000000;0.437897;109.332000;152.271574;116;215
4;M-11897-x40-04.tif;1821;338.624931;584.784734;40.285824;61.183224;1.793632;1.518728;0.658446;0.619377;269.000000;0.752628;202.594000;165.422295;117;185
5;M-11897-x40-04.tif;2842;375.914497;674.156580;28.901735;138.927372;3.038972;4.806887;0.208035;0.187482;1098.000000;0.978121;329.443000;150.542224;75;217
6;M-11897-x40-04.tif;1160;382.905172;469.766379;33.639502;45.845080;1.378429;1.362835;0.733765;0.702721;97.000000;0.679404;141.751000;142.175862;24;222
7;M-11897-x40-04.tif;1328;401.466867;47.210090;34.804307;56.046136;1.350277;1.610322;0.620994;0.538291;144.000000;0.783815;150.112000;149.585090;113;223
8;M-11897-x40-04.tif;1569;407.302103;383.943913;29.050499;74.460564;2.072063;2.563142;0.390146;0.360313;347.000000;0.920753;202.124000;165.179732;135;200
9;M-11897-x40-04.tif;629;394.890302;505.682035;25.725364;32.352542;1.074801;1.257613;0.795157;0.765145;34.000000;0.606403;92.171000;97.833068;19;230
10;M-11897-x40-04.tif;2108;412.291271;545.366224;45.432131;64.186246;1.414140;1.412794;0.707817;0.651474;247.000000;0.706396;193.547000;156.157495;122;221
11;M-11897-x40-04.tif;540;401.070370;318.200000;23.220463;29.972860;1.020665;1.290795;0.774716;0.765328;20.000000;0.632309;83.223000;171.685185;160;194
12;M-11897-x40-04.tif;532;409.870301;191.567669;20.022201;34.784724;1.203065;1.737308;0.575603;0.559815;29.000000;0.817729;89.682000;163.270677;123;221
13;M-11897-x40-04.tif;1833;427.021277;628.206219;34.611908;70.269788;1.266702;2.030220;0.492557;0.472645;125.000000;0.870280;170.814000;151.597927;113;199
14;M-11897-x40-04.tif;766;421.932115;170.408616;26.864275;37.517861;1.142978;1.396571;0.716040;0.692888;59.000000;0.698060;104.891000;135.859008;77;212
