No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-04.tif;702;172.223647;576.454416;25.572889;36.105537;1.098669;1.411868;0.708282;0.685645;42.000000;0.705930;98.448000;0.323420;2.186047e-01;3.743842e-01
2;M-11897-x40-04.tif;914;174.425602;522.149891;24.021880;49.378495;1.192119;2.055563;0.486485;0.477288;41.000000;0.873689;117.014000;0.319927;8.849558e-02;4.065421e-01
3;M-11897-x40-04.tif;2600;304.442692;290.163462;35.796597;105.062250;1.905200;2.934979;0.340718;0.299909;528.000000;0.940166;249.495000;0.344153;1.318182e-01;9.219858e-01
4;M-11897-x40-04.tif;692;270.242775;234.049133;26.301264;33.965099;1.042173;1.291387;0.774361;0.763749;24.000000;0.632743;95.198000;0.334461;2.552301e-01;3.920705e-01
5;M-11897-x40-04.tif;977;280.552712;434.227226;28.976730;44.423705;1.238127;1.533082;0.652281;0.630340;75.000000;0.757977;123.292000;0.327510;1.408451e-01;4.142857e-01
6;M-11897-x40-04.tif;3943;308.376617;159.305098;43.550710;132.189424;2.231832;3.035299;0.329457;0.287305;1132.000000;0.944171;332.544000;0.348541;2.064220e-01;4.409091e-01
7;M-11897-x40-04.tif;1410;317.281560;221.693617;25.267950;73.901507;1.553780;2.924713;0.341914;0.328717;55.000000;0.939731;165.924000;0.364272;1.563981e-01;4.766839e-01
8;M-11897-x40-04.tif;1071;314.112045;350.205415;25.799344;54.251735;1.297897;2.102834;0.475549;0.463311;46.000000;0.879689;132.166000;0.343162;1.883408e-01;4.474886e-01
9;M-11897-x40-04.tif;2602;329.238278;585.133743;51.477978;72.084076;1.563768;1.400290;0.714138;0.637586;238.000000;0.700005;226.123000;0.367662;6.849315e-02;5.513514e-01
10;M-11897-x40-04.tif;1043;324.362416;414.486098;28.065439;48.316188;1.145376;1.721555;0.580870;0.568865;48.000000;0.813996;122.524000;0.340882;2.186047e-01;4.660194e-01
11;M-11897-x40-04.tif;3629;400.136677;516.768807;40.379386;148.653350;3.281705;3.681417;0.271635;0.209097;1691.000000;0.962400;386.855000;0.455252;1.345291e-02;1
12;M-11897-x40-04.tif;1292;401.659443;47.738390;33.697311;55.206534;1.343603;1.638307;0.610386;0.539749;132.000000;0.792104;147.697000;0.415224;1.341991e-01;5.833333e-01
13;M-11897-x40-04.tif;721;398.528433;318.809986;29.592595;31.699208;1.008804;1.071187;0.933544;0.913584;19.000000;0.358464;95.604000;0.328991;1.850220e-01;3.828829e-01
14;M-11897-x40-04.tif;1637;408.360415;382.710446;30.118177;71.319036;1.451237;2.367973;0.422302;0.409777;183.000000;0.906455;172.782000;0.370732;1.333333e-01;5.169082e-01
15;M-11897-x40-04.tif;5075;459.655567;161.426995;65.490778;205.763918;5.592810;3.141876;0.318281;0.152619;4943.000000;0.947996;597.225000;0.458454;9.523810e-02;8.074534e-01
16;M-11897-x40-04.tif;1467;425.346967;627.148603;29.904147;67.098659;1.429518;2.243791;0.445674;0.414870;186.000000;0.895195;162.336000;0.434041;2.243902e-01;5.468750e-01
17;M-11897-x40-04.tif;2092;433.588910;468.279637;33.829823;80.582810;1.397583;2.382005;0.419814;0.410192;174.000000;0.907610;191.679000;0.408132;2.610619e-01;5.275229e-01
18;M-11897-x40-04.tif;988;435.467611;307.584008;34.771238;38.077377;1.177179;1.095083;0.913173;0.867627;94.000000;0.407572;120.894000;0.377320;1.100917e-01;5.198020e-01
19;M-11897-x40-04.tif;5243;478.654587;63.162502;86.697157;121.688766;3.062637;1.403607;0.712450;0.450805;2717.000000;0.701723;449.203000;0.456938;9.545455e-02;6.484848e-01
20;M-11897-x40-04.tif;5211;504.912301;363.149300;81.334280;110.916713;2.227947;1.363714;0.733291;0.539308;2081.000000;0.679914;381.960000;0.498437;1.363636e-02;8.473282e-01
21;M-11897-x40-04.tif;3058;493.118705;539.157946;52.642052;96.860419;1.981244;1.839982;0.543484;0.415007;871.000000;0.839420;275.926000;0.419098;7.079646e-02;6.951220e-01
22;M-11897-x40-04.tif;758;488.378628;284.947230;28.664622;37.119045;1.222102;1.294943;0.772235;0.700464;49.000000;0.635337;107.893000;0.426057;5.263158e-02;7.260274e-01
23;M-11897-x40-04.tif;584;498.482877;593.474315;25.092036;30.192080;0.987582;1.203253;0.831080;0.815712;7.000000;0.556153;85.133000;0.459782;6.849315e-02;9.047619e-01
24;M-11897-x40-04.tif;5296;588.400113;468.280400;76.528585;99.279424;1.424478;1.297286;0.770840;0.684132;677.000000;0.637028;307.898000;0.467675;4.035874e-02;7.925926e-01
25;M-11897-x40-04.tif;1705;657.862170;263.912023;41.996965;53.564684;1.111171;1.275442;0.784042;0.756619;86.000000;0.620708;154.297000;0.503442;8.796296e-02;1
26;M-11897-x40-04.tif;926;675.909287;474.920086;27.320205;44.527618;1.131381;1.629842;0.613556;0.594651;36.000000;0.789651;114.740000;0.301808;9.502262e-02;4.285714e-01
27;M-11897-x40-04.tif;1454;685.998624;348.877579;32.806158;56.968715;1.119174;1.736525;0.575863;0.570429;54.000000;0.817546;143.000000;0.554822;1.758794e-01;1
28;M-11897-x40-04.tif;2029;700.974372;306.116313;46.047648;57.797249;1.297384;1.255162;0.796710;0.773353;148.000000;0.604362;181.878000;0.505202;1.327014e-01;1
29;M-11897-x40-04.tif;2094;722.180993;243.132283;42.762798;65.351787;1.268459;1.528239;0.654348;0.624269;144.000000;0.756194;182.697000;0.514332;1.116071e-01;9.918699e-01
30;M-11897-x40-04.tif;2345;733.382516;399.143710;44.841824;67.848621;1.133915;1.513066;0.660910;0.648591;106.000000;0.750465;182.796000;0.494499;8.490566e-02;9.917355e-01
31;M-11897-x40-04.tif;4052;756.354393;305.857108;57.297634;109.897847;2.264150;1.918017;0.521372;0.427170;1008.000000;0.853330;339.541000;0.510513;4.867257e-02;9.841270e-01
32;M-11897-x40-04.tif;1512;782.263228;228.452381;32.353839;60.605931;1.187665;1.873222;0.533839;0.524121;64.000000;0.845586;150.220000;0.549997;7.511737e-02;9.915966e-01
33;M-11897-x40-04.tif;2400;796.698333;389.927500;46.885165;65.868261;1.104030;1.404885;0.711802;0.704318;66.000000;0.702380;182.474000;0.477655;1.084906e-01;7.748344e-01
34;M-11897-x40-04.tif;4295;824.583469;120.660536;46.901138;145.866218;3.008327;3.110078;0.321535;0.257018;1466.000000;0.946898;402.948000;0.451103;1.651376e-01;9.379310e-01
35;M-11897-x40-04.tif;2016;803.614087;292.371032;41.287032;62.665668;1.077754;1.517805;0.658846;0.653644;70.000000;0.752278;165.238000;0.490053;1.204188e-01;9.857143e-01
36;M-11897-x40-04.tif;4064;844.604823;382.110236;45.324563;124.933573;2.085034;2.756421;0.362789;0.331517;488.000000;0.931871;326.316000;0.488237;8.547009e-03;1
37;M-11897-x40-04.tif;2561;870.222960;533.215931;45.370453;79.263339;1.478195;1.747026;0.572401;0.519009;420.000000;0.819973;218.110000;0.489102;4.807692e-02;9.932886e-01
38;M-11897-x40-04.tif;1298;1001.822034;197.838213;27.585605;63.785360;1.605606;2.312270;0.432475;0.406203;198.000000;0.901646;161.831000;0.399075;1.889401e-01;5.459770e-01
