No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-04.tif;974;91.778234;690.201232;28.933363;46.454610;1.368466;1.605572;0.622831;0.574661;123.000000;0.782357;129.420000;0.543696;1.741250e-01;7.556723e-01
2;M-11940-x40-04.tif;827;121.665054;516.463120;28.755746;38.523072;1.187396;1.339665;0.746455;0.709535;67.000000;0.665436;111.085000;0.371331;1.448555e-01;7.224621e-01
3;M-11940-x40-04.tif;1438;154.785118;565.045202;35.809392;62.072190;2.274313;1.733405;0.576899;0.475198;345.000000;0.816815;202.726000;0.507932;2.744726e-02;7.793232e-01
4;M-11940-x40-04.tif;790;152.493671;290.882278;23.915451;43.134694;1.242448;1.803633;0.554437;0.540610;62.000000;0.832226;111.060000;0.314629;2.028589e-01;5.275912e-01
5;M-11940-x40-04.tif;2592;438.650849;354.059028;36.383167;101.913360;1.808997;2.801113;0.357001;0.317748;453.000000;0.934104;242.740000;0.536590;2.290674e-01;6.850448e-01
6;M-11940-x40-04.tif;1036;489.777992;237.061776;30.680363;46.084607;1.257961;1.502088;0.665740;0.621095;76.000000;0.746184;127.973000;0.561471;2.217894e-01;7.535955e-01
7;M-11940-x40-04.tif;3710;652.160377;184.266577;55.121386;102.021188;1.821046;1.850846;0.540294;0.453841;936.000000;0.841477;291.375000;0.560406;2.126621e-01;7.563995e-01
8;M-11940-x40-04.tif;1403;667.281540;449.021383;24.640538;78.835790;1.776303;3.199435;0.312555;0.287423;197.000000;0.949900;176.967000;0.481761;1.363267e-01;6.923814e-01
9;M-11940-x40-04.tif;5870;833.032368;115.548211;85.716780;160.579419;2.836571;1.873372;0.533797;0.289847;3587.000000;0.845613;457.426000;0.588418;2.023051e-01;7.608722e-01
10;M-11940-x40-04.tif;2972;902.901413;400.885599;54.925372;82.338520;2.379771;1.499098;0.667068;0.558152;958.000000;0.744997;298.124000;0.425184;2.031842e-01;6.425364e-01
11;M-11940-x40-04.tif;926;942.213823;323.528078;33.088019;40.285854;1.462292;1.217536;0.821331;0.726467;203.000000;0.570452;130.445000;0.485410;2.933762e-01;7.513592e-01
12;M-11940-x40-04.tif;430;952.537209;472.258140;18.538255;31.749525;1.566279;1.712649;0.583891;0.543130;72.000000;0.811832;91.997000;0.496324;3.385182e-01;7.176206e-01
13;M-11940-x40-04.tif;1691;1107.018332;82.071555;33.969095;79.688564;2.401140;2.345914;0.426273;0.339048;494.000000;0.904594;225.884000;0.476926;1.944423e-01;8.086187e-01
