No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;2420;169.997521;306.274793;49.731625;62.416615;1.080457;1.255069;0.796769;0.790906;73.000000;0.604284;181.266000;0.547386;4.156863e-01;8.666667e-01
2;M-11820b-x40-10.tif;2684;226.295455;38.188152;49.566458;70.615019;1.390619;1.424653;0.701925;0.685328;228.000000;0.712251;216.571000;0.637950;4.549020e-01;8.313725e-01
3;M-11820b-x40-10.tif;1861;234.032778;512.849006;44.868274;87.084971;3.943240;1.940903;0.515224;0.312442;1121.000000;0.857056;303.672000;0.722578;5.960784e-01;8.588235e-01
4;M-11820b-x40-10.tif;1982;295.085772;718.017659;42.581343;63.546807;1.600532;1.492363;0.670078;0.624923;299.000000;0.742290;199.659000;0.604019;3.607843e-01;8.392157e-01
5;M-11820b-x40-10.tif;2741;323.551988;506.734039;54.557744;67.137610;1.391082;1.230579;0.812626;0.774261;287.000000;0.582786;218.895000;0.561388;3.490196e-01;9.019608e-01
6;M-11820b-x40-10.tif;2592;334.501157;383.675540;48.595012;68.426456;1.090246;1.408096;0.710179;0.704851;103.000000;0.704021;188.445000;0.622746;5.254902e-01;8.901961e-01
7;M-11820b-x40-10.tif;2653;405.990954;313.111195;42.800714;83.710342;1.448012;1.955817;0.511295;0.482047;328.000000;0.859405;219.715000;0.608965;4.352941e-01;8.666667e-01
8;M-11820b-x40-10.tif;3367;417.289278;473.671518;64.014371;67.613288;1.058736;1.056220;0.946772;0.937754;93.000000;0.321905;211.651000;0.639339;4.862745e-01;8.627451e-01
9;M-11820b-x40-10.tif;4739;498.869171;510.209749;59.586971;102.385191;1.293614;1.718248;0.581988;0.575602;222.000000;0.813197;277.556000;0.615269;4.392157e-01;8.862745e-01
10;M-11820b-x40-10.tif;761;515.394218;281.177398;26.678630;37.580727;1.108238;1.408645;0.709902;0.686064;29.000000;0.704301;102.947000;0.628899;4.117647e-01;8.588235e-01
11;M-11820b-x40-10.tif;1869;593.365971;499.714821;34.365521;71.413574;1.334154;2.078059;0.481218;0.466614;139.000000;0.876601;177.016000;0.601993;3.686275e-01;8.627451e-01
12;M-11820b-x40-10.tif;1993;634.908680;410.065228;42.434348;60.747683;1.326576;1.431569;0.698534;0.687635;123.000000;0.715576;182.274000;0.602296;4.392157e-01;8.235294e-01
13;M-11820b-x40-10.tif;2670;675.272285;454.363296;47.475597;72.615047;1.353004;1.529524;0.653798;0.644716;208.000000;0.756669;213.064000;0.627425;4.745098e-01;8.431373e-01
14;M-11820b-x40-10.tif;1281;804.093677;322.055425;36.943552;44.859248;1.038254;1.214265;0.823544;0.810504;46.000000;0.567253;129.280000;0.616341;4.117647e-01;8.352941e-01
15;M-11820b-x40-10.tif;3067;973.679817;525.151288;56.229884;70.905901;1.287210;1.261000;0.793021;0.776710;219.000000;0.609194;222.734000;0.637873;4.901961e-01;8.274510e-01
16;M-11820b-x40-10.tif;2543;966.941015;417.880849;51.816409;63.182659;1.058055;1.219356;0.820105;0.811074;75.000000;0.572213;183.879000;0.615962;3.647059e-01;8.745098e-01
17;M-11820b-x40-10.tif;2918;992.786498;467.671008;57.796281;65.737184;1.173349;1.137395;0.879202;0.859752;160.000000;0.476449;207.425000;0.620348;3.960784e-01;8.117647e-01
18;M-11820b-x40-10.tif;2433;1017.045623;355.516646;40.579573;82.691805;1.848563;2.037769;0.490733;0.453030;413.000000;0.871310;237.735000;0.591261;3.764706e-01;8.823529e-01
