No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-11.tif;3772;509.072906;487.218982;56.284391;86.854948;1.272375;1.543144;0.648027;0.636638;251.000000;0.761617;245.583000;0.625047;4.677887e-01;1
2;M-11830a-x40-11.tif;1295;522.088031;396.943629;35.231209;47.357342;1.045239;1.344187;0.743944;0.735200;52.000000;0.668242;130.421000;0.557897;3.445769e-01;9.395930e-01
3;M-11830a-x40-11.tif;868;560.683180;145.680876;29.811308;37.934312;1.040238;1.272481;0.785867;0.768007;27.000000;0.618396;106.520000;0.599027;2.804860e-01;1
4;M-11830a-x40-11.tif;4488;651.895276;329.030080;70.022277;82.971996;1.141954;1.184937;0.843927;0.830042;193.000000;0.536459;253.779000;0.608469;4.585861e-01;1
5;M-11830a-x40-11.tif;4683;701.808883;504.950032;60.691802;99.760633;1.288329;1.643725;0.608374;0.599123;236.000000;0.793650;275.347000;0.610477;4.609028e-01;8.920492e-01
6;M-11830a-x40-11.tif;747;679.863454;231.872825;26.599019;35.817691;0.967794;1.346579;0.742622;0.741371;13.000000;0.669710;95.314000;0.555300;2.313408e-01;1
7;M-11830a-x40-11.tif;4467;748.860533;228.405418;57.990227;99.705717;1.405942;1.719354;0.581614;0.572118;226.000000;0.813465;280.929000;0.604576;4.015143e-01;8.554509e-01
8;M-11830a-x40-11.tif;3214;765.952707;411.241133;50.957219;81.653202;1.135196;1.602387;0.624069;0.613776;81.000000;0.781369;214.123000;0.544626;3.162237e-01;1
9;M-11830a-x40-11.tif;3653;763.055023;358.787846;66.480709;72.152532;1.177296;1.085315;0.921391;0.893422;131.000000;0.388636;232.473000;0.584527;3.873434e-01;8.509779e-01
10;M-11830a-x40-11.tif;1538;818.232120;721.695709;36.350808;58.258764;1.366838;1.602681;0.623954;0.576958;168.000000;0.781461;162.533000;0.665840;4.195571e-01;1
11;M-11830a-x40-11.tif;3630;854.287879;255.175207;62.084591;74.692327;1.087148;1.203074;0.831204;0.828447;96.000000;0.555967;222.691000;0.584497;4.333638e-01;8.580360e-01
12;M-11830a-x40-11.tif;3795;865.400527;623.594730;55.270110;92.172939;1.527024;1.667681;0.599635;0.568742;373.000000;0.800274;269.857000;0.595388;3.164349e-01;1
13;M-11830a-x40-11.tif;4750;868.927368;486.535368;70.381750;87.717247;1.243442;1.246307;0.802371;0.786020;241.000000;0.596826;272.436000;0.623191;4.944132e-01;8.692354e-01
14;M-11830a-x40-11.tif;4617;867.312757;361.149448;62.855563;98.242732;1.403297;1.562992;0.639799;0.609073;455.000000;0.768543;285.338000;0.625001;4.805172e-01;9.379365e-01
15;M-11830a-x40-11.tif;5301;935.803433;587.863422;74.381711;96.732154;1.639781;1.300483;0.768945;0.721317;618.000000;0.639315;330.504000;0.638644;4.561803e-01;9.283496e-01
16;M-11830a-x40-11.tif;962;1007.522869;81.371102;29.243329;42.375141;1.062685;1.449053;0.690106;0.682123;38.000000;0.723709;113.343000;0.587284;2.639856e-01;9.989914e-01
17;M-11830a-x40-11.tif;1079;1153.170528;682.734013;32.841736;42.099208;0.994638;1.281881;0.780103;0.775146;22.000000;0.625651;116.131000;0.626163;4.955007e-01;1
