No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-03.tif;608;897.524671;19.679276;27.466373;33.949715;1.966644;1.236047;0.809031;0.671648;135.000000;0.587766;122.580000;115.090461;0;190
2;M-11940-x40-03.tif;979;1159.281920;61.432074;30.133270;47.039850;1.434815;1.561060;0.640590;0.563328;146.000000;0.767883;132.860000;147.945863;95;184
3;M-11940-x40-03.tif;442;1158.592760;34.484163;20.535183;27.767270;1.014803;1.352180;0.739546;0.729904;20.000000;0.673106;75.077000;149.407240;95;184
4;M-11940-x40-03.tif;978;1274.746421;125.070552;30.294545;49.508702;1.671574;1.634245;0.611903;0.508026;205.000000;0.790932;143.330000;97.301636;0;202
5;M-11940-x40-03.tif;2131;1401.843266;307.180197;35.792071;79.830548;1.569116;2.230398;0.448351;0.425751;290.000000;0.893858;204.986000;85.400751;0;213
6;M-11940-x40-03.tif;1826;1473.987952;563.257941;42.591321;63.928662;1.532558;1.500979;0.666232;0.568879;394.000000;0.745745;187.527000;47.187295;0;243
7;M-11822-x40-06.tif;2378;431.230446;392.231287;49.502577;63.368442;1.480828;1.280104;0.781187;0.754008;286.000000;0.624298;210.360000;58.674096;0;215
8;M-11822-x40-06.tif;1656;446.892512;349.069444;43.655748;49.034057;1.054169;1.123198;0.890315;0.876950;69.000000;0.455345;148.112000;57.319444;0;208
9;M-11822-x40-06.tif;2960;486.636149;250.735135;55.384278;70.994573;1.914329;1.281854;0.780120;0.747742;307.000000;0.625630;266.845000;56.439189;0;228
10;M-11822-x40-06.tif;4532;618.018756;306.536849;64.965009;90.465277;1.196578;1.392523;0.718121;0.705076;212.000000;0.695918;261.048000;45.406443;0;208
11;M-11822-x40-06.tif;923;750.640303;244.953413;25.838758;48.840749;1.342238;1.890213;0.529041;0.492660;97.000000;0.848596;124.773000;139.608884;13;201
