No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-05.tif;1689;1416.519242;106.256365;40.397879;56.285184;1.662404;1.393271;0.717736;0.678815;220.000000;0.696316;187.840000;0.552083;3.617166e-01;6.993210e-01
2;M-11783-x40-05.tif;4455;1435.880808;206.541863;64.545298;106.549008;2.689246;1.650763;0.605780;0.499642;1206.000000;0.795632;388.011000;0.600737;2.988240e-01;7.737430e-01
3;M-11783-x40-05.tif;1353;1427.599409;363.702143;38.523569;45.223605;1.106231;1.173920;0.851846;0.842321;59.000000;0.523792;137.144000;0.541493;3.317102e-01;6.595042e-01
4;M-11783-x40-05.tif;1130;1527.749558;152.712389;32.054039;48.355545;1.660438;1.508563;0.662882;0.615313;207.000000;0.748724;153.552000;0.534458;2.650230e-01;6.715350e-01
5;M-11940-x40-10.tif;1760;544.274432;499.983523;52.805841;56.139603;2.343795;1.063132;0.940617;0.711024;651.000000;0.339471;227.678000;0.552643;3.951644e-01;7.190399e-01
6;M-11940-x40-10.tif;1435;555.280139;438.441812;38.815448;48.088856;1.187584;1.238910;0.807161;0.790084;78.000000;0.590331;146.340000;0.569009;3.848016e-01;6.759732e-01
7;M-11940-x40-10.tif;1602;561.856429;540.448190;41.524821;52.373723;1.677884;1.261263;0.792856;0.743611;277.000000;0.609409;183.788000;0.576519;3.866653e-01;7.190086e-01
8;M-11940-x40-10.tif;1592;638.033291;447.609296;42.532357;55.105738;2.323208;1.295619;0.771832;0.667513;338.000000;0.635827;215.586000;0.569447;3.667368e-01;7.314902e-01
9;M-11940-x40-10.tif;845;710.973964;189.917160;24.071441;48.125494;1.563904;1.999278;0.500181;0.464533;133.000000;0.865921;128.866000;0.596064;3.797762e-01;8.240168e-01
10;M-11940-x40-10.tif;1288;728.187888;363.594720;34.445592;49.593939;1.369894;1.439776;0.694552;0.666759;113.000000;0.719442;148.904000;0.553130;3.154674e-01;6.732061e-01
11;M-11940-x40-10.tif;1274;759.987441;183.245683;28.843488;61.210035;1.688243;2.122144;0.471222;0.432947;181.000000;0.882015;164.402000;0.556157;2.675063e-01;7.171031e-01
12;M-11940-x40-10.tif;1767;775.194114;292.925297;48.266043;58.164698;2.013771;1.205085;0.829817;0.665009;436.000000;0.558036;211.460000;0.591423;3.105220e-01;8.034639e-01
13;M-11940-x40-10.tif;596;805.822148;177.194631;21.662872;36.184176;1.215715;1.670331;0.598684;0.579587;41.000000;0.800986;95.421000;0.571440;3.557611e-01;7.094947e-01
14;M-11940-x40-10.tif;4125;848.260848;106.799030;63.897271;97.619006;2.169606;1.527749;0.654558;0.551144;1211.000000;0.756012;335.357000;0.627453;1.778315e-01;7.942017e-01
15;M-11940-x40-10.tif;524;817.986641;291.295802;20.651029;39.550398;1.720458;1.915178;0.522145;0.426520;124.000000;0.852857;106.437000;0.540270;1.720861e-01;7.360234e-01
16;M-11940-x40-10.tif;2515;849.000000;343.841750;46.820241;80.901323;2.600985;1.727913;0.578733;0.489257;826.000000;0.815517;286.710000;0.573662;3.666263e-01;7.693832e-01
17;M-11940-x40-10.tif;425;834.710588;169.261176;18.328689;29.962685;1.067038;1.634742;0.611717;0.602751;15.000000;0.791077;75.490000;0.564580;4.207631e-01;6.944606e-01
18;M-11940-x40-10.tif;1275;892.151373;305.221961;28.983456;57.506212;1.363048;1.984105;0.504006;0.490897;144.000000;0.863700;147.780000;0.587290;2.666033e-01;7.596029e-01
19;M-11940-x40-10.tif;1150;961.193043;317.845217;32.227985;48.912599;1.292903;1.517706;0.658889;0.612021;132.000000;0.752240;136.690000;0.647015;1.503688e-01;8.076983e-01
20;M-11940-x40-10.tif;476;970.193277;793.920168;18.991103;33.487900;1.227476;1.763347;0.567103;0.540432;36.000000;0.823647;85.687000;0.591802;2.248596e-01;7.887553e-01
21;M-11940-x40-10.tif;2114;1006.261589;334.832545;33.779286;85.260243;1.871080;2.524039;0.396190;0.370273;408.000000;0.918168;222.948000;0.637129;1.314953e-01;8.769950e-01
22;M-11940-x40-10.tif;1485;1124.525926;257.441077;36.927523;54.337102;1.314224;1.471453;0.679601;0.640389;193.000000;0.733582;156.604000;0.546980;3.915222e-01;6.634031e-01
23;M-11940-x40-10.tif;1869;1321.054575;484.110754;44.987982;54.178037;1.250827;1.204278;0.830373;0.810724;144.000000;0.557208;171.399000;0.612415;-2.357842e-01;7.508327e-01
24;M-11940-x40-10.tif;1039;1332.767084;518.599615;26.220008;51.853712;1.320657;1.977639;0.505653;0.492001;58.000000;0.862737;131.313000;0.630483;-2.126514e-01;8.488190e-01
25;M-11940-x40-10.tif;947;1348.194298;546.451954;29.301106;42.462915;1.247523;1.449192;0.690040;0.668714;79.000000;0.723771;121.844000;0.591277;-1.070171e-01;7.773029e-01
26;M-11940-x40-10.tif;1828;1411.696937;230.553063;39.200258;61.700142;1.317309;1.573973;0.635335;0.611384;195.000000;0.772237;173.955000;0.649774;1.955121e-02;8.663819e-01
27;M-11940-x40-10.tif;6884;1476.478356;588.898170;61.641467;159.477827;2.341697;2.587184;0.386521;0.344628;1917.000000;0.922281;450.081000;0.692165;-2.717193e-01;9.243905e-01
